from_crate	to_crate	class	edges	include	definition	link	own-header	via-generated	island	from-island	rust-header	examples
ob-base	ob-errno	listed	1	0	0	0	0	1	0	0	0	src/share/ob_define.h -> src/share/mysql_errno.h (via-generated)
ob-base	ob-runtime	upward-named	20	17	0	3	0	0	0	0	0	src/oblib/lib/alloc/memory_dump.cpp -> src/oblib/lib/thread/ob_thread_name.h (include); src/oblib/lib/alloc/memory_dump.h -> src/oblib/lib/thread/thread_pool.h (include); src/oblib/lib/oblog/ob_base_log_writer.cpp -> src/oblib/lib/thread/ob_pthread.cpp (link)
ob-base	ob-values	upward-named	3	2	1	0	0	0	0	0	0	src/oblib/lib/signal/ob_signal_utils.cpp -> src/oblib/lib/charset/ob_mysql_global.h (include); src/share/ob_define.h -> src/oblib/common/ob_tablet_id.h (include); src/oblib/lib/utility/ob_hang_fatal_error.cpp -> src/oblib/lib/charset/ob_ctype.h (definition)
ob-base	x-dropped	uses-dropped	3	3	0	0	0	0	0	0	0	src/oblib/lib/signal/ob_libunwind.c -> src/oblib/easy/util/easy_string.h (include); src/oblib/lib/signal/ob_signal_utils.h -> src/oblib/easy/util/easy_string.h (include)
ob-simd	ob-base	listed	15	15	0	0	0	0	0	0	0	src/data_plane/api/data_plane/vector/ob_sparse_vector_ip_distance.h -> src/oblib/lib/ob_define.h (include); src/data_plane/api/data_plane/vector/ob_sparse_vector_ip_distance.h -> src/oblib/lib/oblog/ob_log.h (include)
ob-simd	ob-values	upward-named	5	5	0	0	0	0	0	0	0	src/data_plane/api/data_plane/vector/ob_sparse_vector_ip_distance.h -> src/oblib/common/object/ob_obj_compare.h (include); src/data_plane/api/data_plane/vector/ob_vector_cosine_distance.h -> src/oblib/common/object/ob_obj_compare.h (include)
ob-simd	ob-values-doc	upward-named	1	1	0	0	0	0	0	0	0	src/data_plane/api/data_plane/vector/ob_sparse_vector_ip_distance.h -> src/oblib/common/udt/ob_map_type.h (include)
ob-simd	storage-search	upward-named	4	4	0	0	0	0	0	0	0	src/data_plane/api/data_plane/vector/ob_sparse_vector_ip_distance.h -> src/data_plane/api/data_plane/vector/ob_vector_op_common.h (include); src/data_plane/api/data_plane/vector/ob_vector_cosine_distance.h -> src/data_plane/api/data_plane/vector/ob_vector_op_common.h (include)
ob-runtime	ob-errno	listed	2	0	0	0	0	2	0	0	0	src/data_plane/api/data_plane/scheduler/ob_dag_scheduler.h -> src/share/mysql_errno.h (via-generated); src/share/config/ob_server_config.cpp -> src/share/mysql_errno.h (via-generated)
ob-runtime	ob-base	listed	351	347	4	0	0	0	0	0	0	src/data_plane/api/data_plane/scheduler/ob_dag_scheduler.h -> src/oblib/lib/container/ob_se_array.h (include); src/data_plane/api/data_plane/scheduler/ob_dag_scheduler.h -> src/oblib/lib/hash/ob_hashmap.h (include); src/oblib/lib/thread/ob_thread_hook.cpp -> src/oblib/lib/lock/ob_futex.h (definition)
