defining_file	declaring_file	definitions	scopes
src/data_plane/ob_parallel_range_task_planner.cpp	src/data_plane/api/data_plane/access/ob_parallel_range_task_planner.h	1	oceanbase::data_plane::ObParallelRangeTaskPlanner=1
src/data_plane/ob_tablet_scan.cpp	src/data_plane/api/data_plane/access/ob_tablet_scan.h	19	oceanbase::common::ObLimitParam=6;oceanbase::common::ObTableScanOption=6;oceanbase::common::SampleInfo=6
src/logservice/applyservice/ob_log_apply_service.cpp	src/logservice/applyservice/ob_log_apply_service.h	86	oceanbase::logservice::ObApplyStatus=28;oceanbase::logservice::ObLogApplyService=24;oceanbase::logservice::ObApplyServiceQueueTask=15
src/logservice/common_util/ob_log_time_utils.cpp	src/logservice/common_util/ob_log_time_utils.h	2	oceanbase::logservice::print_human_timeval=1;oceanbase::logservice::print_human_tstamp=1
src/logservice/localservice/ob_local_log_handler_set.cpp	src/logservice/localservice/ob_local_log_handler_set.h	10	oceanbase::logservice::ObLocalLogHandlerSet=10
src/logservice/ob_append_callback.cpp	src/logservice/ob_append_callback.h	3	oceanbase::logservice::AppendCbBase=2;oceanbase::logservice::AppendCb=1
src/logservice/ob_log_allocator.cpp	src/logservice/ob_log_allocator.h	26	oceanbase::common::ObLogAllocator=26
src/logservice/ob_log_allocator_mgr.cpp	src/logservice/ob_log_allocator_mgr.h	9	oceanbase::common::ObLogAllocatorMgr=9
src/logservice/ob_log_handler.cpp	src/logservice/ob_log_handler.h	36	oceanbase::logservice::ObLogHandler=35;oceanbase::logservice::__get_log_handler=1
src/logservice/ob_log_monitor.cpp	src/logservice/ob_log_monitor.h	3	oceanbase::logservice::ObLogMonitor=3
src/logservice/ob_log_service.cpp	src/logservice/ob_log_service.h	32	oceanbase::logservice::ObLogService=31;oceanbase::logservice::check_clog_disk_full_or_hang=1
src/logservice/ob_server_log_block_mgr.cpp	src/logservice/ob_server_log_block_mgr.h	24	oceanbase::logservice::ObServerLogBlockMgr=24
src/logservice/palf/block_gc_timer_task.cpp	src/logservice/palf/block_gc_timer_task.h	8	oceanbase::palf::BlockGCTimerTask=8
src/logservice/palf/log_block_handler.cpp	src/logservice/palf/log_block_handler.h	26	oceanbase::palf::LogBlockHandler=18;oceanbase::palf::LogDIOAlignedBuf=8
src/logservice/palf/log_block_header.cpp	src/logservice/palf/log_block_header.h	18	oceanbase::palf::LogBlockHeader=18
src/logservice/palf/log_block_mgr.cpp	src/logservice/palf/log_block_mgr.h	20	oceanbase::palf::LogBlockMgr=20
src/logservice/palf/log_block_pool_interface.cpp	src/logservice/palf/log_block_pool_interface.h	4	oceanbase::palf::is_block_used_for_palf=1;oceanbase::palf::remove_directory_rec=1;oceanbase::palf::remove_file_at=1
src/logservice/palf/log_cache.cpp	src/logservice/palf/log_cache.h	13	oceanbase::palf::LogCache=7;oceanbase::palf::LogHotCache=6
src/logservice/palf/log_checksum.cpp	src/logservice/palf/log_checksum.h	8	oceanbase::palf::LogChecksum=8
src/logservice/palf/log_engine.cpp	src/logservice/palf/log_engine.h	43	oceanbase::palf::LogEngine=43
src/logservice/palf/log_entry.cpp	src/logservice/palf/log_entry.h	9	oceanbase::palf::LogEntry=9
src/logservice/palf/log_entry_header.cpp	src/logservice/palf/log_entry_header.h	24	oceanbase::palf::LogEntryHeader=23;oceanbase::palf::xxhash_16=1
src/logservice/palf/log_group_buffer.cpp	src/logservice/palf/log_group_buffer.h	25	oceanbase::palf::LogGroupBuffer=25
src/logservice/palf/log_group_entry.cpp	src/logservice/palf/log_group_entry.h	11	oceanbase::palf::LogGroupEntry=11
src/logservice/palf/log_group_entry_header.cpp	src/logservice/palf/log_group_entry_header.h	26	oceanbase::palf::LogGroupEntryHeader=26
src/logservice/palf/log_io_adapter.cpp	src/logservice/palf/log_io_adapter.h	10	oceanbase::palf::LogIOAdapter=7;oceanbase::palf::LogIODeviceWrapper=3
src/logservice/palf/log_io_context.cpp	src/logservice/palf/log_io_context.h	1	oceanbase::palf::LogIOContext=1
src/logservice/palf/log_io_task.cpp	src/logservice/palf/log_io_task.h	53	oceanbase::palf::BatchLogIOFlushLogTask=11;oceanbase::palf::LogIOTask=11;oceanbase::palf::LogIOFlushLogTask=8
