from_dir	to_dir	file_edges
bazel/probes	src/logservice	1
bazel/probes	src/oblib/common	1
bazel/probes	src/oblib/easy/io	1
bazel/probes	src/oblib/easy/util	1
bazel/probes	src/oblib/lib/compress	1
bazel/probes	src/oblib/lib/restore	1
bazel/probes	src/oblib/lib/vector	1
bazel/probes	src/oblib/rpc/frame	1
bazel/probes	src/storage	1
src/data_plane	src/data_plane/api/data_plane/access	2
src/data_plane/api/data_plane	src/data_plane/api/data_plane/access	1
src/data_plane/api/data_plane	src/data_plane/api/data_plane/memtable	2
src/data_plane/api/data_plane	src/oblib/common	2
src/data_plane/api/data_plane	src/oblib/common/datum	1
src/data_plane/api/data_plane	src/oblib/common/mysqlclient	1
src/data_plane/api/data_plane	src/oblib/common/number	1
src/data_plane/api/data_plane	src/oblib/common/sql_mode	1
src/data_plane/api/data_plane	src/oblib/common/timezone	1
src/data_plane/api/data_plane	src/oblib/lib	2
src/data_plane/api/data_plane	src/oblib/lib/allocator	1
src/data_plane/api/data_plane	src/oblib/lib/charset	1
src/data_plane/api/data_plane	src/oblib/lib/container	3
src/data_plane/api/data_plane	src/oblib/lib/net	1
src/data_plane/api/data_plane	src/oblib/lib/string	2
src/data_plane/api/data_plane	src/oblib/lib/utility	2
src/data_plane/api/data_plane/access	src/data_plane/api/data_plane/fts	1
src/data_plane/api/data_plane/access	src/data_plane/api/data_plane/transaction	1
src/data_plane/api/data_plane/access	src/oblib/common	3
src/data_plane/api/data_plane/access	src/oblib/common/object	2
src/data_plane/api/data_plane/access	src/oblib/common/sql_mode	1
src/data_plane/api/data_plane/access	src/oblib/lib/container	4
src/data_plane/api/data_plane/access	src/oblib/lib/literals	1
src/data_plane/api/data_plane/access	src/oblib/lib/string	1
src/data_plane/api/data_plane/access	src/oblib/lib/utility	5
src/data_plane/api/data_plane/access	src/share	2
src/data_plane/api/data_plane/access	src/share/geo	1
src/data_plane/api/data_plane/access	src/share/schema	4
src/data_plane/api/data_plane/access	src/share/transaction	1
src/data_plane/api/data_plane/blocksstable	src/data_plane/api/data_plane/meta	1
src/data_plane/api/data_plane/blocksstable	src/oblib/common	2
src/data_plane/api/data_plane/blocksstable	src/oblib/common/datum	2
src/data_plane/api/data_plane/blocksstable	src/oblib/lib	1
src/data_plane/api/data_plane/blocksstable	src/oblib/lib/allocator	2
src/data_plane/api/data_plane/blocksstable	src/oblib/lib/oblog	2
src/data_plane/api/data_plane/blocksstable	src/oblib/lib/utility	5
src/data_plane/api/data_plane/blocksstable	src/share/allocator	1
src/data_plane/api/data_plane/blocksstable	src/share/datum	1
src/data_plane/api/data_plane/blocksstable	src/share/transaction	1
src/data_plane/api/data_plane/blocksstable	src/storage/blocksstable/index_block	1
src/data_plane/api/data_plane/compaction	src/oblib/common	1
src/data_plane/api/data_plane/compaction	src/oblib/lib/container	1
src/data_plane/api/data_plane/compaction	src/oblib/lib/net	1
src/data_plane/api/data_plane/compaction	src/oblib/lib/utility	1
src/data_plane/api/data_plane/compaction	src/share	1
src/data_plane/api/data_plane/ddl	src/oblib/common	2
src/data_plane/api/data_plane/ddl	src/oblib/lib	1
src/data_plane/api/data_plane/ddl	src/oblib/lib/allocator	1
src/data_plane/api/data_plane/ddl	src/oblib/lib/container	1
src/data_plane/api/data_plane/ddl	src/oblib/lib/utility	3
src/data_plane/api/data_plane/encoding	src/oblib/lib/charset	1
src/data_plane/api/data_plane/fts	src/oblib/common/json_type	1
src/data_plane/api/data_plane/fts	src/oblib/common/object	3
src/data_plane/api/data_plane/fts	src/oblib/lib/allocator	3
src/data_plane/api/data_plane/fts	src/oblib/lib/charset	3
src/data_plane/api/data_plane/fts	src/oblib/lib/hash	1
src/data_plane/api/data_plane/fts	src/oblib/lib/json	1
src/data_plane/api/data_plane/fts	src/oblib/lib/oblog	1
src/data_plane/api/data_plane/fts	src/oblib/lib/string	4
src/data_plane/api/data_plane/fts	src/oblib/lib/utility	5
src/data_plane/api/data_plane/fts	src/share	1
src/data_plane/api/data_plane/fts	src/share/datum	1
src/data_plane/api/data_plane/fts/dict	src/data_plane/api/data_plane/fts	1
src/data_plane/api/data_plane/fts/dict	src/oblib/common/mysqlclient	1
src/data_plane/api/data_plane/fts/dict	src/oblib/lib/lock	1
src/data_plane/api/data_plane/fts/dict	src/share	1
src/data_plane/api/data_plane/lob	src/oblib/common/object	2
src/data_plane/api/data_plane/lob	src/oblib/lib/container	1
src/data_plane/api/data_plane/memtable	src/oblib/lib/utility	2
src/data_plane/api/data_plane/meta	src/oblib/lib/container	1
src/data_plane/api/data_plane/meta	src/oblib/lib/utility	2
src/data_plane/api/data_plane/report	src/oblib/common	1
src/data_plane/api/data_plane/report	src/oblib/lib/utility	1
src/data_plane/api/data_plane/retrieval	src/oblib/common/datum	2
src/data_plane/api/data_plane/retrieval	src/oblib/lib/allocator	1
src/data_plane/api/data_plane/retrieval	src/oblib/lib/container	1
src/data_plane/api/data_plane/retrieval	src/share	2
src/data_plane/api/data_plane/scheduler	src/oblib/lib	2
src/data_plane/api/data_plane/scheduler	src/oblib/lib/allocator	1
src/data_plane/api/data_plane/scheduler	src/oblib/lib/container	3
src/data_plane/api/data_plane/scheduler	src/oblib/lib/hash	1
src/data_plane/api/data_plane/scheduler	src/oblib/lib/list	2
src/data_plane/api/data_plane/scheduler	src/oblib/lib/lock	2
src/data_plane/api/data_plane/scheduler	src/oblib/lib/profile	2
src/data_plane/api/data_plane/scheduler	src/oblib/lib/string	1
src/data_plane/api/data_plane/scheduler	src/oblib/lib/thread	1
src/data_plane/api/data_plane/scheduler	src/oblib/lib/utility	2
src/data_plane/api/data_plane/scheduler	src/share	3
src/data_plane/api/data_plane/scheduler	src/share/rc	1
src/data_plane/api/data_plane/tablelock	src/oblib/lib/string	1
src/data_plane/api/data_plane/tablelock	src/oblib/lib/utility	1
src/data_plane/api/data_plane/tablelock	src/share	1
src/data_plane/api/data_plane/tmp_file	src/oblib/lib/utility	1
src/data_plane/api/data_plane/tmp_file	src/share/io	1
src/data_plane/api/data_plane/transaction	src/oblib/lib	2
src/data_plane/api/data_plane/transaction	src/oblib/lib/container	2
src/data_plane/api/data_plane/transaction	src/oblib/lib/hash_func	1
src/data_plane/api/data_plane/transaction	src/oblib/lib/net	1
src/data_plane/api/data_plane/transaction	src/oblib/lib/string	5
src/data_plane/api/data_plane/transaction	src/oblib/lib/utility	14
src/data_plane/api/data_plane/transaction	src/share	4
src/data_plane/api/data_plane/transaction	src/share/transaction	4
src/data_plane/api/data_plane/truncate_info	src/oblib/common/rowkey	1
src/data_plane/api/data_plane/truncate_info	src/oblib/lib/container	1
src/data_plane/api/data_plane/truncate_info	src/oblib/lib/utility	2
src/data_plane/api/data_plane/truncate_info	src/share/schema	1
src/data_plane/api/data_plane/vector	src/oblib/common/mysqlclient	1
src/data_plane/api/data_plane/vector	src/oblib/common/object	7
src/data_plane/api/data_plane/vector	src/oblib/common/rowkey	1
src/data_plane/api/data_plane/vector	src/oblib/common/udt	1
src/data_plane/api/data_plane/vector	src/oblib/lib	6
src/data_plane/api/data_plane/vector	src/oblib/lib/container	1
src/data_plane/api/data_plane/vector	src/oblib/lib/oblog	7
src/data_plane/api/data_plane/vector	src/oblib/lib/utility	9
src/logservice	src/logservice/applyservice	1
src/logservice	src/logservice/localservice	1
src/logservice	src/logservice/palf	10
src/logservice	src/logservice/replayservice	2
src/logservice	src/oblib/common	2
src/logservice	src/oblib/lib	3
src/logservice	src/oblib/lib/alloc	1
src/logservice	src/oblib/lib/allocator	4
src/logservice	src/oblib/lib/container	1
src/logservice	src/oblib/lib/lock	3
src/logservice	src/oblib/lib/queue	2
src/logservice	src/oblib/lib/utility	5
src/logservice	src/share	6
src/logservice	src/share/log/palf	4
src/logservice	src/share/rc	2
src/logservice	src/share/resource	1
src/logservice/applyservice	src/logservice	2
src/logservice/applyservice	src/logservice/palf	3
src/logservice/applyservice	src/oblib/common	1
src/logservice/applyservice	src/oblib/lib/lock	1
src/logservice/applyservice	src/oblib/lib/queue	1
src/logservice/applyservice	src/oblib/lib/thread	2
src/logservice/applyservice	src/share	1
src/logservice/common_util	src/oblib/lib/time	1
src/logservice/common_util	src/share	1
src/logservice/localservice	src/oblib/lib/container	2
src/logservice/localservice	src/oblib/lib/lock	1
src/logservice/localservice	src/oblib/lib/utility	1
src/logservice/localservice	src/share	1
