path	status	lines	includers	how_identified	generator	plan
rust/sql-nio/include/nio.h	checked-in	534	10	marker 'Generated by cbindgen from the crate's ABI items. DO NOT EDIT: change the' at rust/sql-nio/include/nio.h:23; output named at rust/sql-nio/build.rs:19	rust/sql-nio/build.rs	dropped: sql-nio becomes a plain Rust crate (PLAN section 3)
src/oblib/grpc/standbyservice.grpc.pb.cc	checked-in	421	0	marker 'Generated by the gRPC C++ plugin.' at src/oblib/grpc/standbyservice.grpc.pb.cc:1	grpc_cpp_plugin from src/oblib/grpc/standbyservice.proto	regenerated with prost/tonic (PLAN section 3)
src/oblib/grpc/standbyservice.grpc.pb.h	checked-in	1677	3	marker 'Generated by the gRPC C++ plugin.' at src/oblib/grpc/standbyservice.grpc.pb.h:1	grpc_cpp_plugin from src/oblib/grpc/standbyservice.proto	regenerated with prost/tonic (PLAN section 3)
src/oblib/grpc/standbyservice.pb.cc	checked-in	5216	0	marker 'Generated by the protocol buffer compiler. DO NOT EDIT!' at src/oblib/grpc/standbyservice.pb.cc:1	protoc from src/oblib/grpc/standbyservice.proto	regenerated with prost/tonic (PLAN section 3)
src/oblib/grpc/standbyservice.pb.h	checked-in	5031	0	marker 'Generated by the protocol buffer compiler. DO NOT EDIT!' at src/oblib/grpc/standbyservice.pb.h:1	protoc from src/oblib/grpc/standbyservice.proto	regenerated with prost/tonic (PLAN section 3)
src/oblib/lib/codec/ob_generated_scalar_bp_func.cpp	checked-in	11594	0	output named at src/oblib/lib/codec/generate_scalar_bitpakcing.py:342	src/oblib/lib/codec/generate_scalar_bitpakcing.py	dropped with lib/codec (PLAN section 3)
src/oblib/lib/codec/ob_generated_scalar_bp_func.h	checked-in	51	1	output named at src/oblib/lib/codec/generate_scalar_bitpakcing.py:339	src/oblib/lib/codec/generate_scalar_bitpakcing.py	dropped with lib/codec (PLAN section 3)
src/oblib/lib/codec/ob_generated_unalign_simd_bp_func.cpp	checked-in	12705	0	output named at src/oblib/lib/codec/generate_simd_bitpakcing.py:746	src/oblib/lib/codec/generate_simd_bitpakcing.py	dropped with lib/codec (PLAN section 3)
src/oblib/lib/codec/ob_generated_unalign_simd_bp_func.h	checked-in	56	1	output named at src/oblib/lib/codec/generate_simd_bitpakcing.py:743	src/oblib/lib/codec/generate_simd_bitpakcing.py	dropped with lib/codec (PLAN section 3)
src/oblib/lib/ob_errno.h	checked-in	396	143	marker 'DO NOT EDIT. This file is automatically generated from ob_errno.def.' at src/oblib/lib/ob_errno.h:17; output named at src/share/gen_errno.pl:199	src/share/gen_errno.pl	regenerated: generator pointed at Rust output (PLAN section 3)
src/share/datum/ob_str_datum_funcs_compilation/ob_str_datum_funcs_all.cpp	checked-in	30	0	output named at src/share/datum/ob_str_datum_funcs_compilation/gen_str_datum_func_parts.py:151	src/share/datum/ob_str_datum_funcs_compilation/gen_str_datum_func_parts.py	regenerated: generator pointed at Rust output (PLAN section 3)
src/share/datum/ob_str_datum_funcs_compilation/ob_str_datum_funcs_compilation.ipp	checked-in	42	0	output named at src/share/datum/ob_str_datum_funcs_compilation/gen_str_datum_func_parts.py:156	src/share/datum/ob_str_datum_funcs_compilation/gen_str_datum_func_parts.py	regenerated: generator pointed at Rust output (PLAN section 3)
src/share/datum/ob_str_datum_funcs_compilation/ob_str_datum_funcs_compilation_0.cpp	checked-in	26	0	output named at src/share/datum/ob_str_datum_funcs_compilation/gen_str_datum_func_parts.py:96	src/share/datum/ob_str_datum_funcs_compilation/gen_str_datum_func_parts.py	regenerated: generator pointed at Rust output (PLAN section 3)
src/share/datum/ob_str_datum_funcs_compilation/ob_str_datum_funcs_compilation_1.cpp	checked-in	26	0	output named at src/share/datum/ob_str_datum_funcs_compilation/gen_str_datum_func_parts.py:96	src/share/datum/ob_str_datum_funcs_compilation/gen_str_datum_func_parts.py	regenerated: generator pointed at Rust output (PLAN section 3)
src/share/datum/ob_str_datum_funcs_compilation/ob_str_datum_funcs_compilation_2.cpp	checked-in	26	0	output named at src/share/datum/ob_str_datum_funcs_compilation/gen_str_datum_func_parts.py:96	src/share/datum/ob_str_datum_funcs_compilation/gen_str_datum_func_parts.py	regenerated: generator pointed at Rust output (PLAN section 3)
src/share/geo/ob_vector_tile.pb-c.c	checked-in	432	0	marker 'Generated by the protocol buffer compiler. DO NOT EDIT!' at src/share/geo/ob_vector_tile.pb-c.c:16	protoc-c from src/share/geo/ob_vector_tile.proto	regenerated with prost/tonic (PLAN section 3)
src/share/geo/ob_vector_tile.pb-c.h	checked-in	219	1	marker 'Generated by the protocol buffer compiler. DO NOT EDIT!' at src/share/geo/ob_vector_tile.pb-c.h:1	protoc-c from src/share/geo/ob_vector_tile.proto	regenerated with prost/tonic (PLAN section 3)
src/share/ob_errno.cpp	checked-in	15636	0	marker 'DO NOT EDIT. This file is automatically generated from `ob_errno.def'.' at src/share/ob_errno.cpp:18; output named at src/share/gen_errno.pl:244	src/share/gen_errno.pl	regenerated: generator pointed at Rust output (PLAN section 3)
src/share/ob_errno.h	checked-in	2792	55	marker 'DO NOT EDIT. This file is automatically generated from `ob_errno.def'.' at src/share/ob_errno.h:18; output named at src/share/gen_errno.pl:110	src/share/gen_errno.pl	regenerated: generator pointed at Rust output (PLAN section 3)
src/share/system_variable/ob_sys_var_class_type.h	checked-in	750	5	output named at src/share/system_variable/gen_ob_sys_variables.py:1176	src/share/system_variable/gen_ob_sys_variables.py	regenerated: generator pointed at Rust output (PLAN section 3)
src/share/system_variable/ob_sys_var_meta.cpp	checked-in	2298	0	output named at src/share/system_variable/gen_ob_sys_variables.py:1179	src/share/system_variable/gen_ob_sys_variables.py	regenerated: generator pointed at Rust output (PLAN section 3)
src/share/system_variable/ob_sys_var_meta.h	checked-in	56	3	output named at src/share/system_variable/gen_ob_sys_variables.py:1178	src/share/system_variable/gen_ob_sys_variables.py	regenerated: generator pointed at Rust output (PLAN section 3)
src/share/system_variable/ob_system_variable_alias.h	checked-in	746	6	output named at src/share/system_variable/gen_ob_sys_variables.py:1175	src/share/system_variable/gen_ob_sys_variables.py	regenerated: generator pointed at Rust output (PLAN section 3)
src/share/system_variable/ob_system_variable_init.cpp	checked-in	10048	0	output named at src/share/system_variable/gen_ob_sys_variables.py:1174	src/share/system_variable/gen_ob_sys_variables.py	regenerated: generator pointed at Rust output (PLAN section 3)
src/share/system_variable/ob_system_variable_init.h	checked-in	108	2	output named at src/share/system_variable/gen_ob_sys_variables.py:1173	src/share/system_variable/gen_ob_sys_variables.py	regenerated: generator pointed at Rust output (PLAN section 3)
src/sql/engine/expr/ob_expr_str_cmp_func_compile/ob_expr_str_cmp_func_all.cpp	checked-in	42	0	output named at src/sql/engine/expr/ob_expr_str_cmp_func_compile/gen_expr_str_cmp_func.py:257	src/sql/engine/expr/ob_expr_str_cmp_func_compile/gen_expr_str_cmp_func.py	regenerated: generator pointed at Rust output (PLAN section 3)
src/sql/engine/expr/ob_expr_str_cmp_func_compile/ob_expr_str_cmp_func_part_0.cpp	checked-in	48	0	output named at src/sql/engine/expr/ob_expr_str_cmp_func_compile/gen_expr_str_cmp_func.py:255	src/sql/engine/expr/ob_expr_str_cmp_func_compile/gen_expr_str_cmp_func.py	regenerated: generator pointed at Rust output (PLAN section 3)
src/sql/engine/expr/ob_expr_str_cmp_func_compile/ob_expr_str_cmp_func_part_1.cpp	checked-in	48	0	output named at src/sql/engine/expr/ob_expr_str_cmp_func_compile/gen_expr_str_cmp_func.py:255	src/sql/engine/expr/ob_expr_str_cmp_func_compile/gen_expr_str_cmp_func.py	regenerated: generator pointed at Rust output (PLAN section 3)
src/sql/engine/expr/ob_expr_str_cmp_func_compile/ob_expr_str_cmp_func_part_2.cpp	checked-in	48	0	output named at src/sql/engine/expr/ob_expr_str_cmp_func_compile/gen_expr_str_cmp_func.py:255	src/sql/engine/expr/ob_expr_str_cmp_func_compile/gen_expr_str_cmp_func.py	regenerated: generator pointed at Rust output (PLAN section 3)
src/sql/engine/expr/ob_expr_str_cmp_func_compile/ob_expr_str_cmp_func_part_3.cpp	checked-in	48	0	output named at src/sql/engine/expr/ob_expr_str_cmp_func_compile/gen_expr_str_cmp_func.py:255	src/sql/engine/expr/ob_expr_str_cmp_func_compile/gen_expr_str_cmp_func.py	regenerated: generator pointed at Rust output (PLAN section 3)
src/sql/engine/expr/ob_expr_str_cmp_func_compile/ob_expr_str_cmp_func_part_4.cpp	checked-in	48	0	output named at src/sql/engine/expr/ob_expr_str_cmp_func_compile/gen_expr_str_cmp_func.py:255	src/sql/engine/expr/ob_expr_str_cmp_func_compile/gen_expr_str_cmp_func.py	regenerated: generator pointed at Rust output (PLAN section 3)
src/sql/engine/expr/ob_expr_str_cmp_func_compile/ob_expr_str_cmp_func_part_5.cpp	checked-in	48	0	output named at src/sql/engine/expr/ob_expr_str_cmp_func_compile/gen_expr_str_cmp_func.py:255	src/sql/engine/expr/ob_expr_str_cmp_func_compile/gen_expr_str_cmp_func.py	regenerated: generator pointed at Rust output (PLAN section 3)
src/sql/engine/expr/ob_expr_str_cmp_func_compile/ob_expr_str_cmp_func_part_6.cpp	checked-in	48	0	output named at src/sql/engine/expr/ob_expr_str_cmp_func_compile/gen_expr_str_cmp_func.py:255	src/sql/engine/expr/ob_expr_str_cmp_func_compile/gen_expr_str_cmp_func.py	regenerated: generator pointed at Rust output (PLAN section 3)
