from	to	what	count	class	examples	in_ledger
ob-base	ob-runtime	src/oblib/lib/compress/ob_compress_util.h	2	upward-named	src/oblib/lib/oblog/ob_log_compressor.h:21 -> src/oblib/lib/compress/ob_compress_util.h: (include); src/share/ob_define.h:21 -> src/oblib/lib/compress/ob_compress_util.h: (include)	no
ob-base	ob-runtime	src/oblib/lib/compress/ob_compressor_pool.h	1	upward-named	src/oblib/lib/oblog/ob_log_compressor.cpp:34 -> src/oblib/lib/compress/ob_compressor_pool.h: (include)	no
ob-base	ob-runtime	src/oblib/lib/file/file_directory_utils.h	1	upward-named	src/oblib/lib/utility/utility.cpp:40 -> src/oblib/lib/file/file_directory_utils.h: (include)	no
ob-base	ob-runtime	src/oblib/lib/lock/ob_futex.h	3	upward-named	src/oblib/lib/lock/ob_latch.h:23 -> src/oblib/lib/lock/ob_futex.h: (include); src/oblib/lib/lock/ob_scond.h:21 -> src/oblib/lib/lock/ob_futex.h: (include); src/oblib/lib/queue/ob_lighty_queue.h:25 -> src/oblib/lib/lock/ob_futex.h: (include)	no
ob-base	ob-runtime	src/oblib/lib/net/ob_addr.h	1	upward-named	src/oblib/lib/profile/ob_trace_id.h:21 -> src/oblib/lib/net/ob_addr.h: (include)	no
ob-base	ob-runtime	src/oblib/lib/task/ob_timer.h	2	upward-named	src/oblib/lib/oblog/ob_log_compressor.h:23 -> src/oblib/lib/task/ob_timer.h: (include); src/oblib/lib/time/ob_cur_time.h:20 -> src/oblib/lib/task/ob_timer.h: (include)	no
ob-base	ob-runtime	src/oblib/lib/thread/ob_pthread.cpp	2	upward-named	src/oblib/lib/oblog/ob_base_log_writer.cpp:25 -> src/oblib/lib/thread/ob_pthread.cpp:24 (link); src/oblib/lib/oblog/ob_ringbuf_log_writer.cpp:24 -> src/oblib/lib/thread/ob_pthread.cpp:24 (link)	no
ob-base	ob-runtime	src/oblib/lib/thread/ob_thread_name.h	4	upward-named	src/oblib/lib/alloc/memory_dump.cpp:29 -> src/oblib/lib/thread/ob_thread_name.h: (include); src/oblib/lib/oblog/ob_base_log_writer.cpp:21 -> src/oblib/lib/thread/ob_thread_name.h: (include); src/oblib/lib/oblog/ob_ringbuf_log_writer.cpp:20 -> src/oblib/lib/thread/ob_thread_name.h: (include)	no
ob-base	ob-runtime	src/oblib/lib/thread/protected_stack_allocator.h	1	upward-named	src/oblib/lib/utility/ob_smart_call.h:22 -> src/oblib/lib/thread/protected_stack_allocator.h: (include)	no
ob-base	ob-runtime	src/oblib/lib/thread/thread.h	1	upward-named	src/oblib/lib/stat/ob_diagnose_info.h:26 -> src/oblib/lib/thread/thread.h: (include)	no
ob-base	ob-runtime	src/oblib/lib/thread/thread_pool.h	2	upward-named	src/oblib/lib/alloc/memory_dump.h:24 -> src/oblib/lib/thread/thread_pool.h: (include); src/oblib/lib/time/ob_clock_generator.h:26 -> src/oblib/lib/thread/thread_pool.h: (include)	no
ob-base	ob-runtime	src/oblib/rpc/frame/ob_net_easy.cpp	1	upward-named	src/oblib/lib/oblog/ob_log.cpp:78 -> src/oblib/rpc/frame/ob_net_easy.cpp:538 (link)	no
ob-base	ob-runtime	src/share/config/ob_runtime_config.h	1	upward-named	src/sql/executor/ob_memory_tracker.cpp:20 -> src/share/config/ob_runtime_config.h: (include)	no
ob-base	ob-runtime	src/share/rc/ob_server_runtime.h	1	upward-named	src/sql/executor/ob_memory_tracker.cpp:21 -> src/share/rc/ob_server_runtime.h: (include)	no
ob-base	ob-values	src/oblib/common/ob_tablet_id.h	1	upward-named	src/share/ob_define.h:24 -> src/oblib/common/ob_tablet_id.h: (include)	no
ob-base	ob-values	src/oblib/common/object/ob_object.h	1	upward-named	src/oblib/common/ob_obj_deep_copy.cpp:20 -> src/oblib/common/object/ob_object.h: (include)	no
ob-base	ob-values	src/oblib/lib/charset/ob_ctype.h	1	upward-named	src/oblib/lib/utility/ob_hang_fatal_error.cpp: -> src/oblib/lib/charset/ob_ctype.h: (definition)	no
ob-base	ob-values	src/oblib/lib/charset/ob_mysql_global.h	1	upward-named	src/oblib/lib/signal/ob_signal_utils.cpp:26 -> src/oblib/lib/charset/ob_mysql_global.h: (include)	no
ob-base	x-dropped	src/oblib/easy/include/easy_define.h	1	uses-dropped	src/oblib/lib/utility/utility.h:39 -> src/oblib/easy/include/easy_define.h: (include)	no
ob-base	x-dropped	src/oblib/easy/util/easy_string.h	2	uses-dropped	src/oblib/lib/signal/ob_libunwind.c:21 -> src/oblib/easy/util/easy_string.h: (include); src/oblib/lib/signal/ob_signal_utils.h:36 -> src/oblib/easy/util/easy_string.h: (include)	no
ob-simd	ob-values	src/oblib/common/object/ob_obj_compare.h	5	upward-named	src/data_plane/api/data_plane/vector/ob_sparse_vector_ip_distance.h:23 -> src/oblib/common/object/ob_obj_compare.h: (include); src/data_plane/api/data_plane/vector/ob_vector_cosine_distance.h:23 -> src/oblib/common/object/ob_obj_compare.h: (include); src/data_plane/api/data_plane/vector/ob_vector_ip_distance.h:23 -> src/oblib/common/object/ob_obj_compare.h: (include)	no
ob-simd	ob-values-doc	src/oblib/common/udt/ob_map_type.h	1	upward-named	src/data_plane/api/data_plane/vector/ob_sparse_vector_ip_distance.h:25 -> src/oblib/common/udt/ob_map_type.h: (include)	no
ob-simd	storage-search	src/data_plane/api/data_plane/vector/ob_vector_op_common.h	4	upward-named	src/data_plane/api/data_plane/vector/ob_sparse_vector_ip_distance.h:24 -> src/data_plane/api/data_plane/vector/ob_vector_op_common.h: (include); src/data_plane/api/data_plane/vector/ob_vector_cosine_distance.h:24 -> src/data_plane/api/data_plane/vector/ob_vector_op_common.h: (include); src/data_plane/api/data_plane/vector/ob_vector_ip_distance.h:24 -> src/data_plane/api/data_plane/vector/ob_vector_op_common.h: (include)	no
ob-runtime	ob-values	src/oblib/common/meta_programming/ob_meta_compare.h	1	upward-named	src/share/cache/ob_recycle_multi_kvcache.h:90 -> src/oblib/common/meta_programming/ob_meta_compare.h: (include)	no
ob-runtime	ob-values	src/oblib/common/meta_programming/ob_meta_copy.h	1	upward-named	src/share/cache/ob_recycle_multi_kvcache.ipp:25 -> src/oblib/common/meta_programming/ob_meta_copy.h: (include)	no
