file	line	include	class	condition	in_repo_candidates
src/logservice/ob_server_log_block_mgr.cpp	24	<io.h>	unresolved-external	defined(_WIN32)	
src/logservice/ob_server_log_block_mgr.cpp	27	<direct.h>	unresolved-external	defined(_WIN32)	
src/logservice/ob_server_log_block_mgr.cpp	28	<windows.h>	unresolved-external	defined(_WIN32)	
src/logservice/palf/log_block_mgr.cpp	22	<io.h>	unresolved-external	defined(_WIN32)	
src/logservice/palf/log_block_pool_interface.cpp	20	<io.h>	unresolved-external	defined(_WIN32)	
src/logservice/palf/log_block_pool_interface.cpp	23	<windows.h>	unresolved-external	defined(_WIN32)	
src/logservice/palf/log_io_utils.cpp	18	<linux/falloc.h>	unresolved-external	defined(__linux__)	
src/logservice/palf/log_io_utils.cpp	23	<io.h>	unresolved-external	defined(_WIN32)	
src/logservice/palf/log_io_utils.cpp	29	<basetsd.h>	unresolved-external	defined(_WIN32)	
src/logservice/palf/log_io_utils.cpp	30	<windows.h>	unresolved-external	defined(_WIN32)	
src/logservice/palf/palf_env_impl.cpp	20	<direct.h>	unresolved-external	defined(_WIN32)	
src/oblib/common/timezone/private.h	103	"libintl.h"	unresolved-external	HAVE_GETTEXT	
src/oblib/easy/include/easy_define.h	36	<io.h>	unresolved-external	!(!defined(_WIN32))	
src/oblib/easy/include/easy_define.h	37	<process.h>	unresolved-external	!(!defined(_WIN32))	
src/oblib/easy/include/easy_define.h	40	<BaseTsd.h>	unresolved-external	!(!defined(_WIN32))	
src/oblib/grpc/ob_grpc_context.h	24	<winsock2.h>	unresolved-external	defined(_WIN32)	
src/oblib/grpc/ob_grpc_context.h	25	<windows.h>	unresolved-external	defined(_WIN32)	
src/oblib/grpc/ob_grpc_context.h	34	<mswsock.h>	unresolved-external	defined(_WIN32)	
src/oblib/grpc/ob_grpc_server.h	24	<winsock2.h>	unresolved-external	defined(_WIN32)	
src/oblib/grpc/ob_grpc_server.h	25	<windows.h>	unresolved-external	defined(_WIN32)	
src/oblib/grpc/ob_grpc_server.h	34	<mswsock.h>	unresolved-external	defined(_WIN32)	
src/oblib/lib/alloc/alloc_failed_reason.cpp	24	<windows.h>	unresolved-external	!(!defined(_WIN32))	
src/oblib/lib/alloc/alloc_failed_reason.cpp	25	<psapi.h>	unresolved-external	!(!defined(_WIN32))	
src/oblib/lib/alloc/block_set.cpp	22	<windows.h>	unresolved-external	defined(_WIN32)	
src/oblib/lib/alloc/malloc_hook_extended.cpp	23	<gnu/libc-version.h>	unresolved-external		
src/oblib/lib/allocator/ob_jemalloc_sanity.cpp	34	<sanity/sanity.h>	unresolved-external	defined(ENABLE_SANITY)	
src/oblib/lib/allocator/ob_malloc.cpp	22	<malloc.h>	unresolved-external	defined(__linux__)	
