unit	files	lines	class_key	in_build
bazel/probes/easy_public_interface_probe	bazel/probes/easy_public_interface_probe.cpp	24	-	no
bazel/probes/logservice_public_interface_probe	bazel/probes/logservice_public_interface_probe.cpp	23	-	no
bazel/probes/oblib_interface_probe	bazel/probes/oblib_interface_probe.cpp	35	-	no
bazel/probes/transitive_storage_header_probe	bazel/probes/transitive_storage_header_probe.cpp	31	-	no
bazel/sanity_abort	bazel/sanity_abort.cpp	22	-	no
include/android_compat	include/android_compat.h	37	-	no
src/data_plane/api/data_plane/access/ob_dml_execution	src/data_plane/api/data_plane/access/ob_dml_execution.h	136	oceanbase::data_plane::ObDmlExecution	yes
src/data_plane/api/data_plane/access/ob_lock_flag	src/data_plane/api/data_plane/access/ob_lock_flag.h	43	-	yes
src/data_plane/api/data_plane/access/ob_table_read_info	src/data_plane/api/data_plane/access/ob_table_read_info.h	72	oceanbase::storage::ObITableReadInfo	yes
src/data_plane/api/data_plane/access/ob_tablet_split_type	src/data_plane/api/data_plane/access/ob_tablet_split_type.h	38	-	yes
src/data_plane/api/data_plane/blocksstable/ob_datum_row_iterator	src/data_plane/api/data_plane/blocksstable/ob_datum_row_iterator.h,src/storage/blocksstable/ob_datum_row_iterator.h	109	oceanbase::blocksstable::ObDatumRowIterator	yes
src/data_plane/api/data_plane/blocksstable/ob_index_block_util	src/data_plane/api/data_plane/blocksstable/ob_index_block_util.h	248	oceanbase::blocksstable::ObSkipIndexColMeta	yes
src/data_plane/api/data_plane/compaction/ob_i_major_freeze_coordinator	src/data_plane/api/data_plane/compaction/ob_i_major_freeze_coordinator.h	78	oceanbase::data_plane::ObIMajorFreezeCoordinator	yes
src/data_plane/api/data_plane/ddl/ob_direct_load_control	src/data_plane/api/data_plane/ddl/ob_direct_load_control.h	51	oceanbase::data_plane::ObDirectLoadControl	yes
src/data_plane/api/data_plane/ddl/ob_direct_load_type	src/data_plane/api/data_plane/ddl/ob_direct_load_type.h	60	-	yes
src/data_plane/api/data_plane/direct_load/ob_table_load_row_array_lifecycle	src/data_plane/api/data_plane/direct_load/ob_table_load_row_array_lifecycle.h	39	-	yes
src/data_plane/api/data_plane/encoding/ob_ascii_util	src/data_plane/api/data_plane/encoding/ob_ascii_util.h	94	-	yes
src/data_plane/api/data_plane/encoding/ob_cpu_features	src/data_plane/api/data_plane/encoding/ob_cpu_features.h	57	-	yes
src/data_plane/api/data_plane/fts/ob_doc_id	src/data_plane/api/data_plane/fts/ob_doc_id.h	48	oceanbase::share::ObDocIDUtils	yes
src/data_plane/api/data_plane/fts/ob_fts_literal	src/data_plane/api/data_plane/fts/ob_fts_literal.h,src/storage/fts/ob_fts_literal.h	121	oceanbase::storage::ObFTSLiteral	yes
src/data_plane/api/data_plane/fts/ob_fts_parser	src/data_plane/api/data_plane/fts/ob_fts_parser.h,src/storage/fts/ob_fts_parser.h	175	oceanbase::storage::ObFTIKParam	yes
src/data_plane/api/data_plane/memtable/ob_lock_wait_service	src/data_plane/api/data_plane/memtable/ob_lock_wait_service.h	36	oceanbase::data_plane::ObILockWaitService	yes
src/data_plane/api/data_plane/meta/ob_fixed_meta_obj_array	src/data_plane/api/data_plane/meta/ob_fixed_meta_obj_array.h,src/storage/meta_mem/ob_fixed_meta_obj_array.h	400	oceanbase::storage::ObFixedMetaObjArray	yes
src/data_plane/api/data_plane/ob_i_data_validation_service	src/data_plane/api/data_plane/ob_i_data_validation_service.h	35	ObIDataValidationService	no
src/data_plane/api/data_plane/ob_i_dml_service	src/data_plane/api/data_plane/ob_i_dml_service.h	150	oceanbase::data_plane::ObIDmlService	yes
src/data_plane/api/data_plane/ob_i_memory_pressure_service	src/data_plane/api/data_plane/ob_i_memory_pressure_service.h	42	oceanbase::data_plane::ObIMemoryPressureService	yes
src/data_plane/api/data_plane/ob_i_optimizer_storage_service	src/data_plane/api/data_plane/ob_i_optimizer_storage_service.h	53	oceanbase::data_plane::ObIOptimizerStorageService	yes
