# prefix	crate
gen/observer	observer
gen/share	ob-schema
rust/sql-nio	x-dropped
src/data_plane	storage-tablet
src/data_plane/api/data_plane/access	storage-api
src/data_plane/api/data_plane/blocksstable	storage-api
src/data_plane/api/data_plane/encoding	storage-api
src/data_plane/api/data_plane/fts	storage-search
src/data_plane/api/data_plane/memtable	storage-api
src/data_plane/api/data_plane/meta	storage-api
src/data_plane/api/data_plane/ob_	storage-api
src/data_plane/api/data_plane/retrieval	storage-search
src/data_plane/api/data_plane/scheduler	ob-runtime
src/data_plane/api/data_plane/transaction	storage-api
src/data_plane/api/data_plane/vector	storage-search
src/logservice	ob-log
src/objit	sql-ir
src/oblib/common	ob-values
src/oblib/common/json_type	ob-values-doc
src/oblib/common/mysqlclient	ob-share
src/oblib/common/udt	ob-values-doc
src/oblib/common/xml	ob-values-doc
src/oblib/easy	x-dropped
src/oblib/grpc	ob-share
src/oblib/lib	ob-base
src/oblib/lib/charset	ob-values
src/oblib/lib/codec	x-dropped
src/oblib/lib/compress	ob-runtime
src/oblib/lib/file	ob-runtime
src/oblib/lib/future	ob-runtime
src/oblib/lib/metrics	ob-base
src/oblib/lib/net	ob-runtime
src/oblib/lib/oblog	ob-base
src/oblib/lib/profile	ob-base
src/oblib/lib/restore	ob-runtime
src/oblib/lib/signal	ob-base
src/oblib/lib/stat	ob-base
src/oblib/lib/statistic_event	ob-base
src/oblib/lib/task	ob-runtime
src/oblib/lib/thread	ob-runtime
src/oblib/lib/trace	ob-base
src/oblib/lib/vector	vsag-sys
src/oblib/lib/vector/ob_vsag_adaptor	vsag-sys
src/oblib/lib/wait_event	ob-base
src/oblib/rpc	ob-runtime
src/observer	observer
src/observer/main	seekdb
src/observer/ob_command_line_parser	seekdb
src/observer/ob_signal_handle	seekdb
src/observer/schema	ob-schema
src/observer/vector_index	observer
src/observer/virtual_table	observer
src/pl	pl
src/pl/ob_pl_type	sql-ir
src/pl/ob_pl_user_type	sql-ir
src/pl/parser	sql-parser-sys
src/pl/parser/ob_pl_parser	sql-parser
src/query	sql-exec
src/query/api/query/engine/ob_operator_reg	sql-codegen
src/query/api/query/engine/vector	storage-api
src/query/api/query/optimizer	sql-optimizer
src/query/api/query/parser	sql-parse-tree
src/query/api/query/vector	sql-das
src/query/vector	sql-das
src/rootserver	rootserver
src/share	ob-share
src/share/aggregate	ob-values
src/share/allocator	ob-runtime
src/share/cache	ob-runtime
src/share/config	ob-runtime
src/share/datum	ob-values
src/share/diagnosis	ob-runtime
src/share/geo	geo-sys
src/share/inner_table	ob-schema
src/share/interrupt	ob-runtime
src/share/io	ob-runtime
src/share/json	ob-values-doc
src/share/leak_checker	ob-runtime
src/share/lob	ob-values
src/share/log	ob-log
src/share/longops_mgr	ob-runtime
src/share/object	ob-values
src/share/parameter	ob-runtime
src/share/rc	ob-runtime
src/share/resource_limit_calculator	ob-runtime
src/share/roaringbitmap	vsag-sys
src/share/schema	ob-schema
src/share/semistruct	ob-values-doc
src/share/system_variable	ob-schema
src/share/vector	ob-values-doc
src/sql	sql
src/sql/code_generator	sql-codegen
src/sql/das	sql-das
src/sql/dtl	sql-engine
src/sql/engine	sql-engine
src/sql/engine/basic/chunk_store	sql-exec
src/sql/engine/basic/ob_chunk_datum_store	sql-exec
src/sql/engine/basic/ob_pushdown_filter	sql-exec
src/sql/engine/cmd	sql
src/sql/engine/expr	sql-expr
src/sql/engine/expr/ob_expr_frame_info	sql-exec
src/sql/engine/expr/ob_expr_regexp_context	sql-expr
src/sql/engine/ob_	sql-exec
src/sql/engine/ob_operator_factory	sql-codegen
src/sql/engine/px	sql-engine
src/sql/engine/vector	storage-api
src/sql/ob_optimizer_trace_impl	sql-ir
src/sql/ob_sql_utils	sql-ir
src/sql/optimizer	sql-optimizer
src/sql/optimizer/ob_optimizer_util	sql-ir
src/sql/optimizer/ob_table_location	sql-das
src/sql/parser	sql-parser
src/sql/parser/fts	sql-parser-sys
src/sql/parser/non_reserved_keywords_mysql_mode	sql-parser-sys
src/sql/parser/ob_char_type	sql-parser-sys
src/sql/parser/ob_non_reserved_keywords	sql-parser-sys
src/sql/parser/parse_define	sql-parser-sys
src/sql/parser/parse_node	sql-parser-sys
src/sql/parser/sql_parser_	sql-parser-sys
src/sql/pl	pl
src/sql/pl/ob_pl_type	sql-ir
src/sql/pl/ob_pl_user_type	sql-ir
src/sql/printer	sql-ir
src/sql/resolver	sql-resolver
src/sql/resolver/dml/ob_del_upd_stmt	sql-ir
src/sql/resolver/dml/ob_delete_stmt	sql-ir
src/sql/resolver/dml/ob_dml_stmt	sql-ir
src/sql/resolver/dml/ob_hint	sql-ir
src/sql/resolver/dml/ob_insert_stmt	sql-ir
src/sql/resolver/dml/ob_raw_expr_sets	sql-ir
src/sql/resolver/dml/ob_select_stmt	sql-ir
src/sql/resolver/dml/ob_sql_hint	sql-ir
src/sql/resolver/dml/ob_stmt_expr_visitor	sql-ir
src/sql/resolver/dml/ob_update_stmt	sql-ir
src/sql/resolver/expr	sql-ir
src/sql/resolver/expr/ob_raw_expr_deduce_type	sql-expr
src/sql/resolver/ob_column_ref	sql-ir
src/sql/resolver/ob_resolver_define	sql-ir
src/sql/resolver/ob_stmt.	sql-ir
src/sql/rewrite	sql-rewrite
src/sql/session	sql-session
src/standby	standby
src/storage	storage-engine
src/storage/access	storage-tablet
src/storage/allocator	storage-tx
src/storage/api	storage-search
src/storage/blocksstable	storage-sstable
src/storage/blockstore	storage-sstable
src/storage/checkpoint	storage-tablet
src/storage/concurrency_control	storage-tx
src/storage/deadlock	storage-tx
src/storage/fts	storage-search
src/storage/lob	storage-tablet
src/storage/ls	storage-tablet
src/storage/memtable	storage-tx
src/storage/meta_mem	storage-tablet
src/storage/meta_store	storage-tablet
src/storage/multi_data_source	storage-tablet
src/storage/ob_	storage-tablet
src/storage/retrieval	storage-search
src/storage/scheduler	ob-runtime
src/storage/slog	storage-tablet
src/storage/slog_ckpt	storage-tablet
src/storage/tablelock	storage-tx
src/storage/tablet	storage-tablet
src/storage/throttle	storage-tx
src/storage/tmp_file	storage-sstable
src/storage/truncate_info	storage-tablet
src/storage/tx	storage-tx
src/storage/tx_storage	storage-tablet
src/storage/tx_table	storage-tx
src/storage/vector_index	storage-search
src/storage/vector_type	storage-search
src/storage/tx/ob_multi_data_source	storage-tablet
src/share/ob_errno	ob-errno
src/share/mysql_errno	ob-errno
src/oblib/lib/ob_errno	ob-errno
src/sql/engine/basic/ob_byte_compare_simd	ob-simd
src/sql/engine/basic/ob_pushdown_filter_simd	ob-simd
src/sql/engine/px/ob_px_bloom_filter_simd	ob-simd
src/sql/parser/ob_parse_simd	ob-simd
src/storage/blocksstable/encoding/ob_dict_decoder_simd	ob-simd
src/storage/blocksstable/encoding/ob_raw_decoder_simd	ob-simd
