file	line	symbol	construct	text
src/query/api/query/vector/ob_vector_index_adaptor.h	111	ObVectorIndexRoaringBitMap::insert_bitmap_	field roaring::api::roaring64_bitmap_t *; 4 atomic accesses (ATOMIC_LOAD 4)	roaring::api::roaring64_bitmap_t *insert_bitmap_;
src/query/api/query/vector/ob_vector_index_adaptor.h	397	ObVidBound::min_vid_	field int64_t; 1 atomic accesses (ATOMIC_LOAD 1)	int64_t min_vid_;
src/query/api/query/vector/ob_vector_index_adaptor.h	398	ObVidBound::max_vid_	field int64_t; 1 atomic accesses (ATOMIC_LOAD 1)	int64_t max_vid_;
src/query/api/query/vector/ob_vector_index_adaptor.h	470	ObVectorIndexMemData::vid_array_	field ObVecIdxVidArray *; 2 atomic accesses (ATOMIC_LOAD 2)	ObVecIdxVidArray *vid_array_; // for hnsw+sq
src/query/api/query/vector/ob_vector_index_adaptor.h	476	ObVectorIndexMemData::ref_cnt_	field uint64_t; 2 atomic accesses (ATOMIC_INC 1, ATOMIC_SAF 1)	uint64_t ref_cnt_;
src/query/api/query/vector/ob_vector_index_adaptor.h	478	ObVectorIndexMemData::index_	field void *; 2 atomic accesses (ATOMIC_LOAD 2)	void *index_;
src/query/api/query/vector/ob_vector_index_adaptor.h	483	ObVectorIndexMemData::last_dml_scn_	field SCN; 3 atomic accesses (ATOMIC_VCAS 3); through member functions inc_update	SCN last_dml_scn_;
src/query/api/query/vector/ob_vector_index_adaptor.h	484	ObVectorIndexMemData::last_read_scn_	field SCN; 2 atomic accesses (ATOMIC_SET 2); through member functions atomic_set	SCN last_read_scn_;
src/query/api/query/vector/ob_vector_index_adaptor.h	930	ObPluginVectorIndexAdaptor::ref_cnt_	field int64_t; 3 atomic accesses (ATOMIC_AAF 1, ATOMIC_LOAD 1, ATOMIC_SAF 1)	int64_t ref_cnt_;
src/query/api/query/vector/ob_vector_index_adaptor.h	934	ObPluginVectorIndexAdaptor::all_vsag_use_mem_	field uint64_t *; 2 atomic accesses (ATOMIC_LOAD 2)	uint64_t *all_vsag_use_mem_;
src/query/api/query/vector/ob_vector_index_cache.h	160	ObIvfICache::status_	field IvfCacheStatus; 6 atomic accesses (ATOMIC_LOAD 3, ATOMIC_STORE 2, ATOMIC_BCAS 1)	IvfCacheStatus status_;  // atomic
src/query/api/query/vector/ob_vector_index_cache.h	258	ObIvfCacheMgr::ref_cnt_	field int64_t; 2 atomic accesses (ATOMIC_AAF 1, ATOMIC_SAF 1)	int64_t ref_cnt_;
src/query/api/query/vector/ob_vector_index_cache.h	269	ObIvfCacheMgr::all_vsag_use_mem_	field uint64_t *; 1 atomic accesses (ATOMIC_LOAD 1)	uint64_t *all_vsag_use_mem_;
src/rootserver/ddl_task/ob_ddl_scheduler.h	100	ObDDLTaskQueue::stop_	field bool; 2 atomic accesses (ATOMIC_LOAD 1, ATOMIC_STORE 1)	bool stop_;
src/rootserver/ddl_task/ob_ddl_task.h	721	ObDDLTask::is_running_	field bool; 2 atomic accesses (ATOMIC_CAS 1, ATOMIC_SET 1)	bool is_running_;
src/rootserver/ddl_task/ob_ddl_task.h	725	ObDDLTask::sub_task_trace_id_	field int32_t; 4 atomic accesses (ATOMIC_INC 4)	int32_t sub_task_trace_id_;
src/rootserver/freeze/ob_checksum_validator.h	133	ObChecksumValidator::stop_	volatile field volatile bool &; no atomic access found	volatile bool &stop_;
src/rootserver/freeze/ob_daily_major_freeze_launcher.h	80	ObDailyMajorFreezeLauncher::stop_	volatile field volatile bool; no atomic access found	volatile bool stop_;
src/rootserver/freeze/ob_freeze_info_detector.h	81	ObMajorMergeInfoDetector::is_paused_	field bool; 4 atomic accesses (ATOMIC_STORE 3, ATOMIC_LOAD 1)	bool is_paused_;
src/rootserver/freeze/ob_freeze_info_detector.h	83	ObMajorMergeInfoDetector::is_replay_mode_	field bool; 4 atomic accesses (ATOMIC_LOAD 3, ATOMIC_STORE 1)	bool is_replay_mode_;
src/rootserver/freeze/ob_freeze_info_detector.h	91	ObMajorMergeInfoDetector::last_schedule_ts_	field int64_t; 2 atomic accesses (ATOMIC_LOAD 1, ATOMIC_STORE 1)	int64_t last_schedule_ts_;
src/rootserver/freeze/ob_freeze_info_detector.h	92	ObMajorMergeInfoDetector::need_immediate_run_	field bool; 3 atomic accesses (ATOMIC_STORE 2, ATOMIC_LOAD 1)	bool need_immediate_run_;
src/rootserver/freeze/ob_major_freeze_service.h	111	ObMajorFreezeService::is_launched_	field bool; 2 atomic accesses (ATOMIC_BCAS 1, ATOMIC_STORE 1)	bool is_launched_;
