file	line	symbol	construct	text
src/sql/engine/expr/ob_expr_get_sys_var.cpp	102	ObExprGetSysVar::calc_	allocator in, arena view out: ObObj &result	int ObExprGetSysVar::calc_(ObObj &result, const ObString &var_name, const int64_t var_scope,
src/sql/engine/expr/ob_expr_get_sys_var.cpp	156	ObExprGetSysVar::get_session_var	allocator in, arena view out: ObObj &result	int ObExprGetSysVar::get_session_var(ObObj &result,
src/sql/engine/expr/ob_expr_get_sys_var.cpp	200	ObExprGetSysVar::get_sys_var_disp_obj	allocator in, arena view out: ObObj &disp_obj	int ObExprGetSysVar::get_sys_var_disp_obj(common::ObIAllocator &allocator,
src/sql/engine/expr/ob_expr_insert.cpp	136	ObExprInsert::calc	allocator in, arena view out: ObString &result	int ObExprInsert::calc(ObString &result, const ObString &text, const int64_t start_pos,
src/sql/engine/expr/ob_expr_int2ip.cpp	37	ObExprInt2ip::int2ip	allocator in, arena view out: ObObj &result	int ObExprInt2ip::int2ip(ObObj &result, const int64_t int_val, ObExprStringBuf &string_buf)
src/sql/engine/expr/ob_expr_int_div.cpp	87	ObExprIntDiv::intdiv_int	allocator in, arena view out: ObObj &res	int ObExprIntDiv::intdiv_int(ObObj &res, const ObObj &left, const ObObj &right, ObIAllocator *allocator, ObScale scale)
src/sql/engine/expr/ob_expr_int_div.cpp	137	ObExprIntDiv::intdiv_uint	allocator in, arena view out: ObObj &res	int ObExprIntDiv::intdiv_uint(ObObj &res, const ObObj &left, const ObObj &right, ObIAllocator *allocator, ObScale scale)
src/sql/engine/expr/ob_expr_int_div.cpp	179	ObExprIntDiv::intdiv_number	allocator in, arena view out: ObObj &res	int ObExprIntDiv::intdiv_number(ObObj &res, const ObObj &left, const ObObj &right, ObIAllocator *allocator, ObScale scale)
src/sql/engine/expr/ob_expr_join_filter.h	151	ObExprJoinFilter::ObExprJoinFilterContext::cur_row_	member container of ObDatum of type ObTMArray<ObDatum>	ObTMArray<ObDatum> cur_row_;
src/sql/engine/expr/ob_expr_json_func_helper.cpp	52	ObJsonExprHelper::get_json_or_str_data	allocator in, arena view out: ObString& str	int ObJsonExprHelper::get_json_or_str_data(ObExpr *expr, ObEvalCtx &ctx,
src/sql/engine/expr/ob_expr_json_func_helper.cpp	243	ObJsonExprHelper::get_json_for_partial_update	allocator in, arena view out: ObDatum &json_datum	int ObJsonExprHelper::get_json_for_partial_update(
src/sql/engine/expr/ob_expr_json_func_helper.cpp	376	ObJsonExprHelper::cast_to_json_tree	allocator in, arena view out: ObString &text	int ObJsonExprHelper::cast_to_json_tree(ObString &text, common::ObIAllocator *allocator, uint32_t parse_flag, uint32_t max_depth_config)
src/sql/engine/expr/ob_expr_json_func_helper.cpp	393	ObJsonExprHelper::cast_to_res	allocator in, arena view out: ObDatum &src_datum	int ObJsonExprHelper::cast_to_res(ObIAllocator &allocator,
src/sql/engine/expr/ob_expr_json_func_helper.cpp	681	ObJsonExprHelper::convert_string_collation_type	allocator in, arena view out: ObString &in_str	int ObJsonExprHelper::convert_string_collation_type(ObCollationType in_cs_type,
src/sql/engine/expr/ob_expr_json_func_helper.cpp	1952	ObJsonExprHelper::character2_ascii_string	allocator in, arena view out: ObString& result	int ObJsonExprHelper::character2_ascii_string(common::ObIAllocator *allocator,
