file	line	symbol	construct	text
src/sql/optimizer/ob_opt_est_cost_model.cpp	203	ObOptEstCostModel::cost_nestloop	multiply-add on floating values (statement spans lines 203-204)	once_rescan_cost = est_cost_info.right_cost_ + rescan_cost
src/sql/optimizer/ob_opt_est_cost_model.cpp	206	ObOptEstCostModel::cost_nestloop	multiply-add on floating values	cost += left_rows * once_rescan_cost;
src/sql/optimizer/ob_opt_est_cost_model.cpp	258	ObOptEstCostModel::cost_mergejoin	multiply-add on floating values	cost += cost_params_.get_cpu_tuple_cost(sys_stat_) * (left_rows + right_rows);
src/sql/optimizer/ob_opt_est_cost_model.cpp	263	ObOptEstCostModel::cost_mergejoin	multiply-add on floating values	cost += cost_params_.get_join_per_row_cost(sys_stat_)  * out_tuples;
src/sql/optimizer/ob_opt_est_cost_model.cpp	328	ObOptEstCostModel::cost_hashjoin	multiply-add on floating values	build_hash_cost += cost_params_.get_cpu_tuple_cost(sys_stat_) * left_rows;
src/sql/optimizer/ob_opt_est_cost_model.cpp	331	ObOptEstCostModel::cost_hashjoin	multiply-add on floating values	build_hash_cost += cost_params_.get_build_hash_per_row_cost(sys_stat_) * left_rows;
src/sql/optimizer/ob_opt_est_cost_model.cpp	334	ObOptEstCostModel::cost_hashjoin	multiply-add on floating values	cost += cost_params_.get_cpu_tuple_cost(sys_stat_) * right_rows;
src/sql/optimizer/ob_opt_est_cost_model.cpp	336	ObOptEstCostModel::cost_hashjoin	multiply-add on floating values	cost += cost_params_.get_probe_hash_per_row_cost(sys_stat_) * right_rows;
src/sql/optimizer/ob_opt_est_cost_model.cpp	339	ObOptEstCostModel::cost_hashjoin	multiply-add on floating values	cost += cost_params_.get_join_per_row_cost(sys_stat_)  * out_tuples;
src/sql/optimizer/ob_opt_est_cost_model.cpp	438	ObOptEstCostModel::cost_sort	multiply-add on floating values	cost += cost_params_.get_cpu_tuple_cost(sys_stat_) * cost_info.rows_;
src/sql/optimizer/ob_opt_est_cost_model.cpp	445	ObOptEstCostModel::cost_sort	multiply-add on floating values	cost += cost_params_.get_cpu_tuple_cost(sys_stat_) * cost_info.rows_;
src/sql/optimizer/ob_opt_est_cost_model.cpp	452	ObOptEstCostModel::cost_sort	multiply-add on floating values	cost += cost_params_.get_cpu_tuple_cost(sys_stat_) * cost_info.rows_;
