file	line	symbol	construct	text
src/sql/engine/window_function/ob_window_function_op.cpp	376	ObWindowFunctionOp::AggrCell::final	frame internals: locate_expr_datum; in R05 pattern	val = wf_info_.aggr_info_.expr_->locate_expr_datum(op_.eval_ctx_);
src/sql/engine/window_function/ob_window_function_op.cpp	529	ObWindowFunctionOp::NonAggrCellRowNumber::eval	frame internals: locate_datum_for_write; in R05 pattern	ObDatum &expr_datum = wf_info_.expr_->locate_datum_for_write(op_.eval_ctx_);
src/sql/engine/window_function/ob_window_function_op.cpp	531	ObWindowFunctionOp::NonAggrCellRowNumber::eval	frame internals: set_evaluated_flag	wf_info_.expr_->set_evaluated_flag(op_.eval_ctx_);
src/sql/engine/window_function/ob_window_function_op.cpp	579	ObWindowFunctionOp::NonAggrCellNthValue::eval	frame internals: clear_evaluated_flag() (the operator base method); only the operator base method ObOperator::clear_evaluated_flag() (ob_operator.h:700-705), which clears the eval flags of the operator's own output exprs: no direct frame access	} else if (FALSE_IT(op_.clear_evaluated_flag())) {
src/sql/engine/window_function/ob_window_function_op.cpp	643	ObWindowFunctionOp::NonAggrCellLeadOrLag::eval	frame internals: get_str_res_mem	if (OB_ISNULL(buf = wf_info_.expr_->get_str_res_mem(op_.eval_ctx_, buf_size))) {
src/sql/engine/window_function/ob_window_function_op.cpp	678	ObWindowFunctionOp::NonAggrCellLeadOrLag::eval	frame internals: clear_evaluated_flag() (the operator base method); only the operator base method ObOperator::clear_evaluated_flag() (ob_operator.h:700-705), which clears the eval flags of the operator's own output exprs: no direct frame access	} else if (FALSE_IT(op_.clear_evaluated_flag())) {
src/sql/engine/window_function/ob_window_function_op.cpp	774	ObWindowFunctionOp::NonAggrCellNtile::eval	frame internals: locate_datum_for_write; in R05 pattern	ObDatum &expr_datum = wf_info_.expr_->locate_datum_for_write(op_.eval_ctx_);
src/sql/engine/window_function/ob_window_function_op.cpp	785	ObWindowFunctionOp::NonAggrCellNtile::eval	frame internals: set_evaluated_flag	wf_info_.expr_->set_evaluated_flag(op_.eval_ctx_);
src/sql/engine/window_function/ob_window_function_op.cpp	841	ObWindowFunctionOp::NonAggrCellRankLike::eval	frame internals: locate_datum_for_write; in R05 pattern	ObDatum &expr_datum = wf_info_.expr_->locate_datum_for_write(op_.eval_ctx_);
src/sql/engine/window_function/ob_window_function_op.cpp	842	ObWindowFunctionOp::NonAggrCellRankLike::eval	frame internals: set_evaluated_flag	wf_info_.expr_->set_evaluated_flag(op_.eval_ctx_);
src/sql/engine/window_function/ob_window_function_op.cpp	955	ObWindowFunctionOp::NonAggrCellCumeDist::eval	frame internals: locate_datum_for_write; in R05 pattern	ObDatum &expr_datum = wf_info_.expr_->locate_datum_for_write(op_.eval_ctx_);
src/sql/engine/window_function/ob_window_function_op.cpp	956	ObWindowFunctionOp::NonAggrCellCumeDist::eval	frame internals: set_evaluated_flag	wf_info_.expr_->set_evaluated_flag(op_.eval_ctx_);
src/sql/engine/window_function/ob_window_function_op.cpp	967	ObWindowFunctionOp::NonAggrCellCumeDist::eval	frame internals: locate_datum_for_write; in R05 pattern	ObDatum &expr_datum = wf_info_.expr_->locate_datum_for_write(op_.eval_ctx_);
src/sql/engine/window_function/ob_window_function_op.cpp	968	ObWindowFunctionOp::NonAggrCellCumeDist::eval	frame internals: set_evaluated_flag	wf_info_.expr_->set_evaluated_flag(op_.eval_ctx_);
src/sql/engine/window_function/ob_window_function_op.cpp	1127	ObWindowFunctionOp::init	frame internals: locate_batch_datums; in R05 pattern	ObDatum *expr_datum = all_exprs.at(i)->locate_batch_datums(eval_ctx_);
src/sql/engine/window_function/ob_window_function_op.cpp	1474	ObWindowFunctionOp::fetch_child_row	frame internals: clear_evaluated_flag() (the operator base method); only the operator base method ObOperator::clear_evaluated_flag() (ob_operator.h:700-705), which clears the eval flags of the operator's own output exprs: no direct frame access	clear_evaluated_flag();
src/sql/engine/window_function/ob_window_function_op.cpp	1491	ObWindowFunctionOp::input_one_row	frame internals: clear_evaluated_flag() (the operator base method); only the operator base method ObOperator::clear_evaluated_flag() (ob_operator.h:700-705), which clears the eval flags of the operator's own output exprs: no direct frame access	clear_evaluated_flag();
src/sql/engine/window_function/ob_window_function_op.cpp	1598	ObWindowFunctionOp::compute_push_down_by_pass	frame internals: locate_expr_datum; in R05 pattern	ObDatum &result_datum = wf_cell.wf_info_.aggr_info_.expr_->locate_expr_datum(eval_ctx_);
src/sql/engine/window_function/ob_window_function_op.cpp	1614	ObWindowFunctionOp::compute	frame internals: clear_evaluated_flag() (the operator base method); only the operator base method ObOperator::clear_evaluated_flag() (ob_operator.h:700-705), which clears the eval flags of the operator's own output exprs: no direct frame access	} else if (FALSE_IT(clear_evaluated_flag())) {
src/sql/engine/window_function/ob_window_function_op.cpp	1657	ObWindowFunctionOp::compute	frame internals: clear_evaluated_flag() (the operator base method); only the operator base method ObOperator::clear_evaluated_flag() (ob_operator.h:700-705), which clears the eval flags of the operator's own output exprs: no direct frame access	} else if (FALSE_IT(clear_evaluated_flag())) {
src/sql/engine/window_function/ob_window_function_op.cpp	1672	ObWindowFunctionOp::compute	frame internals: clear_evaluated_flag() (the operator base method); only the operator base method ObOperator::clear_evaluated_flag() (ob_operator.h:700-705), which clears the eval flags of the operator's own output exprs: no direct frame access	} else if (FALSE_IT(clear_evaluated_flag())) {
src/sql/engine/window_function/ob_window_function_op.cpp	1690	ObWindowFunctionOp::compute	frame internals: clear_evaluated_flag() (the operator base method); only the operator base method ObOperator::clear_evaluated_flag() (ob_operator.h:700-705), which clears the eval flags of the operator's own output exprs: no direct frame access	} else if (FALSE_IT(clear_evaluated_flag())) {
src/sql/engine/window_function/ob_window_function_op.cpp	1708	ObWindowFunctionOp::compute	frame internals: clear_evaluated_flag() (the operator base method); only the operator base method ObOperator::clear_evaluated_flag() (ob_operator.h:700-705), which clears the eval flags of the operator's own output exprs: no direct frame access	} else if (FALSE_IT(clear_evaluated_flag())) {
src/sql/engine/window_function/ob_window_function_op.cpp	1758	ObWindowFunctionOp::skip_calc	frame internals: locate_expr_datum; in R05 pattern	int64_t aggr_status = MY_SPEC.wf_aggr_status_expr_->locate_expr_datum(eval_ctx_).get_int();
src/sql/engine/window_function/ob_window_function_op.cpp	1776	ObWindowFunctionOp::set_compute_result_for_invalid_frame	frame internals: locate_datum_for_write; in R05 pattern	ObDatum &expr_datum = wf_cell.wf_info_.aggr_info_.expr_->locate_datum_for_write(eval_ctx_);
src/sql/engine/window_function/ob_window_function_op.cpp	1778	ObWindowFunctionOp::set_compute_result_for_invalid_frame	frame internals: set_evaluated_flag	wf_cell.wf_info_.aggr_info_.expr_->set_evaluated_flag(eval_ctx_);
src/sql/engine/window_function/ob_window_function_op.cpp	1785	ObWindowFunctionOp::set_compute_result_for_invalid_frame	frame internals: locate_datum_for_write; in R05 pattern	ObDatum &expr_datum = wf_cell.wf_info_.aggr_info_.expr_->locate_datum_for_write(eval_ctx_);
src/sql/engine/window_function/ob_window_function_op.cpp	1788	ObWindowFunctionOp::set_compute_result_for_invalid_frame	frame internals: set_evaluated_flag	wf_cell.wf_info_.aggr_info_.expr_->set_evaluated_flag(eval_ctx_);
src/sql/engine/window_function/ob_window_function_op.cpp	1922	ObWindowFunctionOp::detect_aggr_status	frame internals: locate_datum_for_write; in R05 pattern	MY_SPEC.wf_aggr_status_expr_->locate_datum_for_write(eval_ctx_).set_int(last_aggr_status_);
src/sql/engine/window_function/ob_window_function_op.cpp	1936	ObWindowFunctionOp::found_part_end	frame internals: locate_datum_for_write; in R05 pattern	MY_SPEC.wf_aggr_status_expr_->locate_datum_for_write(eval_ctx_).set_int(-wf->wf_idx_);
src/sql/engine/window_function/ob_window_function_op.cpp	1956	ObWindowFunctionOp::found_part_end	frame internals: locate_expr_datum; in R05 pattern	MY_SPEC.wf_aggr_status_expr_->locate_expr_datum(eval_ctx_)))) {
src/sql/engine/window_function/ob_window_function_op.cpp	2097	ObWindowFunctionOp::output_row	frame internals: locate_expr_datum; in R05 pattern	} else if (MY_SPEC.wf_aggr_status_expr_->locate_expr_datum(eval_ctx_).get_int() >= 0) {
src/sql/engine/window_function/ob_window_function_op.cpp	2121	ObWindowFunctionOp::output_row	frame internals: clear_evaluated_flag() (the operator base method); only the operator base method ObOperator::clear_evaluated_flag() (ob_operator.h:700-705), which clears the eval flags of the operator's own output exprs: no direct frame access	clear_evaluated_flag();
src/sql/engine/window_function/ob_window_function_op.cpp	2126	ObWindowFunctionOp::output_row	frame internals: locate_expr_datum; in R05 pattern	tmp_wf_cell->wf_info_.expr_->locate_expr_datum(eval_ctx_) = result_row->cells()[i];
src/sql/engine/window_function/ob_window_function_op.cpp	2127	ObWindowFunctionOp::output_row	frame internals: set_evaluated_projected	tmp_wf_cell->wf_info_.expr_->set_evaluated_projected(eval_ctx_);
src/sql/engine/window_function/ob_window_function_op.cpp	2183	ObWindowFunctionOp::rd_output_final_batch	frame internals: BatchInfoScopeGuard	ObEvalCtx::BatchInfoScopeGuard guard(eval_ctx_);
src/sql/engine/window_function/ob_window_function_op.cpp	2184	ObWindowFunctionOp::rd_output_final_batch	frame internals: set_batch_size	guard.set_batch_size(cnt);
src/sql/engine/window_function/ob_window_function_op.cpp	2188	ObWindowFunctionOp::rd_output_final_batch	frame internals: set_batch_idx	guard.set_batch_idx(i);
src/sql/engine/window_function/ob_window_function_op.cpp	2220	ObWindowFunctionOp::rd_output_final_row	frame internals: locate_expr_datum; in R05 pattern	ObDatum &res = info.expr_->locate_expr_datum(eval_ctx_);
src/sql/engine/window_function/ob_window_function_op.cpp	2241	ObWindowFunctionOp::rd_output_final_row	frame internals: locate_expr_datum; in R05 pattern	ObDatum &res = info.expr_->locate_expr_datum(eval_ctx_);
src/sql/engine/window_function/ob_window_function_op.cpp	2290	ObWindowFunctionOp::rd_fetch_patch	frame internals: clear_evaluated_flag() (the operator base method); only the operator base method ObOperator::clear_evaluated_flag() (ob_operator.h:700-705), which clears the eval flags of the operator's own output exprs: no direct frame access	clear_evaluated_flag();
src/sql/engine/window_function/ob_window_function_op.cpp	2291	ObWindowFunctionOp::rd_fetch_patch	frame internals: BatchInfoScopeGuard	ObEvalCtx::BatchInfoScopeGuard batch_info_guard(eval_ctx_);
src/sql/engine/window_function/ob_window_function_op.cpp	2292	ObWindowFunctionOp::rd_fetch_patch	frame internals: set_batch_idx	batch_info_guard.set_batch_idx(0);
src/sql/engine/window_function/ob_window_function_op.cpp	2293	ObWindowFunctionOp::rd_fetch_patch	frame internals: set_batch_size	batch_info_guard.set_batch_size(1);
src/sql/engine/window_function/ob_window_function_op.cpp	2965	ObWindowFunctionOp::detect_computing_method	frame internals: clear_evaluated_flag() (the operator base method); only the operator base method ObOperator::clear_evaluated_flag() (ob_operator.h:700-705), which clears the eval flags of the operator's own output exprs: no direct frame access	} else if (FALSE_IT(clear_evaluated_flag())) {
src/sql/engine/window_function/ob_window_function_op.cpp	2968	ObWindowFunctionOp::detect_computing_method	frame internals: locate_expr_datum; in R05 pattern	= MY_SPEC.wf_aggr_status_expr_->locate_expr_datum(eval_ctx_).get_int())) {
src/sql/engine/window_function/ob_window_function_op.cpp	2996	ObWindowFunctionOp::compute_wf_values	frame internals: BatchInfoScopeGuard	ObEvalCtx::BatchInfoScopeGuard batch_info_guard(eval_ctx_);
src/sql/engine/window_function/ob_window_function_op.cpp	2997	ObWindowFunctionOp::compute_wf_values	frame internals: set_batch_idx	batch_info_guard.set_batch_idx(0);
src/sql/engine/window_function/ob_window_function_op.cpp	2998	ObWindowFunctionOp::compute_wf_values	frame internals: set_batch_size	batch_info_guard.set_batch_size(1);
src/sql/engine/window_function/ob_window_function_op.cpp	3048	ObWindowFunctionOp::compute_wf_values	frame internals: clear_evaluated_flag() (the operator base method); only the operator base method ObOperator::clear_evaluated_flag() (ob_operator.h:700-705), which clears the eval flags of the operator's own output exprs: no direct frame access	clear_evaluated_flag();
src/sql/engine/window_function/ob_window_function_op.cpp	3220	ObWindowFunctionOp::get_next_batch_from_child	frame internals: clear_evaluated_flag() (the operator base method); only the operator base method ObOperator::clear_evaluated_flag() (ob_operator.h:700-705), which clears the eval flags of the operator's own output exprs: no direct frame access	clear_evaluated_flag();
src/sql/engine/window_function/ob_window_function_op.cpp	3271	ObWindowFunctionOp::get_next_partition	frame internals: BatchInfoScopeGuard	ObEvalCtx::BatchInfoScopeGuard guard(eval_ctx_);
src/sql/engine/window_function/ob_window_function_op.cpp	3272	ObWindowFunctionOp::get_next_partition	frame internals: set_batch_size	guard.set_batch_size(child_brs->size_);
src/sql/engine/window_function/ob_window_function_op.cpp	3273	ObWindowFunctionOp::get_next_partition	frame internals: set_batch_idx	guard.set_batch_idx(row_idx);
src/sql/engine/window_function/ob_window_function_op.cpp	3300	ObWindowFunctionOp::process_child_batch	frame internals: BatchInfoScopeGuard	ObEvalCtx::BatchInfoScopeGuard guard(eval_ctx_);
src/sql/engine/window_function/ob_window_function_op.cpp	3301	ObWindowFunctionOp::process_child_batch	frame internals: set_batch_size	guard.set_batch_size(child_brs->size_);
src/sql/engine/window_function/ob_window_function_op.cpp	3302	ObWindowFunctionOp::process_child_batch	frame internals: set_batch_idx	guard.set_batch_idx(batch_idx);
src/sql/engine/window_function/ob_window_function_op.cpp	3319	ObWindowFunctionOp::process_child_batch	frame internals: set_batch_idx	guard.set_batch_idx(row_idx);
src/sql/engine/window_function/ob_window_function_op.cpp	3354	ObWindowFunctionOp::process_child_batch	frame internals: locate_datum_for_write; in R05 pattern	MY_SPEC.wf_aggr_status_expr_->locate_datum_for_write(eval_ctx_).set_int(last_aggr_status_);
src/sql/engine/window_function/ob_window_function_op.cpp	3403	ObWindowFunctionOp::process_child_batch	frame internals: set_batch_size	guard.set_batch_size(child_brs->size_);
src/sql/engine/window_function/ob_window_function_op.cpp	3426	ObWindowFunctionOp::output_rows_store_rows	frame internals: BatchInfoScopeGuard	ObEvalCtx::BatchInfoScopeGuard &guard)
src/sql/engine/window_function/ob_window_function_op.cpp	3431	ObWindowFunctionOp::output_rows_store_rows	frame internals: get_batch_idx	int64_t batch_idx_offset = eval_ctx_.get_batch_idx();
src/sql/engine/window_function/ob_window_function_op.cpp	3433	ObWindowFunctionOp::output_rows_store_rows	frame internals: set_batch_idx	i++, guard.set_batch_idx(batch_idx_offset + i)) {
src/sql/engine/window_function/ob_window_function_op.cpp	3438	ObWindowFunctionOp::output_rows_store_rows	frame internals: locate_expr_datum; in R05 pattern	&& MY_SPEC.wf_aggr_status_expr_->locate_expr_datum(eval_ctx_).get_int() < 0) {
src/sql/engine/window_function/ob_window_function_op.cpp	3439	ObWindowFunctionOp::output_rows_store_rows	frame internals: get_batch_idx	brs_.skip_->set(eval_ctx_.get_batch_idx());
src/sql/engine/window_function/ob_window_function_op.cpp	3448	ObWindowFunctionOp::output_rows_store_rows	frame internals: locate_expr_datum; in R05 pattern	tmp_wf_cell->wf_info_.expr_->locate_expr_datum(eval_ctx_) = result_row->cells()[j];
src/sql/engine/window_function/ob_window_function_op.cpp	3476	ObWindowFunctionOp::output_batch_rows	frame internals: BatchInfoScopeGuard	ObEvalCtx::BatchInfoScopeGuard guard(eval_ctx_);
src/sql/engine/window_function/ob_window_function_op.cpp	3477	ObWindowFunctionOp::output_batch_rows	frame internals: set_batch_idx	guard.set_batch_idx(0);
src/sql/engine/window_function/ob_window_function_op.cpp	3485	ObWindowFunctionOp::output_batch_rows	frame internals: get_batch_idx	if (OB_SUCC(ret) && eval_ctx_.get_batch_idx() > 0) {
src/sql/engine/window_function/ob_window_function_op.cpp	3488	ObWindowFunctionOp::output_batch_rows	frame internals: get_eval_info, get_batch_idx; in R05 pattern	expr->get_eval_info(eval_ctx_).cnt_ = eval_ctx_.get_batch_idx();
src/sql/engine/window_function/ob_window_function_op.cpp	3489	ObWindowFunctionOp::output_batch_rows	frame internals: set_evaluated_projected	expr->set_evaluated_projected(eval_ctx_);
src/sql/engine/window_function/ob_window_function_op.cpp	3492	ObWindowFunctionOp::output_batch_rows	frame internals: get_eval_info, get_batch_idx; in R05 pattern	MY_SPEC.wf_aggr_status_expr_->get_eval_info(eval_ctx_).cnt_ = eval_ctx_.get_batch_idx();
src/sql/engine/window_function/ob_window_function_op.cpp	3493	ObWindowFunctionOp::output_batch_rows	frame internals: set_evaluated_projected	MY_SPEC.wf_aggr_status_expr_->set_evaluated_projected(eval_ctx_);
src/sql/engine/window_function/ob_window_function_op.cpp	3500	ObWindowFunctionOp::output_batch_rows	frame internals: get_eval_info, get_batch_idx; in R05 pattern	expr->get_eval_info(eval_ctx_).cnt_ = eval_ctx_.get_batch_idx();
src/sql/engine/window_function/ob_window_function_op.cpp	3501	ObWindowFunctionOp::output_batch_rows	frame internals: set_evaluated_projected	expr->set_evaluated_projected(eval_ctx_);
src/sql/engine/window_function/ob_window_function_op.cpp	3505	ObWindowFunctionOp::output_batch_rows	frame internals: get_batch_idx	if (eval_ctx_.get_batch_idx() > 0) {
src/sql/engine/window_function/ob_window_function_op.cpp	3509	ObWindowFunctionOp::output_batch_rows	frame internals: get_eval_info, get_batch_idx; in R05 pattern	expr->get_eval_info(eval_ctx_).cnt_ = eval_ctx_.get_batch_idx();
src/sql/engine/window_function/ob_window_function_op.cpp	3510	ObWindowFunctionOp::output_batch_rows	frame internals: set_evaluated_projected	expr->set_evaluated_projected(eval_ctx_);
src/sql/engine/window_function/ob_window_function_op.cpp	3513	ObWindowFunctionOp::output_batch_rows	frame internals: get_batch_idx	brs_.size_ = eval_ctx_.get_batch_idx();
src/sql/engine/window_function/ob_window_function_op.cpp	3563	ObWindowFunctionOp::inner_get_next_batch	frame internals: clear_evaluated_flag() (the operator base method); only the operator base method ObOperator::clear_evaluated_flag() (ob_operator.h:700-705), which clears the eval flags of the operator's own output exprs: no direct frame access	clear_evaluated_flag();
