file	line	symbol	construct	text
src/observer/virtual_table/ob_information_columns_table.cpp	238	ObInfoSchemaColumnsTable::iterate_table_schema_array::expr_factory	local ObRawExprFactory expr_factory(mem_context_->get_arena_allocator()) in ObInfoSchemaColumnsTable::iterate_table_schema_array	ObRawExprFactory expr_factory(mem_context_->get_arena_allocator());
src/observer/virtual_table/ob_table_columns.cpp	203	ObTableColumns::inner_get_next_row::expr_factory	local ObRawExprFactory expr_factory(*allocator_) in ObTableColumns::inner_get_next_row	ObRawExprFactory expr_factory(*allocator_);
src/pl/ob_pl_resolver.cpp	1170	#define RESOLVE_SELECT_VIEW_STMT	local ObRawExprFactory expr_factory(alloc) inside #define RESOLVE_SELECT_VIEW_STMT (each use is a row too)	ObRawExprFactory expr_factory(alloc);    \
src/pl/ob_pl_resolver.cpp	1213	ObPLResolver::build_record_type_by_view_schema	local ObRawExprFactory declared by macro RESOLVE_SELECT_VIEW_STMT in ObPLResolver::build_record_type_by_view_schema	RESOLVE_SELECT_VIEW_STMT;
src/pl/ob_pl_resolver.cpp	1277	ObPLResolver::collect_dep_info_by_view_schema	local ObRawExprFactory declared by macro RESOLVE_SELECT_VIEW_STMT in ObPLResolver::collect_dep_info_by_view_schema	RESOLVE_SELECT_VIEW_STMT;
src/rootserver/ob_ddl_service.cpp	6604	ObDDLService::modify_generated_column_default_value::expr_factory	local ObRawExprFactory expr_factory(allocator) in ObDDLService::modify_generated_column_default_value	ObRawExprFactory expr_factory(allocator);
src/rootserver/ob_ddl_service.cpp	6667	ObDDLService::modify_generated_column_local_vars::expr_factory	local ObRawExprFactory expr_factory(allocator) in ObDDLService::modify_generated_column_local_vars	ObRawExprFactory expr_factory(allocator);
src/rootserver/ob_ddl_service.cpp	6836	ObDDLService::modify_func_expr_column_name::expr_factory	local ObRawExprFactory expr_factory(allocator) in ObDDLService::modify_func_expr_column_name	ObRawExprFactory expr_factory(allocator);
src/rootserver/ob_ddl_service.cpp	7116	ObDDLService::refill_columns_id_for_check_constraint::expr_factory	local ObRawExprFactory expr_factory(allocator) in ObDDLService::refill_columns_id_for_check_constraint	ObRawExprFactory expr_factory(allocator);
src/rootserver/ob_ddl_service.cpp	7177	ObDDLService::refill_column_id_array_for_constraint::expr_factory	local ObRawExprFactory expr_factory(allocator) in ObDDLService::refill_column_id_array_for_constraint	ObRawExprFactory expr_factory(allocator);
src/rootserver/ob_ddl_service.cpp	7240	ObDDLService::rebuild_constraint_check_expr::expr_factory	local ObRawExprFactory expr_factory(allocator) in ObDDLService::rebuild_constraint_check_expr	ObRawExprFactory expr_factory(allocator);
src/rootserver/truncate_info/ob_truncate_info_service.h	100	ObTruncatePartKeyInfo::expr_factory_	ObRawExprFactory member expr_factory_ of ObTruncatePartKeyInfo (a factory held by value)	sql::ObRawExprFactory expr_factory_;
src/sql/code_generator/ob_static_engine_expr_cg.cpp	61	ObStaticEngineExprCG::generate::expr_factory	local ObRawExprFactory expr_factory(allocator_) in ObStaticEngineExprCG::generate	ObRawExprFactory expr_factory(allocator_);
src/sql/code_generator/ob_static_engine_expr_cg.cpp	83	ObStaticEngineExprCG::generate::expr_factory	local ObRawExprFactory expr_factory(allocator_) in ObStaticEngineExprCG::generate	ObRawExprFactory expr_factory(allocator_);
src/sql/engine/cmd/ob_table_executor.cpp	932	ObAlterTableExecutor::resolve_alter_column_partition_expr::expr_factory	local ObRawExprFactory expr_factory(allocator) in ObAlterTableExecutor::resolve_alter_column_partition_expr	ObRawExprFactory expr_factory(allocator);
src/sql/engine/expr/ob_rt_datum_arith.h	107	ObRTDatumArith::factory_	ObRawExprFactory member factory_ of ObRTDatumArith (a factory held by value)	ObRawExprFactory factory_;
src/sql/engine/ob_exec_context.cpp	657	ObExecContext::get_expr_factory	ObRawExprFactory allocated at run time: if (OB_ISNULL(expr_factory_ = OB_NEWx(ObRawExprFactory, (&allocator_), allocator_)))	if (OB_ISNULL(expr_factory_ = OB_NEWx(ObRawExprFactory, (&allocator_), allocator_))) {
src/sql/ob_sql_utils.cpp	322	ObSQLUtils::calc_simple_expr_without_row::expr_factory	local ObRawExprFactory expr_factory(allocator) in ObSQLUtils::calc_simple_expr_without_row	ObRawExprFactory expr_factory(allocator);
src/sql/ob_sql_utils.cpp	587	ObSQLUtils::se_calc_const_expr::expr_factory	local ObRawExprFactory expr_factory(tmp_allocator) in ObSQLUtils::se_calc_const_expr	ObRawExprFactory expr_factory(tmp_allocator);
src/sql/optimizer/ob_dynamic_sampling.cpp	715	ObDynamicSampling::print_filter_exprs::expr_factory	local ObRawExprFactory expr_factory(tmp_allocator) in ObDynamicSampling::print_filter_exprs	ObRawExprFactory expr_factory(tmp_allocator);
src/sql/optimizer/ob_optimizer_util.cpp	8117	ObOptimizerUtil::preprocess_multivalue_range_exprs::expr_factory	local ObRawExprFactory expr_factory(allocator) in ObOptimizerUtil::preprocess_multivalue_range_exprs	ObRawExprFactory expr_factory(allocator);
src/sql/optimizer/ob_table_location.cpp	1058	ObTableLocation::init_table_location_with_column_ids::expr_factory	local ObRawExprFactory expr_factory(allocator_) in ObTableLocation::init_table_location_with_column_ids	ObRawExprFactory expr_factory(allocator_);
src/sql/optimizer/ob_table_location.cpp	4939	ObTableLocation::get_list_value_node::expr_factory	local ObRawExprFactory expr_factory(allocator_) in ObTableLocation::get_list_value_node	ObRawExprFactory expr_factory(allocator_);
src/sql/pl/ob_pl_resolver.h	953	ObPLResolver::expr_factory_	ObRawExprFactory member expr_factory_ of ObPLResolver (a factory held by value)	sql::ObRawExprFactory expr_factory_;
src/sql/pl/ob_pl_router.h	62	ObPLRouter::expr_factory_	ObRawExprFactory member expr_factory_ of ObPLRouter (a factory held by value)	sql::ObRawExprFactory expr_factory_;
src/sql/pl/ob_pl_stmt.h	1459	ObPLAstUnit::expr_factory_	ObRawExprFactory member expr_factory_ of ObPLAstUnit (a factory held by value)	sql::ObRawExprFactory expr_factory_;
src/sql/pl/pl_cache/ob_pl_cache_object.h	243	ObPLCacheObject::expr_factory_	ObRawExprFactory member expr_factory_ of ObPLCacheObject (a factory held by value)	sql::ObRawExprFactory expr_factory_;
src/sql/printer/ob_schema_printer.cpp	345	ObSchemaPrinter::print_generated_column_definition::expr_factory	local ObRawExprFactory expr_factory(allocator) in ObSchemaPrinter::print_generated_column_definition	sql::ObRawExprFactory expr_factory(allocator);
src/sql/printer/ob_schema_printer.cpp	783	ObSchemaPrinter::print_prefix_index_column::expr_factory	local ObRawExprFactory expr_factory(allocator) in ObSchemaPrinter::print_prefix_index_column	sql::ObRawExprFactory expr_factory(allocator);
src/sql/printer/ob_schema_printer.cpp	1678	ObSchemaPrinter::print_index_definition_columns::expr_factory	local ObRawExprFactory expr_factory(allocator) in ObSchemaPrinter::print_index_definition_columns	sql::ObRawExprFactory expr_factory(allocator);
src/sql/resolver/ddl/ob_alter_table_resolver.cpp	3759	ObAlterTableResolver::check_alter_part_key_allowed::expr_factory	local ObRawExprFactory expr_factory(*allocator_) in ObAlterTableResolver::check_alter_part_key_allowed	ObRawExprFactory expr_factory(*allocator_);
src/sql/resolver/ddl/ob_ddl_resolver.cpp	3605	ObDDLResolver::reformat_generated_column_expr::expr_factory	local ObRawExprFactory expr_factory(allocator) in ObDDLResolver::reformat_generated_column_expr	ObRawExprFactory expr_factory(allocator);
src/sql/resolver/ddl/ob_ddl_resolver.cpp	3721	ObDDLResolver::check_default_value::expr_factory	local ObRawExprFactory expr_factory(allocator) in ObDDLResolver::check_default_value	ObRawExprFactory expr_factory(allocator);
src/sql/resolver/ddl/ob_ddl_resolver.cpp	3746	ObDDLResolver::check_default_value::expr_factory	local ObRawExprFactory expr_factory(allocator) in ObDDLResolver::check_default_value	ObRawExprFactory expr_factory(allocator);
src/sql/resolver/ddl/ob_ddl_resolver.cpp	3889	ObDDLResolver::calc_default_value::expr_factory	local ObRawExprFactory expr_factory(allocator) in ObDDLResolver::calc_default_value	ObRawExprFactory expr_factory(allocator);
src/sql/resolver/ddl/ob_ddl_resolver.cpp	4118	ObDDLResolver::get_udt_column_default_values::expr_factory	local ObRawExprFactory expr_factory(allocator) in ObDDLResolver::get_udt_column_default_values	ObRawExprFactory expr_factory(allocator);
src/sql/resolver/ddl/ob_ddl_resolver.cpp	4364	ObDDLResolver::resolve_spatial_index_constraint::expr_factory	local ObRawExprFactory expr_factory(*allocator_) in ObDDLResolver::resolve_spatial_index_constraint	ObRawExprFactory expr_factory(*allocator_);
src/sql/resolver/ddl/ob_fts_index_builder_util.cpp	2512	ObMulValueIndexBuilderUtil::build_and_generate_multivalue_column_raw::expr_factory	local ObRawExprFactory expr_factory(allocator) in ObMulValueIndexBuilderUtil::build_and_generate_multivalue_column_raw	ObRawExprFactory expr_factory(allocator);
src/sql/resolver/ddl/ob_index_builder_util.cpp	585	ObIndexBuilderUtil::adjust_ordinary_index_column_args::expr_factory	local ObRawExprFactory expr_factory(allocator) in ObIndexBuilderUtil::adjust_ordinary_index_column_args	ObRawExprFactory expr_factory(allocator);
src/sql/resolver/dml/ob_standard_group_checker.cpp	76	ObStandardGroupChecker::check_only_full_group_by::expr_factory	local ObRawExprFactory expr_factory(alloc) in ObStandardGroupChecker::check_only_full_group_by	ObRawExprFactory expr_factory(alloc);
src/sql/resolver/expr/ob_raw_expr_resolver_impl.cpp	1274	ObRawExprResolverImpl::check_pl_variable::expr_factory	local ObRawExprFactory expr_factory(allocator) in ObRawExprResolverImpl::check_pl_variable	ObRawExprFactory expr_factory(allocator);
src/sql/resolver/expr/ob_raw_expr_util.cpp	1979	ObRawExprUtils::check_generated_column_expr_str::expr_factory	local ObRawExprFactory expr_factory(allocator) in ObRawExprUtils::check_generated_column_expr_str	ObRawExprFactory expr_factory(allocator);
src/sql/rewrite/ob_query_range_define.cpp	595	ObPreRangeGraph::preliminary_extract_query_range::expr_factory	local ObRawExprFactory expr_factory(allocator_) in ObPreRangeGraph::preliminary_extract_query_range	ObRawExprFactory expr_factory(allocator_);
src/sql/rewrite/ob_transform_late_materialization.cpp	445	ObTransformLateMaterialization::evaluate_stmt_cost::tmp_expr_factory	local ObRawExprFactory tmp_expr_factory(CURRENT_CONTEXT->get_arena_allocator()) in ObTransformLateMaterialization::evaluate_stmt_cost; the allocator is a temporary memory context	ObRawExprFactory tmp_expr_factory(CURRENT_CONTEXT->get_arena_allocator());
src/sql/rewrite/ob_transform_rule.cpp	380	ObTransformRule::evaluate_cost::tmp_expr_factory	local ObRawExprFactory tmp_expr_factory(CURRENT_CONTEXT->get_arena_allocator()) in ObTransformRule::evaluate_cost; the allocator is a temporary memory context	ObRawExprFactory tmp_expr_factory(CURRENT_CONTEXT->get_arena_allocator());
src/sql/rewrite/ob_transform_temp_table.cpp	2338	ObTransformTempTable::evaluate_cte_cost::tmp_expr_factory	local ObRawExprFactory tmp_expr_factory(CURRENT_CONTEXT->get_arena_allocator()) in ObTransformTempTable::evaluate_cte_cost; the allocator is a temporary memory context	ObRawExprFactory tmp_expr_factory(CURRENT_CONTEXT->get_arena_allocator());
src/sql/rewrite/ob_transform_temp_table.cpp	2524	ObTransformTempTable::evaluate_cte_cost_partially::tmp_expr_factory	local ObRawExprFactory tmp_expr_factory(CURRENT_CONTEXT->get_arena_allocator()) in ObTransformTempTable::evaluate_cte_cost_partially; the allocator is a temporary memory context	ObRawExprFactory tmp_expr_factory(CURRENT_CONTEXT->get_arena_allocator());
src/sql/rewrite/ob_transform_temp_table.cpp	2599	ObTransformTempTable::evaluate_cte_cost_globally::tmp_expr_factory	local ObRawExprFactory tmp_expr_factory(CURRENT_CONTEXT->get_arena_allocator()) in ObTransformTempTable::evaluate_cte_cost_globally; the allocator is a temporary memory context	ObRawExprFactory tmp_expr_factory(CURRENT_CONTEXT->get_arena_allocator());
src/sql/rewrite/ob_transform_utils.cpp	3606	ObTransformUtils::check_exprs_unique_on_table_items::expr_factory	local ObRawExprFactory expr_factory(alloc) in ObTransformUtils::check_exprs_unique_on_table_items	ObRawExprFactory expr_factory(alloc);
