file	line	symbol	construct	text
src/oblib/lib/compress/zstd_1_3_8/zstd_src/zstdmt_compress.c	94	ZSTDMT_bufferPool_s::poolMutex	mutex ZSTD_pthread_mutex_t (alias of pthread_mutex_t); member of ZSTDMT_bufferPool_s; no guard or lock call names it in methods of ZSTDMT_bufferPool_s (zstdmt_compress.*) [vendored]	ZSTD_pthread_mutex_t poolMutex;
src/oblib/lib/compress/zstd_1_3_8/zstd_src/zstdmt_compress.c	339	ZSTDMT_CCtxPool::poolMutex	mutex ZSTD_pthread_mutex_t (alias of pthread_mutex_t); member of ZSTDMT_CCtxPool; no guard or lock call names it in methods of ZSTDMT_CCtxPool (zstdmt_compress.*) [vendored]	ZSTD_pthread_mutex_t poolMutex;
src/oblib/lib/compress/zstd_1_3_8/zstd_src/zstdmt_compress.c	446	serialState_t::mutex	mutex ZSTD_pthread_mutex_t (alias of pthread_mutex_t); member of serialState_t; no guard or lock call names it in methods of serialState_t (zstdmt_compress.*) [vendored]	ZSTD_pthread_mutex_t mutex;
src/oblib/lib/compress/zstd_1_3_8/zstd_src/zstdmt_compress.c	447	serialState_t::cond	condition ZSTD_pthread_cond_t (alias of pthread_cond_t); member of serialState_t; no guard or lock call names it in methods of serialState_t (zstdmt_compress.*) [vendored]	ZSTD_pthread_cond_t cond;
src/oblib/lib/compress/zstd_1_3_8/zstd_src/zstdmt_compress.c	455	serialState_t::ldmWindowMutex	mutex ZSTD_pthread_mutex_t (alias of pthread_mutex_t); member of serialState_t; no guard or lock call names it in methods of serialState_t (zstdmt_compress.*) [vendored]	ZSTD_pthread_mutex_t ldmWindowMutex;
src/oblib/lib/compress/zstd_1_3_8/zstd_src/zstdmt_compress.c	456	serialState_t::ldmWindowCond	condition ZSTD_pthread_cond_t (alias of pthread_cond_t); member of serialState_t; no guard or lock call names it in methods of serialState_t (zstdmt_compress.*) [vendored]	ZSTD_pthread_cond_t ldmWindowCond;  /* Signaled when ldmWindow is udpated */
src/oblib/lib/compress/zstd_1_3_8/zstd_src/zstdmt_compress.c	611	ZSTDMT_jobDescription::job_mutex	mutex ZSTD_pthread_mutex_t (alias of pthread_mutex_t); member of ZSTDMT_jobDescription; no guard or lock call names it in methods of ZSTDMT_jobDescription (zstdmt_compress.*) [vendored]	ZSTD_pthread_mutex_t job_mutex;      /* Thread-safe - used by mtctx and worker */
src/oblib/lib/compress/zstd_1_3_8/zstd_src/zstdmt_compress.c	612	ZSTDMT_jobDescription::job_cond	condition ZSTD_pthread_cond_t (alias of pthread_cond_t); member of ZSTDMT_jobDescription; no guard or lock call names it in methods of ZSTDMT_jobDescription (zstdmt_compress.*) [vendored]	ZSTD_pthread_cond_t job_cond;        /* Thread-safe - used by mtctx and worker */
src/oblib/lib/container/ob_concurrent_bitset.h	50	ObConcurrentBitset::mutex_	mutex lib::ObMutex; member of ObConcurrentBitset; uses in methods of ObConcurrentBitset (ob_concurrent_bitset.*): 7 guards, 0 lock calls	lib::ObMutex mutex_;
src/oblib/lib/container/ob_ext_ring_buffer_impl.h	845	ObExtendibleRingBufferBase::es_lock_	mutex ObSpinLock; member of ObExtendibleRingBufferBase; uses in methods of ObExtendibleRingBufferBase (ob_ext_ring_buffer_impl.*): 0 guards, 3 lock calls, 1 try	ObSpinLock es_lock_;
src/oblib/lib/container/ob_ext_ring_buffer_impl.h	846	ObExtendibleRingBufferBase::sn_dir_lock_	read-write lock RWLock (alias of TCRWLock); member of ObExtendibleRingBufferBase; uses in methods of ObExtendibleRingBufferBase (ob_ext_ring_buffer_impl.*): 2 guards, 0 lock calls	RWLock sn_dir_lock_;
src/oblib/lib/container/ob_id_map.h	46	ObIDMap::Node::lock	read-write lock common::SpinRWLock; member of ObIDMap::Node; no guard or lock call names it in methods of Node (ob_id_map.*); 6 more through another object with a member of this name in ob_id_map.* (not attributed)	common::SpinRWLock lock;
src/oblib/lib/container/ob_ring_array.h	29	get_rb_qs::s_rb_qs	reader-count sync ObQSync; function static in get_rb_qs; no guard or lock call names it in get_rb_qs	static ObQSync s_rb_qs;
src/oblib/lib/future/ob_future.h	144	ObFutureBaseBase::FutureBlockBase::cv_	condition ObThreadCond; member of ObFutureBaseBase::FutureBlockBase; no guard or lock call names it in methods of FutureBlockBase (ob_future.*); 12 more through another object with a member of this name in ob_future.* (not attributed)	ObThreadCond cv_;
src/oblib/lib/hash/ob_array_hash_map.h	249	ObArrayHashMap::lock_	mutex Lock (alias of ObSpinLock); member of ObArrayHashMap; uses in methods of ObArrayHashMap (ob_array_hash_map.*): 5 guards, 0 lock calls	mutable Lock lock_;
src/oblib/lib/hash/ob_darray.h	98	TcRef::Item::lock_	mutex Lock (alias of ObSpinLock); member of TcRef::Item; no guard or lock call names it in methods of Item (ob_darray.*); 2 more through another object with a member of this name in ob_darray.* (not attributed)	Lock lock_;
src/oblib/lib/hash/ob_darray.h	462	ArrayHead::lock_	hand-made spin lock: uint32_t lock_; field of ArrayHead; acquired at 4 places in methods of ArrayHead (ob_darray.*) by a test-and-set or compare-and-swap, a guard object or an acquire call that takes its address; its atomic accesses are rows of atomic-fields.tsv	uint32_t lock_;
src/oblib/lib/hash/ob_dchash.cpp	26	get_global_dchash_qsync::qsync	reader-count sync ObQSync; function static in get_global_dchash_qsync; no guard or lock call names it in get_global_dchash_qsync	static ObQSync qsync;
src/oblib/lib/hash/ob_dchash.h	245	DCHash::Handle::qsync_	reader-count sync QSync (alias of ObQSync); member of DCHash::Handle; reference to a lock declared elsewhere or allocated at run time; no guard or lock call names it in methods of Handle (ob_dchash.*)	QSync& qsync_;
src/oblib/lib/hash/ob_dchash.h	440	DCHash::lock_	mutex Lock (alias of ObSpinLock); member of DCHash; uses in methods of DCHash (ob_dchash.*): 1 guards, 2 lock calls, 1 try	Lock lock_;
src/oblib/lib/hash/ob_hashtable.h	247	ObHashTableBucket::lock	lock whose type is the template parameter _lock_type; member of ObHashTableBucket; no guard or lock call names it in methods of ObHashTableBucket (ob_hashtable.*)	mutable _lock_type lock;
src/oblib/lib/hash/ob_hashtable.h	248	ObHashTableBucket::cond	lock whose type is the template parameter _cond_type; member of ObHashTableBucket; no guard or lock call names it in methods of ObHashTableBucket (ob_hashtable.*)	mutable _cond_type cond;
src/oblib/lib/hash/ob_hashtable.h	329	ObBucketLockCond::lock_	no-op lock NoPthreadDefendMode::lock_type (alias of NLock); member of ObBucketLockCond; no guard or lock call names it in methods of ObBucketLockCond (ob_hashtable.*)	NoPthreadDefendMode::lock_type lock_;
