file	line	symbol	construct	text
src/sql/parser/sql_parser_base.h	208	#define dup_modify_key_string	memmove(expr_string, (prefix), strlen(prefix)); outside the expression directories	memmove(expr_string, (prefix), strlen(prefix));                       \
src/sql/parser/sql_parser_base.h	209	#define dup_modify_key_string	memmove(expr_string+strlen(prefix), result->input_sql_ + start - 1, expr_end - start + 1); outside the expression directories	memmove(expr_string+strlen(prefix), result->input_sql_ + start - 1, expr_end - start + 1); \
src/sql/parser/sql_parser_base.h	228	#define gen_expr_node	memmove(src, name, len); outside the expression directories	memmove(src, name, len);                                                           \
src/sql/parser/sql_parser_base.h	358	#define copy_and_replace_questionmark	memmove(buf, result->no_param_sql_, result->no_param_sql_len_); outside the expression directories	memmove(buf, result->no_param_sql_, result->no_param_sql_len_); \
src/sql/parser/sql_parser_base.h	363	#define copy_and_replace_questionmark	memmove(result->no_param_sql_ + result->no_param_sql_len_, \ result->input_sql_ + result->pl_parse_info_.last_pl_symbol_pos_, \ start - result->pl_parse_info_.last_p...); outside the expression directories	memmove(result->no_param_sql_ + result->no_param_sql_len_, \
src/sql/parser/sql_parser_base.h	381	#define check_need_malloc	memmove(buf, result->no_param_sql_, result->no_param_sql_len_); outside the expression directories	memmove(buf, result->no_param_sql_, result->no_param_sql_len_); \
src/sql/parser/sql_parser_base.h	396	#define copy_and_skip_symbol	memmove(result->no_param_sql_ + result->no_param_sql_len_, result->input_sql_ + result->pl_parse_info_.last_pl_symbol_pos_, start - result->pl_parse_info_.last_pl_sy...); outside the expression directories	memmove(result->no_param_sql_ + result->no_param_sql_len_, result->input_sql_ + result->pl_parse_info_.last_pl_symbol_pos_, start - result->pl_parse_info_.last_pl_symbol_pos_ - 1); \
src/sql/parser/sql_parser_base.h	647	#define COPY_STR_NODE_TO_TMP_LITERAL	memmove(((ParseResult *)yyextra)->tmp_literal_, str_node->str_value_, str_node->str_len_); outside the expression directories	memmove(((ParseResult *)yyextra)->tmp_literal_, str_node->str_value_, str_node->str_len_);  \
src/sql/parser/sql_parser_base.h	665	#define STORE_STR_CONTENT	memmove(*tmp_literal + str_node->str_len_, yytext, yyleng); outside the expression directories	memmove(*tmp_literal + str_node->str_len_, yytext, yyleng);                                 \
src/sql/parser/sql_parser_base.h	684	#define COPY_WRITE	memmove(p->no_param_sql_ + p->no_param_sql_len_, yytext, yyleng); outside the expression directories	memmove(p->no_param_sql_ + p->no_param_sql_len_, yytext, yyleng);           \
src/sql/parser/sql_parser_mysql_mode.l	519	-	memmove(((ParseResult *)yyextra)->tmp_literal_ + yylval->node->str_len_, yytext, yyleng); outside the expression directories	memmove(((ParseResult *)yyextra)->tmp_literal_ + yylval->node->str_len_, yytext, yyleng);
src/sql/parser/sql_parser_mysql_mode.l	529	-	memmove(((ParseResult *)yyextra)->tmp_literal_ + yylval->node->str_len_, yytext, yyleng); outside the expression directories	memmove(((ParseResult *)yyextra)->tmp_literal_ + yylval->node->str_len_, yytext, yyleng);
src/sql/parser/sql_parser_mysql_mode.l	603	-	memmove(((ParseResult *)yyextra)->tmp_literal_ + yylval->node->str_len_, yytext, yyleng); outside the expression directories	memmove(((ParseResult *)yyextra)->tmp_literal_ + yylval->node->str_len_, yytext, yyleng);
src/sql/parser/sql_parser_mysql_mode.l	672	-	memmove(((ParseResult *)yyextra)->tmp_literal_ + yylval->node->str_len_, yytext, yyleng); outside the expression directories	memmove(((ParseResult *)yyextra)->tmp_literal_ + yylval->node->str_len_, yytext, yyleng);
src/sql/parser/sql_parser_mysql_mode.l	1289	-	memmove(((ParseResult *)yyextra)->tmp_literal_ + yylval->node->str_len_, yytext, yyleng); outside the expression directories	memmove(((ParseResult *)yyextra)->tmp_literal_ + yylval->node->str_len_, yytext, yyleng);
src/sql/parser/sql_parser_mysql_mode.l	1326	-	memmove(((ParseResult *)yyextra)->tmp_literal_ + yylval->node->str_len_, yytext, yyleng); outside the expression directories	memmove(((ParseResult *)yyextra)->tmp_literal_ + yylval->node->str_len_, yytext, yyleng);
src/sql/parser/sql_parser_mysql_mode.y	1544	-	memmove(new_str_value + 1, $2->str_value_ + pos, num_len); outside the expression directories	memmove(new_str_value + 1, $2->str_value_ + pos, num_len);
src/sql/parser/sql_parser_mysql_mode.y	1558	-	memmove(new_str_value, $2->str_value_ + pos, num_len); outside the expression directories	memmove(new_str_value, $2->str_value_ + pos, num_len);
src/sql/parser/sql_parser_mysql_mode.y	18702	obsql_mysql_fast_parse	memmove(p->no_param_sql_ + p->no_param_sql_len_, hint_begin, slash - hint_begin); outside the expression directories	memmove(p->no_param_sql_ + p->no_param_sql_len_, hint_begin, slash - hint_begin);
src/sql/parser/sql_parser_mysql_mode.y	18709	obsql_mysql_fast_parse	memmove(p->no_param_sql_ + p->no_param_sql_len_, obsql_mysql_yyget_text(p->yyscan_info_), obsql_mysql_yyget_leng(p->yyscan_info_)); outside the expression directories	memmove(p->no_param_sql_ + p->no_param_sql_len_,
src/sql/plan_cache/ob_sql_parameterization.cpp	1776	ObSqlParameterization::insert_neg_sign	MEMMOVE(new_str+1, node->str_value_, node->str_len_); outside the expression directories	MEMMOVE(new_str+1, node->str_value_, node->str_len_);
src/sql/plan_cache/ob_sql_parameterization.cpp	1777	ObSqlParameterization::insert_neg_sign	MEMMOVE(new_raw_text+1, node->raw_text_, node->text_len_); outside the expression directories	MEMMOVE(new_raw_text+1, node->raw_text_, node->text_len_);
src/sql/plan_cache/ob_sql_parameterization.cpp	2383	ObSqlParameterization::transform_minus_op	MEMMOVE(new_str + 1, child->str_value_, child->str_len_); outside the expression directories	MEMMOVE(new_str + 1, child->str_value_, child->str_len_);
src/sql/plan_cache/ob_sql_parameterization.cpp	2384	ObSqlParameterization::transform_minus_op	MEMMOVE(new_raw_text + 1, child->raw_text_, child->text_len_); outside the expression directories	MEMMOVE(new_raw_text + 1, child->raw_text_, child->text_len_);
src/sql/plan_cache/ob_sql_parameterization.cpp	2446	ObSqlParameterization::transform_minus_op	MEMMOVE(new_str + 1, const_node->str_value_, const_node->str_len_); outside the expression directories	MEMMOVE(new_str + 1, const_node->str_value_, const_node->str_len_);
src/sql/plan_cache/ob_sql_parameterization.cpp	2447	ObSqlParameterization::transform_minus_op	MEMMOVE(new_raw_text + 1, const_node->raw_text_, const_node->text_len_); outside the expression directories	MEMMOVE(new_raw_text + 1, const_node->raw_text_, const_node->text_len_);
src/storage/lob/ob_lob_cursor.cpp	442	ObLobCursor::set	MEMMOVE(chunk_data(start_chunk_idx).data_.ptr() + chunk_index(start_chunk_idx).pos_ + (start_offset - chunk_index(start_chunk_idx).offset_), buf, buf_len); outside the expression directories	MEMMOVE(chunk_data(start_chunk_idx).data_.ptr() + chunk_index(start_chunk_idx).pos_ + (start_offset - chunk_index(start_chunk_idx).offset_), buf, buf_len);
src/storage/lob/ob_lob_manager.cpp	1559	ObLobManager::fill_zero	MEMMOVE(dst_start, src_start, cp_len); outside the expression directories	MEMMOVE(dst_start, src_start, cp_len);
src/storage/lob/ob_lob_manager.cpp	1644	ObLobManager::erase	MEMMOVE(dst_start, src_start, cp_len); outside the expression directories	MEMMOVE(dst_start, src_start, cp_len);
src/storage/lob/ob_lob_manager.cpp	2293	ObLobManager::get_next_block_inner	MEMMOVE(output_data.ptr() + output_data.length(), ctx.buff_ + ctx.buff_byte_len_ - ctx.reserved_byte_len_, ctx.reserved_byte_len_); outside the expression directories	MEMMOVE(output_data.ptr() + output_data.length(),
src/storage/lob/ob_lob_write_buffer.cpp	135	ObLobWriteBuffer::move_data_for_write	MEMMOVE(buffer_ptr() + move_dst_byte_offset, buffer_ptr() + move_src_byte_offset, real_move_byte_len); outside the expression directories	MEMMOVE(buffer_ptr() + move_dst_byte_offset, buffer_ptr() + move_src_byte_offset, real_move_byte_len);
src/storage/multi_data_source/mds_table_order_flusher.ipp	63	MdsTableHighPriorityFlusher::try_record_mds_table	memmove(iter + 1, iter, (end - iter - 1) * sizeof(FlushKey)); outside the expression directories	memmove(iter + 1, iter, (end - iter - 1) * sizeof(FlushKey));
src/storage/multi_data_source/mds_table_order_flusher.ipp	65	MdsTableHighPriorityFlusher::try_record_mds_table	memmove(iter + 1, iter, (end - iter) * sizeof(FlushKey)); outside the expression directories	memmove(iter + 1, iter, (end - iter) * sizeof(FlushKey));
src/storage/ob_storage_util.cpp	155	pad_column	MEMMOVE(ptr, datum.ptr_, datum.pack_); outside the expression directories	MEMMOVE(ptr, datum.ptr_, datum.pack_);
src/storage/slog/ob_storage_log_reader.cpp	361	ObStorageLogReader::load_buf	MEMMOVE(log_buffer_.get_data(), log_buffer_.get_cur_pos(), remain_size); outside the expression directories	MEMMOVE(log_buffer_.get_data(), log_buffer_.get_cur_pos(), remain_size);
src/storage/slog/ob_storage_log_write_buffer.cpp	129	ObStorageLogWriteBuffer::move_buffer	MEMMOVE(buf_, buf_ + lower_align_offset, move_size); outside the expression directories	MEMMOVE(buf_, buf_ + lower_align_offset, move_size);
src/storage/slog_ckpt/ob_linked_macro_block_reader.cpp	449	ObLinkedMacroBlockItemReader::read_item	memmove(item_buf, item_buf_with_head + sizeof(ObLinkedMacroBlockItemHeader), item_buf_len); outside the expression directories	memmove(item_buf, item_buf_with_head + sizeof(ObLinkedMacroBlockItemHeader), item_buf_len);
