file	line	symbol	construct	text
src/pl/ob_pl_resolver.cpp	3913	ObPLResolver::resolve_cparams	push_back(NULL) on params (of ObRawExpr *)	OZ (params.push_back(NULL));
src/sql/code_generator/ob_static_engine_cg.cpp	1270	ObStaticEngineCG::generate_recursive_union_all_spec	push_back(NULL) on output_union_exprs_ (of ObExpr *)	} else if (OB_FAIL(spec.output_union_exprs_.push_back(nullptr))) {
src/sql/code_generator/ob_static_engine_cg.cpp	1618	ObStaticEngineCG::generate_spec	prepare_allocate on values_ (of ObExpr *): new slots hold NULL until set	} else if (OB_FAIL(spec.values_.prepare_allocate(op.get_value_exprs().count()))) {
src/sql/code_generator/ob_static_engine_cg.cpp	1697	ObStaticEngineCG::generate_spec	prepare_allocate on column_exprs_ (of ObExpr *): new slots hold NULL until set	if (OB_FAIL(spec.column_exprs_.prepare_allocate(op.get_column_exprs().count()))) {
src/sql/code_generator/ob_static_engine_cg.cpp	1698	ObStaticEngineCG::generate_spec	prepare_allocate on value_exprs_ (of ObExpr *): new slots hold NULL until set	} else if (OB_FAIL(spec.value_exprs_.prepare_allocate(table_def->access_exprs_.count()))) {
src/sql/code_generator/ob_static_engine_expr_cg.cpp	1130	ObStaticEngineExprCG::generate_calculable_exprs	prepare_allocate on pre_calc_rt_exprs_ (of ObExpr *): new slots hold NULL until set	} else if (OB_FAIL(pre_calc_frame.pre_calc_rt_exprs_.prepare_allocate(
src/sql/code_generator/ob_static_engine_expr_cg.cpp	1639	ObStaticEngineExprCG::generate_partial_expr_frame	prepare_allocate on farthest_exprs (of ObExpr *): new slots hold NULL until set	OZ(farthest_exprs.prepare_allocate(frame_cnt));
src/sql/code_generator/ob_static_engine_expr_cg.cpp	1785	ObStaticEngineExprCG::generate_extra_questionmarks	prepare_allocate on gen_questionmarks_ (of ObRawExpr *): new slots hold NULL until set	} else if (OB_FAIL(gen_questionmarks_.prepare_allocate(param_cnt_))) {
src/sql/code_generator/ob_static_engine_expr_cg.cpp	1788	ObStaticEngineExprCG::generate_extra_questionmarks	element set to NULL on gen_questionmarks_ (of ObRawExpr *)	gen_questionmarks_.at(i) = nullptr;
src/sql/das/iter/sparse_retrieval/ob_das_match_iter.cpp	212	ObDASMatchIter::inner_init	prepare_allocate on children_relevance_exprs_ (of ObExpr *): new slots hold NULL until set	} else if (OB_FAIL(children_relevance_exprs_.prepare_allocate(match_param.children_relevance_exprs_.count()))) {
src/sql/das/iter/sparse_retrieval/ob_das_match_iter.cpp	215	ObDASMatchIter::inner_init	prepare_allocate on children_domain_id_exprs_ (of ObExpr *): new slots hold NULL until set	} else if (OB_FAIL(children_domain_id_exprs_.prepare_allocate(match_param.children_domain_id_exprs_.count()))) {
src/sql/engine/aggregate/ob_hash_groupby_op.cpp	596	ObHashGroupByOp::next_duplicate_data_permutation	element set to NULL on dup_groupby_exprs_ (of ObExpr *)	dup_groupby_exprs_.at(i) = nullptr;
src/sql/engine/expr/ob_expr_frame_info.cpp	402	ObPreCalcExprFrameInfo::assign	prepare_allocate on pre_calc_rt_exprs_ (of ObExpr *): new slots hold NULL until set	} else if (OB_FAIL(pre_calc_rt_exprs_.prepare_allocate(other.pre_calc_rt_exprs_.count()))) {
src/sql/optimizer/ob_log_expand.cpp	69	ObLogExpand::get_plan_item_info	element set to NULL on uniq_rollup_exprs (of ObRawExpr *)	uniq_rollup_exprs.at(--nil_idx) = nullptr;
src/sql/optimizer/ob_logical_operator.cpp	399	ObLogicalOperator::set_child	push_back(NULL) on child_ (of ObLogicalOperator *)	if (OB_FAIL(child_.push_back(NULL))) {
src/sql/optimizer/ob_select_log_plan.cpp	5075	ObSelectLogPlan::check_is_win_func_hint_valid	element set to NULL on win_exprs (of ObWinFunRawExpr *)	win_exprs.at(idx) = NULL;
src/sql/optimizer/ob_select_log_plan.cpp	5637	ObSelectLogPlan::init_win_func_helper	prepare_allocate on status_exprs (of ObOpPseudoColumnRawExpr *): new slots hold NULL until set	} else if (OB_FAIL(status_exprs.prepare_allocate(win_func_helper.win_op_idx_ + 1))) {
src/sql/printer/ob_update_stmt_printer.cpp	177	ObUpdateStmtPrinter::print_vector_assign	prepare_allocate on left_columns (of ObRawExpr *): new slots hold NULL until set	} else if (OB_FAIL(left_columns.prepare_allocate(stmt->get_select_item_size()))) {
src/sql/resolver/cmd/ob_call_procedure_resolver.cpp	61	ObCallProcedureResolver::resolve_cparams	push_back(NULL) on params (of ObRawExpr *)	OZ (params.push_back(NULL));
src/sql/resolver/dml/ob_del_upd_resolver.cpp	1811	ObDelUpdResolver::generate_column_conv_function	prepare_allocate on column_conv_exprs_ (of ObRawExpr *): new slots hold NULL until set	} else if (OB_FAIL(table_info.column_conv_exprs_.prepare_allocate(table_info.column_exprs_.count()))) {
src/sql/resolver/dml/ob_dml_resolver.cpp	11941	ObDMLResolver::fill_ivf_vec_expr_param	extend_param_exprs: parameter slots of an expression hold NULL until set	if (OB_FAIL(expr->extend_param_exprs(new_capacity))) {
src/sql/resolver/dml/ob_dml_resolver.cpp	12082	ObDMLResolver::fill_embedded_vec_expr_param	extend_param_exprs: parameter slots of an expression hold NULL until set	if (OB_FAIL(expr->extend_param_exprs(6))) {
src/sql/resolver/dml/ob_update_stmt.cpp	122	ObUpdateStmt::get_vector_assign_values	prepare_allocate on assign_values (of ObRawExpr *): new slots hold NULL until set	OB_FAIL(assign_values.prepare_allocate(vector_size))) {
src/sql/resolver/expr/ob_raw_expr_resolver_impl.cpp	3025	ObRawExprResolverImpl::process_like_node	extend_param_exprs: parameter slots of an expression hold NULL until set	} else if (OB_FAIL(t_expr->extend_param_exprs(3))) {
src/sql/resolver/expr/ob_raw_expr_util.cpp	784	ObRawExprUtils::resolve_udf_param_exprs	extend_param_exprs: parameter slots of an expression hold NULL until set	} else if (OB_FAIL(udf_raw_expr->extend_param_exprs(func_info->get_param_count()))) {
src/sql/resolver/expr/ob_raw_expr_util.cpp	794	ObRawExprUtils::resolve_udf_param_exprs	push_back(NULL) on param_exprs (of ObRawExpr *)	if (OB_FAIL(param_exprs.push_back(NULL))) {
src/sql/resolver/expr/ob_raw_expr_util.cpp	1085	ObRawExprUtils::function_alias	extend_param_exprs: parameter slots of an expression hold NULL until set	} else if (OB_FAIL(expr->extend_param_exprs(3))) {
