file	line	symbol	construct	text
src/storage/memtable/ob_memtable_mutator.cpp	650	ObMutatorWriter::append_row_kv	-4013 handled (compared against)	if (ret == OB_ALLOCATE_MEMORY_FAILED) {
src/storage/memtable/ob_memtable_mutator.cpp	656	ObMutatorWriter::append_row_kv	-4013 handled (compared against)	if (ret == OB_ALLOCATE_MEMORY_FAILED) {
src/storage/memtable/ob_memtable_mutator.cpp	715	ObMutatorWriter::append_table_lock_kv	-4013 handled (compared against)	if (ret == OB_ALLOCATE_MEMORY_FAILED) {
src/storage/memtable/ob_memtable_mutator.cpp	726	ObMutatorWriter::append_table_lock_kv	-4013 handled (compared against)	if (ret == OB_ALLOCATE_MEMORY_FAILED) {
src/storage/memtable/ob_memtable_mutator.cpp	781	ObMutatorWriter::append_ext_info_log_kv	-4013 handled (compared against)	if (ret == OB_ALLOCATE_MEMORY_FAILED) {
src/storage/memtable/ob_memtable_mutator.cpp	787	ObMutatorWriter::append_ext_info_log_kv	-4013 handled (compared against)	if (ret == OB_ALLOCATE_MEMORY_FAILED) {
src/storage/meta_mem/ob_storage_meta_mem_mgr.cpp	401	ObStorageMetaMemMgr::push_table_into_gc_queue	-4013 handled (compared against)	if (OB_ALLOCATE_MEMORY_FAILED == ret) {
src/storage/meta_mem/ob_storage_meta_mem_mgr.cpp	408	ObStorageMetaMemMgr::push_table_into_gc_queue	-4013 handled (compared against)	} while (OB_ALLOCATE_MEMORY_FAILED == ret
src/storage/meta_mem/ob_storage_meta_mem_mgr.cpp	1203	ObStorageMetaMemMgr::acquire_tablet_from_pool	-4013 handled (compared against)	if (OB_ALLOCATE_MEMORY_FAILED != ret) {
src/storage/meta_mem/ob_storage_meta_mem_mgr.cpp	1245	ObStorageMetaMemMgr::acquire_tablet	-4013 handled (compared against)	if (OB_ALLOCATE_MEMORY_FAILED != ret) {
