file	line	symbol	construct	text
src/sql/engine/expr/ob_expr_add.cpp	229	ObExprAdd::add_int	unchecked: arithmetic on signed value left_i	res.set_int(left_i + right_i);
src/sql/engine/expr/ob_expr_add.cpp	230	ObExprAdd::add_int	check: helper is_int_int_out_of_range	if (OB_UNLIKELY(is_int_int_out_of_range(left_i, right_i, res.get_int()))) {
src/sql/engine/expr/ob_expr_add.cpp	231	ObExprAdd::add_int	check: raises OB_OPERATE_OVERFLOW	ret = OB_OPERATE_OVERFLOW;
src/sql/engine/expr/ob_expr_add.cpp	242	ObExprAdd::add_int	unchecked: arithmetic on signed value left_i	res.set_uint64(left_i + right_i);
src/sql/engine/expr/ob_expr_add.cpp	243	ObExprAdd::add_int	check: helper is_int_uint_out_of_range	if (OB_UNLIKELY(is_int_uint_out_of_range(left_i, right_i, res.get_uint64()))) {
src/sql/engine/expr/ob_expr_add.cpp	244	ObExprAdd::add_int	check: raises OB_OPERATE_OVERFLOW	ret = OB_OPERATE_OVERFLOW;
src/sql/engine/expr/ob_expr_add.cpp	267	ObExprAdd::add_uint	unchecked: arithmetic on unsigned value left_i	res.set_uint64(left_i + right_i);
src/sql/engine/expr/ob_expr_add.cpp	271	ObExprAdd::add_uint	check: helper is_uint_uint_out_of_range	if (OB_UNLIKELY(is_uint_uint_out_of_range(left_i, right_i, res.get_uint64()))) {
src/sql/engine/expr/ob_expr_add.cpp	272	ObExprAdd::add_uint	check: raises OB_OPERATE_OVERFLOW	ret = OB_OPERATE_OVERFLOW;
src/sql/engine/expr/ob_expr_add.cpp	283	ObExprAdd::add_uint	check: helper is_int_uint_out_of_range	if (OB_UNLIKELY(is_int_uint_out_of_range(right_i, left_i, res.get_uint64()))) {
src/sql/engine/expr/ob_expr_add.cpp	284	ObExprAdd::add_uint	check: raises OB_OPERATE_OVERFLOW	ret = OB_OPERATE_OVERFLOW;
src/sql/engine/expr/ob_expr_add.cpp	376	ObExprAdd::add_datetime	unchecked: arithmetic on signed value left_i	int64_t round_value = left_i + right_i;
src/sql/engine/expr/ob_expr_add.cpp	386	ObExprAdd::add_datetime	check: raises OB_OPERATE_OVERFLOW	ret = OB_OPERATE_OVERFLOW;
src/sql/engine/expr/ob_expr_add.cpp	551	ObIntIntBatchAddRaw::raw_op	unchecked: arithmetic on signed value l	res = l + r;
src/sql/engine/expr/ob_expr_add.cpp	557	ObIntIntBatchAddRaw::raw_check	check: helper is_int_int_out_of_range	if (OB_UNLIKELY(ObExprAdd::is_int_int_out_of_range(l, r, res))) {
src/sql/engine/expr/ob_expr_add.cpp	559	ObIntIntBatchAddRaw::raw_check	check: raises OB_OPERATE_OVERFLOW	ret = OB_OPERATE_OVERFLOW;
src/sql/engine/expr/ob_expr_add.cpp	587	ObIntUIntBatchAddRaw::raw_op	unchecked: arithmetic on signed value l	res = l + r;
src/sql/engine/expr/ob_expr_add.cpp	593	ObIntUIntBatchAddRaw::raw_check	check: helper is_int_uint_out_of_range	if (OB_UNLIKELY(ObExprAdd::is_int_uint_out_of_range(l, r, res))) {
src/sql/engine/expr/ob_expr_add.cpp	595	ObIntUIntBatchAddRaw::raw_check	check: raises OB_OPERATE_OVERFLOW	ret = OB_OPERATE_OVERFLOW;
src/sql/engine/expr/ob_expr_add.cpp	623	ObUIntUIntBatchAddRaw::raw_op	unchecked: arithmetic on unsigned value l	res = l + r;
src/sql/engine/expr/ob_expr_add.cpp	629	ObUIntUIntBatchAddRaw::raw_check	check: helper is_uint_uint_out_of_range	if (OB_UNLIKELY(ObExprAdd::is_uint_uint_out_of_range(l, r, res))) {
