file	line	symbol	construct	text
src/sql/rewrite/ob_transform_query_push_down.cpp	589	ObTransformQueryPushDown::check_select_item_subquery	pointer membership test: ObOptimizerUtil::overlap	} else if (ObOptimizerUtil::overlap(column_exprs, column_exprs_from_subquery)) {
src/sql/rewrite/ob_transform_rule.cpp	551	ObTransformRule::deep_copy_temp_table	pointer membership test: add_var_to_array_no_dup	} else if (OB_FAIL(add_var_to_array_no_dup(old_temp_table_stmts,
src/sql/rewrite/ob_transform_semi_to_inner.cpp	978	ObTransformSemiToInner::do_transform	pointer membership test: ObOptimizerUtil::remove_item	} else if (OB_FAIL(ObOptimizerUtil::remove_item(stmt.get_semi_infos(), semi_info))) {
src/sql/rewrite/ob_transform_semi_to_inner.cpp	996	ObTransformSemiToInner::do_transform	pointer membership test: ObOptimizerUtil::remove_item	} else if (OB_FAIL(ObOptimizerUtil::remove_item(new_condition_exprs,
src/sql/rewrite/ob_transform_semi_to_inner.cpp	1095	ObTransformSemiToInner::do_transform_with_aggr	pointer membership test: ObOptimizerUtil::remove_item	} else if (OB_FAIL(ObOptimizerUtil::remove_item(new_condition_exprs, view_filter_conds))) {
src/sql/rewrite/ob_transform_semi_to_inner.cpp	1098	ObTransformSemiToInner::do_transform_with_aggr	pointer membership test: ObOptimizerUtil::remove_item	} else if (OB_FAIL(ObOptimizerUtil::remove_item(stmt.get_semi_infos(), semi_info))) {
src/sql/rewrite/ob_transform_semi_to_inner.cpp	1145	ObTransformSemiToInner::create_min_max_aggr_expr	IR pointer == IR pointer	target_at_left = condition_expr->get_param_expr(0) == target_param_expr;
src/sql/rewrite/ob_transform_semi_to_inner.cpp	1146	ObTransformSemiToInner::create_min_max_aggr_expr	IR pointer == IR pointer	target_at_right = condition_expr->get_param_expr(1) == target_param_expr;
src/sql/rewrite/ob_transform_semi_to_inner.cpp	1233	ObTransformSemiToInner::add_distinct	IR pointer != IR pointer	} else if (right != item.expr_) {
src/sql/rewrite/ob_transform_semi_to_inner.cpp	1321	ObTransformSemiToInner::is_expected_plan	IR pointer != IR pointer	child != join_op->get_left_table()) {
src/sql/rewrite/ob_transform_simplify_expr.cpp	577	ObTransformSimplifyExpr::check_like_condition	pointer membership test: ObOptimizerUtil::find_item	} else if (ObOptimizerUtil::find_item(old_exprs, expr)) {
src/sql/rewrite/ob_transform_simplify_expr.cpp	974	ObTransformSimplifyExpr::adjust_dummy_expr	pointer membership test: ObOptimizerUtil::find_item	const bool checked_expr_was_evaluated = ObOptimizerUtil::find_item(op_params, check_exprs.at(i));
src/sql/rewrite/ob_transform_simplify_expr.cpp	1006	ObTransformSimplifyExpr::adjust_dummy_expr	pointer membership test: ObOptimizerUtil::remove_item	if (OB_FAIL(ObOptimizerUtil::remove_item(adjust_exprs, op_params))) {
src/sql/rewrite/ob_transform_simplify_expr.cpp	1010	ObTransformSimplifyExpr::adjust_dummy_expr	pointer membership test: ObOptimizerUtil::find_item	if (!ObOptimizerUtil::find_item(op_params, adjust_exprs.at(i))) {
src/sql/rewrite/ob_transform_simplify_expr.cpp	1292	ObTransformSimplifyExpr::inner_remove_dummy_nvl	pointer membership test: ObOptimizerUtil::find_item	} else if (ObOptimizerUtil::find_item(ignore_exprs, expr)) {
src/sql/rewrite/ob_transform_simplify_expr.cpp	1457	ObTransformSimplifyExpr::inner_convert_nvl_predicate	pointer membership test: ObOptimizerUtil::find_item	if (ObOptimizerUtil::find_item(ignore_exprs, expr)) {
src/sql/rewrite/ob_transform_simplify_expr.cpp	2363	ObTransformSimplifyExpr::do_push_not	pointer cast to integer used as a key	key = reinterpret_cast<const uint64_t>(cur->get_param_expr(0));
src/sql/rewrite/ob_transform_simplify_expr.cpp	2392	ObTransformSimplifyExpr::do_push_not	pointer cast to integer used as a key	key = reinterpret_cast<const uint64_t>(expr->get_param_expr(0));
src/sql/rewrite/ob_transform_simplify_expr.cpp	2886	ObTransformSimplifyExpr::get_intersection	pointer membership test: ObTransformUtils::find_expr (pointer identity, then same_as)	if (OB_FAIL(ObTransformUtils::find_expr(params_sets.at(i), params.at(j), find, &context))) {
src/sql/rewrite/ob_transform_simplify_expr.cpp	2920	ObTransformSimplifyExpr::remove_intersect_item	pointer membership test: ObTransformUtils::find_expr (pointer identity, then same_as)	if (OB_FAIL(ObTransformUtils::find_expr(intersection, params_sets.at(i).at(j), find, &context))) {
src/sql/rewrite/ob_transform_simplify_expr.cpp	3061	ObTransformSimplifyExpr::convert_case_when_predicate	pointer membership test: ObOptimizerUtil::remove_item	if (OB_FAIL(ObOptimizerUtil::remove_item(stmt->get_condition_exprs(), preds_to_remove))) {
src/sql/rewrite/ob_transform_simplify_expr.cpp	3089	ObTransformSimplifyExpr::convert_case_when_predicate	pointer membership test: ObOptimizerUtil::remove_item	if (OB_FAIL(ObOptimizerUtil::remove_item(select_stmt->get_having_exprs(), preds_to_remove))) {
src/sql/rewrite/ob_transform_simplify_groupby.cpp	305	ObTransformSimplifyGroupby::get_upper_column_exprs	pointer membership test: ObOptimizerUtil::find_item	if (!ObOptimizerUtil::find_item(stmt.get_aggr_items(),
src/sql/rewrite/ob_transform_simplify_groupby.cpp	312	ObTransformSimplifyGroupby::get_upper_column_exprs	pointer membership test: ObOptimizerUtil::find_item	} else if (ObOptimizerUtil::find_item(stmt.get_group_exprs(), stmt_select_expr)
src/sql/rewrite/ob_transform_simplify_groupby.cpp	362	ObTransformSimplifyGroupby::check_aggrs_matched	pointer membership test: ObOptimizerUtil::find_item	} else if (ObOptimizerUtil::find_item(aggr_column_exprs, aggr_param, &idx)) {
src/sql/rewrite/ob_transform_simplify_groupby.cpp	372	ObTransformSimplifyGroupby::check_aggrs_matched	pointer membership test: ObOptimizerUtil::find_item	} else if (ObOptimizerUtil::find_item(no_aggr_column_exprs, aggr_param)) {//match condition 2
src/sql/rewrite/ob_transform_simplify_groupby.cpp	409	ObTransformSimplifyGroupby::exist_exprs_in_expr	pointer membership test: ObOptimizerUtil::find_item	} else if (ObOptimizerUtil::find_item(dst_exprs, src_expr)) {
src/sql/rewrite/ob_transform_simplify_groupby.cpp	547	ObTransformSimplifyGroupby::remove_group_by_duplicates	pointer membership test: ObOptimizerUtil::find_item	if (ObOptimizerUtil::find_item(new_group_exprs, group_exprs.at(i))) {
src/sql/rewrite/ob_transform_simplify_groupby.cpp	1089	ObTransformSimplifyGroupby::convert_valid_count_aggr	pointer membership test: ObOptimizerUtil::remove_item	} else if (OB_FAIL(ObOptimizerUtil::remove_item(select_stmt->get_aggr_items(), count_null))) {
src/sql/rewrite/ob_transform_simplify_groupby.cpp	1793	ObTransformSimplifyGroupby::is_first_rollup_with_duplicates	pointer membership test: ObOptimizerUtil::find_item	} else if (ObOptimizerUtil::find_item(stmt->get_group_exprs(), rollup_expr)) {
src/sql/rewrite/ob_transform_simplify_groupby.cpp	1795	ObTransformSimplifyGroupby::is_first_rollup_with_duplicates	pointer membership test: ObOptimizerUtil::find_item	} else if (OB_UNLIKELY(!ObOptimizerUtil::find_item(stmt->get_rollup_exprs(),
src/sql/rewrite/ob_transform_simplify_groupby.cpp	2135	ObTransformSimplifyGroupby::get_valid_column_exprs	pointer membership test: ObTransformUtils::get_expr_idx	if (OB_FAIL(ObTransformUtils::get_expr_idx(column_exprs, column_expr, idx))) {
src/sql/rewrite/ob_transform_simplify_groupby.cpp	2166	ObTransformSimplifyGroupby::get_valid_column_exprs	IR pointer == IR pointer	aggr_expr->get_param_expr(0) == column_exprs.at(i)) {
src/sql/rewrite/ob_transform_simplify_groupby.cpp	2310	ObTransformSimplifyGroupby::transform_split_const	pointer membership test: is_contain	!is_contain(valid_column_exprs, column_expr)) {
src/sql/rewrite/ob_transform_simplify_groupby.cpp	2314	ObTransformSimplifyGroupby::transform_split_const	pointer membership test: ObTransformUtils::get_expr_idx	if (OB_FAIL(ObTransformUtils::get_expr_idx(valid_column_exprs, column_expr, idx))) {
src/sql/rewrite/ob_transform_simplify_orderby.cpp	227	ObTransformSimplifyOrderby::remove_order_by_duplicates	IR pointer == IR pointer	} else if (right_param == cur_item.expr_) {
src/sql/rewrite/ob_transform_simplify_orderby.cpp	230	ObTransformSimplifyOrderby::remove_order_by_duplicates	IR pointer == IR pointer	} else if (left_param == cur_item.expr_) {
src/sql/rewrite/ob_transform_simplify_orderby.cpp	267	ObTransformSimplifyOrderby::exist_item_by_expr	IR pointer == IR pointer	} else if (this_item.expr_ == expr) {
src/sql/rewrite/ob_transform_simplify_subquery.cpp	520	ObTransformSimplifySubquery::try_push_down_outer_join_conds	pointer membership test: ObOptimizerUtil::remove_item	} else if (OB_FAIL(ObOptimizerUtil::remove_item(join_table->get_join_conditions(), push_down_conds))) {
src/sql/rewrite/ob_transform_simplify_subquery.cpp	1278	ObTransformSimplifySubquery::eliminate_groupby_in_any_all	pointer membership test: ObOptimizerUtil::find_item	!ObOptimizerUtil::find_item(stmt->get_group_exprs(), s_expr)) {
src/sql/rewrite/ob_transform_simplify_subquery.cpp	1311	ObTransformSimplifySubquery::eliminate_subquery_in_exists	pointer membership test: ObOptimizerUtil::remove_item	} else if (OB_FAIL(ObOptimizerUtil::remove_item(stmt->get_subquery_exprs(), subq_expr))) {
src/sql/rewrite/ob_transform_simplify_subquery.cpp	1380	ObTransformSimplifySubquery::simplify_select_items	pointer membership test: append_array_no_dup	} else if (OB_FAIL(append_array_no_dup(subquery->get_aggr_items(),aggr_items_in_having))) {
src/sql/rewrite/ob_transform_simplify_winfunc.cpp	606	ObTransformSimplifyWinfunc::simplify_win_expr	pointer membership test: ObRawExprUtils::find_expr	} else if (ObRawExprUtils::find_expr(added_expr, part_expr)) {
src/sql/rewrite/ob_transform_simplify_winfunc.cpp	614	ObTransformSimplifyWinfunc::simplify_win_expr	pointer membership test: ObRawExprUtils::find_expr	} else if (ObRawExprUtils::find_expr(added_expr, order_expr)) {
