file	line	symbol	construct	text
src/oblib/common/rowkey/ob_store_rowkey.h	247	ObStoreRowkeyComparator::operator()	int &ret = ret_; bool comparator, error branch sets no result	int &ret = ret_;
src/rootserver/ob_bootstrap.cpp	125	ObBootstrap::TableIdCompare::operator()	bool comparator keeps its error in member ret_ without an int &ret alias	bool ObBootstrap::TableIdCompare::operator() (const ObSimpleTableSchemaV2* left, const ObSimpleTableSchemaV2* right)
src/share/datum/ob_datum_compare.h	68	ObDatumComparator::operator()	int &ret = ret_; bool comparator, error branch sets no result	int &ret = ret_;
src/share/schema/ob_dependency_info.cpp	55	ObDependencyInfo::operator=	int &ret = error_ret_; not a comparator (operator=)	int &ret = error_ret_;
src/share/schema/ob_dependency_info.cpp	805	ObReferenceObjTable::ObDependencyObjItem::operator=	int &ret = error_ret_; not a comparator (operator=)	int &ret = error_ret_;
src/share/schema/ob_error_info.cpp	58	ObErrorInfo::operator=	int &ret = error_ret_; not a comparator (operator=)	int &ret = error_ret_;
src/share/schema/ob_list_row_values.cpp	130	InnerPartListVectorCmp::operator()	bool comparator keeps its error in member ret_ without an int &ret alias	bool operator()(const ObNewRow &left, const ObNewRow &right)
src/share/schema/ob_routine_info.cpp	52	ObRoutineParam::operator=	int &ret = error_ret_; not a comparator (operator=)	int &ret = error_ret_;
src/share/schema/ob_routine_info.cpp	248	ObRoutineInfo::operator=	int &ret = error_ret_; not a comparator (operator=)	int &ret = error_ret_;
src/share/schema/ob_trigger_info.cpp	60	ObTriggerInfo::operator=	int &ret = error_ret_; not a comparator (operator=)	int &ret = error_ret_;
src/share/schema/ob_trigger_info.cpp	185	ObTriggerInfo::ActionOrderComparator::operator()	bool comparator keeps its error in member ret_ without an int &ret alias	bool ObTriggerInfo::ActionOrderComparator::operator()(const ObTriggerInfo *left, const ObTriggerInfo *right)
src/share/schema/ob_trigger_mgr.cpp	43	ObSimpleTriggerSchema::operator=	int &ret = error_ret_; not a comparator (operator=)	int &ret = error_ret_;
src/sql/das/iter/ob_das_func_data_iter.h	131	ObDASFuncDataIter::FtsDocIdCmp::operator()	bool comparator keeps its error in member err_code_ without an int &ret alias	bool operator()(const std::pair<ObDocIdExt, int> &a, const std::pair<ObDocIdExt, int> &b) const
src/sql/das/ob_das_scan_op.cpp	472	ObDASScanOp::rescan	int &ret = errcode_; not a comparator (rescan)	int &ret = errcode_;
src/sql/das/ob_das_scan_op.cpp	494	ObDASScanOp::reuse_iter	int &ret = errcode_; not a comparator (reuse_iter)	int &ret = errcode_;
src/sql/das/ob_das_task.cpp	44	ObIDASTaskOp::start_das_task	int &ret = errcode_; not a comparator (start_das_task)	int &ret = errcode_;
src/sql/dtl/ob_dtl_interm_result_manager.cpp	63	ObAtomicGetIntermMemProfileCall::operator()	int &ret = ret_; not a comparator (operator())	int &ret = ret_;
src/sql/engine/expr/ob_expr_calc_partition_id.cpp	553	RangePartCmp::operator()	bool comparator keeps its error in member ret_ without an int &ret alias	bool RangePartCmp::operator()(const ObDatum &l, const RangePartition &r) {
src/sql/engine/px/exchange/ob_px_ms_receive_op.cpp	920	ObPxMSReceiveOp::Compare::operator()	int &ret = ret_; bool comparator, error branch sets no result	int &ret = ret_;
src/sql/engine/px/exchange/ob_row_heap.cpp	58	ObDatumRowCompare::operator()	int &ret = ret_; bool comparator, error branch sets no result	int &ret = ret_;
src/sql/engine/px/exchange/ob_row_heap.cpp	115	ObMaxDatumRowCompare::operator()	int &ret = ret_; bool comparator, error branch sets no result	int &ret = ret_;
src/sql/engine/px/ob_slice_calc.cpp	1051	ObSlaveMapPkeyRangeIdxCalc::Compare::operator()	int &ret = ret_; bool comparator, error branch sets no result	int &ret = ret_;
src/sql/engine/px/ob_slice_calc.cpp	1389	ObRangeSliceIdCalc::Compare::operator()	int &ret = ret_; bool comparator, error branch sets no result	int &ret = ret_;
src/sql/engine/sort/ob_sort_op_impl.cpp	400	ObSortOpImpl::Compare::operator()	int &ret = ret_; bool comparator, error branch sets a result	int &ret = ret_;
src/sql/engine/sort/ob_sort_op_impl.cpp	440	ObSortOpImpl::Compare::operator()	int &ret = ret_; bool comparator, error branch sets no result	int &ret = ret_;
src/sql/engine/sort/ob_sort_op_impl.cpp	474	ObSortOpImpl::Compare::with_ties_cmp	int &ret = ret_; int comparator, error branch sets no result	int &ret = ret_;
src/sql/engine/sort/ob_sort_op_impl.cpp	500	ObSortOpImpl::Compare::with_ties_cmp	int &ret = ret_; int comparator, error branch sets no result	int &ret = ret_;
src/sql/engine/sort/ob_sort_op_impl.cpp	525	ObSortOpImpl::Compare::operator()	int &ret = ret_; bool comparator, error branch sets no result	int &ret = ret_;
src/sql/engine/sort/ob_sort_op_impl.cpp	544	ObSortOpImpl::Compare::operator()	int &ret = ret_; bool comparator, error branch sets no result	int &ret = ret_;
src/sql/ob_result_set.cpp	350	ObResultSet::inner_get_next_row	int &ret = errcode_; not a comparator (inner_get_next_row)	int &ret = errcode_;
src/sql/ob_spi.cpp	1520	ObPLSPITraceIdGuard::~ObPLSPITraceIdGuard	int &ret = ret_; not a comparator (~ObPLSPITraceIdGuard)	int &ret = ret_;
src/sql/ob_spi.cpp	6174	ObSPIRetryCtrlGuard::test	int &ret = ret_; not a comparator (test)	int &ret = ret_;
src/sql/ob_sql_utils.cpp	53	ObSqlArrayExpandGuard::ObSqlArrayExpandGuard	int &ret = ret_; not a comparator (ObSqlArrayExpandGuard)	int &ret = ret_;
src/sql/optimizer/stat/ob_stat_item.cpp	252	ObBucketCompare::operator()	int &ret = ret_; bool comparator, error branch sets no result	int &ret = ret_;
src/sql/optimizer/stat/ob_topk_hist_estimator.cpp	33	Compare::operator()	int &ret = ret_; bool comparator, error branch sets no result	int &ret = ret_;
src/sql/plan_cache/ob_ps_cache_callback.h	56	ObGetClosedStmtIdOp::operator()	int &ret = callback_ret_; not a comparator (operator())	int &ret = callback_ret_;
src/sql/resolver/expr/ob_raw_expr.cpp	1186	ObConstRawExpr::inner_same_as	int &ret = check_context->err_code_; not a comparator (inner_same_as)	int &ret = check_context->err_code_;
src/sql/resolver/expr/ob_raw_expr.cpp	1208	ObConstRawExpr::inner_same_as	int &ret = check_context->err_code_; not a comparator (inner_same_as)	int &ret = check_context->err_code_;
src/sql/resolver/expr/ob_raw_expr.cpp	1265	ObExprEqualCheckContext::compare_const	int &ret = err_code_; bool comparator, no error branch found	int &ret = err_code_;
src/sql/resolver/expr/ob_raw_expr.cpp	5703	ObExprParamCheckContext::compare_const	int &ret = err_code_; bool comparator, error branch sets no result	int &ret = err_code_;
