file	line	symbol	construct	text
src/storage/tmp_file/ob_tmp_file_cache.h	34	ObTmpBlockCacheKey	direct subclass of ObIKVCacheKey (class common::ObIKVCacheKey) [base named in the evidence, not in the plan list]	class ObTmpBlockCacheKey final : public common::ObIKVCacheKey
src/storage/tmp_file/ob_tmp_file_cache.h	53	ObTmpBlockCacheValue	direct subclass of ObIKVCacheValue (class common::ObIKVCacheValue) [base named in the evidence, not in the plan list]	class ObTmpBlockCacheValue final : public common::ObIKVCacheValue
src/storage/tmp_file/ob_tmp_file_cache.h	127	ObTmpPageCacheKey	direct subclass of ObIKVCacheKey (class common::ObIKVCacheKey) [base named in the evidence, not in the plan list]	class ObTmpPageCacheKey final : public common::ObIKVCacheKey
src/storage/tmp_file/ob_tmp_file_cache.h	148	ObTmpPageCacheValue	direct subclass of ObIKVCacheValue (class common::ObIKVCacheValue) [base named in the evidence, not in the plan list]	class ObTmpPageCacheValue final : public common::ObIKVCacheValue
src/storage/tmp_file/ob_tmp_file_flush_ctx.h	35	ObTmpFileWriteBlockTask	direct subclass of ObTimerTask (class common::ObTimerTask)	class ObTmpFileWriteBlockTask : public common::ObTimerTask
src/storage/truncate_info/ob_truncate_info_kv_cache.h	26	ObTruncateInfoCacheKey	direct subclass of ObIKVCacheKey (class common::ObIKVCacheKey) [base named in the evidence, not in the plan list]	class ObTruncateInfoCacheKey final : public common::ObIKVCacheKey
src/storage/truncate_info/ob_truncate_info_kv_cache.h	47	ObTruncateInfoCacheValue	direct subclass of ObIKVCacheValue (class common::ObIKVCacheValue) [base named in the evidence, not in the plan list]	class ObTruncateInfoCacheValue final : public common::ObIKVCacheValue
src/storage/tx/ob_id_service.h	56	ObPresistIDLogCb	direct subclass of AppendCb (class logservice::AppendCb) [base named in the evidence, not in the plan list]	class ObPresistIDLogCb : public logservice::AppendCb
src/storage/tx/ob_id_service.h	85	ObIDService	direct subclass of ObICheckpointSubHandler (class logservice::ObICheckpointSubHandler) [base named in the evidence, not in the plan list]	class ObIDService : public logservice::ObIReplaySubHandler,
src/storage/tx/ob_id_service.h	85	ObIDService	direct subclass of ObIReplaySubHandler (class logservice::ObIReplaySubHandler) [base named in the evidence, not in the plan list]	class ObIDService : public logservice::ObIReplaySubHandler,
