file	line	symbol	construct	text
src/storage/tx/ob_trans_timer.cpp	85	ObTransTimeoutTask::runTimerTask	declare tmp_ret (plan definition)	int tmp_ret = OB_SUCCESS;
src/storage/tx/ob_trans_timer.cpp	92	ObTransTimeoutTask::runTimerTask	assign tmp_ret	tmp_ret = OB_ERR_UNEXPECTED;
src/storage/tx/ob_trans_timer.cpp	94	ObTransTimeoutTask::runTimerTask	assign tmp_ret	if (OB_SUCCESS != (tmp_ret = ctx_->handle_timeout(delay_))) {
src/storage/tx/ob_trans_timer.cpp	250	ObTransTimer::destroy	declare tmp_ret (plan definition)	int tmp_ret = OB_SUCCESS;
src/storage/tx/ob_trans_timer.cpp	254	ObTransTimer::destroy	assign tmp_ret	if (OB_SUCCESS != (tmp_ret = stop())) {
src/storage/tx/ob_trans_timer.cpp	256	ObTransTimer::destroy	assign tmp_ret	} else if (OB_SUCCESS != (tmp_ret = wait())) {
src/storage/tx/ob_tx_ctx.cpp	356	ObTxCtx::handle_timeout	declare tmp_ret (plan definition)	int tmp_ret = OB_SUCCESS;
src/storage/tx/ob_tx_ctx.cpp	381	ObTxCtx::handle_timeout	assign tmp_ret	tmp_ret = OB_TRANS_COMMIT_TOO_MUCH_TIME;
src/storage/tx/ob_tx_ctx.cpp	390	ObTxCtx::handle_timeout	assign tmp_ret	tmp_ret = OB_TRANS_LIVE_TOO_MUCH_TIME;
src/storage/tx/ob_tx_ctx.cpp	402	ObTxCtx::handle_timeout	OB_TMP_FAIL (plan definition)	if (OB_TMP_FAIL(submit_log_impl_(ObTxLogType::TX_MULTI_DATA_SOURCE_LOG))) {
src/storage/tx/ob_tx_ctx.cpp	411	ObTxCtx::handle_timeout	assign tmp_ret	tmp_ret = post_tx_commit_resp_(OB_TRANS_TIMEOUT);
src/storage/tx/ob_tx_ctx.cpp	414	ObTxCtx::handle_timeout	assign tmp_ret	tmp_ret = post_tx_commit_resp_(OB_TRANS_STMT_TIMEOUT);
src/storage/tx/ob_tx_ctx.cpp	427	ObTxCtx::handle_timeout	assign tmp_ret	tmp_ret = post_tx_commit_resp_(OB_EAGAIN);
src/storage/tx/ob_tx_ctx.cpp	503	ObTxCtx::kill	declare tmp_ret (plan definition)	int tmp_ret = OB_SUCCESS;
src/storage/tx/ob_tx_ctx.cpp	525	ObTxCtx::kill	merge OB_TRANS_CANNOT_BE_KILLED into ret through if (OB_SUCC(ret)) (continue-and-record through another variable)	ret = OB_TRANS_CANNOT_BE_KILLED;
src/storage/tx/ob_tx_ctx.cpp	542	ObTxCtx::kill	OB_TMP_FAIL (plan definition)	if (OB_TMP_FAIL(prepare_commit_cb_for_role_change_(cb_param, cb_list))) {
src/storage/tx/ob_tx_ctx.cpp	544	ObTxCtx::kill	merge into ret	ret = (ret == OB_SUCCESS) ? tmp_ret : ret;
src/storage/tx/ob_tx_ctx.cpp	585	ObTxCtx::commit	declare tmp_ret (plan definition)	int tmp_ret = OB_SUCCESS;
src/storage/tx/ob_tx_ctx.cpp	834	ObTxCtx::trans_replay_commit_	declare tmp_ret (plan definition)	int tmp_ret = OB_SUCCESS;
src/storage/tx/ob_tx_ctx.cpp	1282	ObTxCtx::serial_submit_redo_after_write_	declare tmp_ret	int tmp_ret = switch_to_parallel_logging_(serial_final_scn, exec_info_.max_submitted_seq_no_);
src/storage/tx/ob_tx_ctx.cpp	1398	ObTxCtx::compensate_abort_log_	declare tmp_ret (plan definition)	int tmp_ret = OB_SUCCESS;
src/storage/tx/ob_tx_ctx.cpp	1399	ObTxCtx::compensate_abort_log_	OB_TMP_FAIL (plan definition)	if (OB_TMP_FAIL(restart_commit_retry_timer_())) {
src/storage/tx/ob_tx_ctx.cpp	1516	ObTxCtx::on_success	declare tmp_ret (plan definition)	int tmp_ret = OB_SUCCESS;
src/storage/tx/ob_tx_ctx.cpp	1643	ObTxCtx::on_success	assign tmp_ret	if (OB_SUCCESS != (tmp_ret = submit_record_log_())) {
src/storage/tx/ob_tx_ctx.cpp	1678	ObTxCtx::on_success	OB_TMP_FAIL (plan definition)	if (OB_TMP_FAIL(submit_log_impl_(ObTxLogType::TX_MULTI_DATA_SOURCE_LOG))) {
src/storage/tx/ob_tx_ctx.cpp	1689	ObTxCtx::on_success	assign tmp_ret	if (OB_SUCCESS != (tmp_ret = ls_tx_ctx_mgr_->revert_tx_ctx_without_lock(this))) {
src/storage/tx/ob_tx_ctx.cpp	1910	ObTxCtx::common_on_success_	declare tmp_ret (plan definition)	int tmp_ret = OB_SUCCESS;
src/storage/tx/ob_tx_ctx.cpp	1934	ObTxCtx::check_and_register_timeout_task_	declare tmp_ret	int64_t tmp_ret = OB_SUCCESS;
src/storage/tx/ob_tx_ctx.cpp	1942	ObTxCtx::check_and_register_timeout_task_	assign tmp_ret	if (OB_SUCCESS != (tmp_ret = register_timeout_task_(timeout_left))) {
src/storage/tx/ob_tx_ctx.cpp	2065	ObTxCtx::on_failure	declare tmp_ret (plan definition)	int tmp_ret = OB_SUCCESS;
src/storage/tx/ob_tx_ctx.cpp	2066	ObTxCtx::on_failure	OB_TMP_FAIL (plan definition)	if (OB_TMP_FAIL(defer_commit_callback_(OB_TRANS_KILLED, SCN::invalid_scn()))) {
src/storage/tx/ob_tx_ctx.cpp	2071	ObTxCtx::on_failure	merge into ret	ret = COVER_SUCC(tmp_ret);
src/storage/tx/ob_tx_ctx.cpp	2081	ObTxCtx::on_failure	declare tmp_ret (plan definition)	int tmp_ret = OB_SUCCESS;
src/storage/tx/ob_tx_ctx.cpp	2082	ObTxCtx::on_failure	assign tmp_ret	if (OB_SUCCESS != (tmp_ret = ls_tx_ctx_mgr_->revert_tx_ctx_without_lock(this))) {
src/storage/tx/ob_tx_ctx.cpp	2605	ObTxCtx::submit_commit_log_	declare tmp_ret (plan definition)	int tmp_ret = OB_SUCCESS;
src/storage/tx/ob_tx_ctx.cpp	2607	ObTxCtx::submit_commit_log_	assign tmp_ret	!= (tmp_ret = ctx_tx_data_.set_commit_version(log_cb->get_log_ts()))) {
src/storage/tx/ob_tx_ctx.cpp	2646	ObTxCtx::submit_commit_log_	declare tmp_ret (plan definition)	int tmp_ret = OB_SUCCESS;
src/storage/tx/ob_tx_ctx.cpp	2647	ObTxCtx::submit_commit_log_	assign tmp_ret	if (OB_SUCCESS != (tmp_ret = ctx_tx_data_.set_commit_version(log_cb->get_log_ts()))) {
src/storage/tx/ob_tx_ctx.cpp	2997	ObTxCtx::submit_log_impl_	declare tmp_ret (plan definition)	int tmp_ret = OB_SUCCESS;
src/storage/tx/ob_tx_ctx.cpp	3067	ObTxCtx::handle_submit_log_err_	declare tmp_ret (plan definition)	int tmp_ret = OB_SUCCESS;
src/storage/tx/ob_tx_ctx.cpp	3070	ObTxCtx::handle_submit_log_err_	OB_TMP_FAIL (plan definition)	if (OB_TMP_FAIL(do_local_tx_end_(TxEndAction::ABORT_TX))) {
src/storage/tx/ob_tx_ctx.cpp	3076	ObTxCtx::handle_submit_log_err_	OB_TMP_FAIL (plan definition)	if (OB_TMP_FAIL(do_local_tx_end_(TxEndAction::DELAY_ABORT_TX))) {
src/storage/tx/ob_tx_ctx.cpp	3102	ObTxCtx::need_record_log_	declare tmp_ret	int tmp_ret = OB_E(EventTable::EN_LOG_IDS_COUNT_ERROR) OB_SUCCESS;
src/storage/tx/ob_tx_ctx.cpp	3827	ObTxCtx::replay_commit_info	declare tmp_ret (plan definition)	int tmp_ret = OB_SUCCESS;
src/storage/tx/ob_tx_ctx.cpp	4152	ObTxCtx::replay_multi_data_source	declare tmp_ret (plan definition)	int tmp_ret = OB_SUCCESS;
src/storage/tx/ob_tx_ctx.cpp	4164	ObTxCtx::replay_multi_data_source	OB_TMP_FAIL (plan definition)	if (OB_TMP_FAIL(exec_info_.multi_data_source_.remove(i))) {
src/storage/tx/ob_tx_ctx.cpp	4815	ObTxCtx::prepare_mul_data_source_tx_end_	declare tmp_ret (plan definition)	int tmp_ret = OB_SUCCESS;
src/storage/tx/ob_tx_ctx.cpp	4823	ObTxCtx::prepare_mul_data_source_tx_end_	OB_TMP_FAIL (plan definition)	if (OB_TMP_FAIL(restart_commit_retry_timer_())) {
