file	line	symbol	construct	text
src/sql/engine/sort/ob_sort_op_impl.cpp	1026	ObSortOpImpl::preprocess_dump	work-area report sql_mem_processor_.update_used_mem_size: mem_context_->used()	} else if (OB_FAIL(sql_mem_processor_.update_used_mem_size(mem_context_->used()))) {
src/sql/engine/sort/ob_sort_op_impl.cpp	1032	ObSortOpImpl::preprocess_dump	work-area report sql_mem_processor_.extend_max_memory_size: callback returns need_dump()	if (OB_FAIL(sql_mem_processor_.extend_max_memory_size(
src/sql/engine/sort/ob_sort_op_impl.cpp	1040	ObSortOpImpl::preprocess_dump	work-area decision on get_cache_size: else if (profile_.get_cache_size() < profile_.get_global_bound_size())	} else if (profile_.get_cache_size() < profile_.get_global_bound_size()) {
src/sql/engine/sort/ob_sort_op_impl.cpp	1042	ObSortOpImpl::preprocess_dump	work-area report sql_mem_processor_.extend_max_memory_size: callback returns need_dump()	if (OB_FAIL(sql_mem_processor_.extend_max_memory_size(
src/sql/engine/sort/ob_sort_op_impl.cpp	1054	ObSortOpImpl::preprocess_dump	work-area decision on get_cache_size: if (profile_.get_cache_size() <= datum_store_.get_mem_hold() + datum_store_.get_file_size())	if (profile_.get_cache_size() <=
src/sql/engine/sort/ob_sort_op_impl.cpp	1057	ObSortOpImpl::preprocess_dump	work-area report sql_mem_processor_.update_cache_size: &mem_context_->get_malloc_allocator(), profile_.get_cache_size() * EXTEND_MULTIPLE	if (OB_FAIL(sql_mem_processor_.update_cache_size(&mem_context_->get_malloc_allocator(),
src/sql/engine/sort/ob_sort_op_impl.cpp	1085	ObSortOpImpl::before_add_row	work-area report sql_mem_processor_.init: cache size size	if (OB_FAIL(sql_mem_processor_.init(
src/sql/engine/sort/ob_sort_op_impl.cpp	1103	ObSortOpImpl::before_add_row	work-area report sql_mem_processor_.update_max_available_mem_size_periodically: callback returns rows_->count() > cur_cnt	if (OB_FAIL(sql_mem_processor_.update_max_available_mem_size_periodically(
src/sql/engine/sort/ob_sort_op_impl.cpp	1107	ObSortOpImpl::before_add_row	work-area report sql_mem_processor_.update_used_mem_size: mem_context_->used()	} else if (updated && OB_FAIL(sql_mem_processor_.update_used_mem_size(mem_context_->used()))) {
src/sql/engine/sort/ob_sort_op_impl.cpp	1614	ObSortOpImpl::do_dump	work-area report sql_mem_processor_.set_number_pass: level + 1	sql_mem_processor_.set_number_pass(level + 1);
src/sql/engine/sort/ob_sort_op_impl.cpp	1624	ObSortOpImpl::reuse_topn_heap	work-area report sql_mem_processor_.alloc: -1 * static_cast<SortStoredRow *>(topn_heap->heap_.at(i))->get_max_size()	sql_mem_processor_.alloc(-1 *
src/sql/engine/sort/ob_sort_op_impl.cpp	1631	ObSortOpImpl::reuse_topn_heap	work-area report sql_mem_processor_.alloc: -1 * topn_heap->ties_array_[i]->get_max_size()	sql_mem_processor_.alloc(-1 * topn_heap->ties_array_[i]->get_max_size());
