file	line	symbol	construct	text
src/logservice/palf/log_block_handler.cpp	115	LogDIOAlignedBuf::truncate_buf	memmove(aligned_data_buf_, static_cast<char*>(aligned_data_buf_) + tail_part_start, buf_write_offset_); outside the expression directories	memmove(aligned_data_buf_, static_cast<char*>(aligned_data_buf_) + tail_part_start,
src/logservice/palf/log_iterator_storage.cpp	175	IteratorStorage::do_memove_	MEMMOVE(dst.buf_, read_buf_.buf_ + pos, valid_tail_part_size); outside the expression directories	MEMMOVE(dst.buf_, read_buf_.buf_ + pos, valid_tail_part_size);
src/logservice/palf/log_reader.cpp	168	LogReader::inner_pread_	MEMMOVE(read_buf, read_buf + backoff, in_read_size); outside the expression directories	MEMMOVE(read_buf, read_buf + backoff, in_read_size);
src/oblib/common/json_type/ob_json_bin.cpp	2634	ObJsonBin::object_remove_v0	MEMMOVE(header_data.ptr() + curr_key_entry_offset, header_data.ptr() + next_key_entry_offset, key_entry_move_len); outside the expression directories	MEMMOVE(header_data.ptr() + curr_key_entry_offset, header_data.ptr() + next_key_entry_offset, key_entry_move_len);
src/oblib/common/json_type/ob_json_bin.cpp	2644	ObJsonBin::object_remove_v0	MEMMOVE(header_data.ptr() + key_entry_end_offset, header_data.ptr() + value_entry_start_offset, value_entry_prev_move_len); outside the expression directories	MEMMOVE(header_data.ptr() + key_entry_end_offset, header_data.ptr() + value_entry_start_offset, value_entry_prev_move_len);
src/oblib/common/json_type/ob_json_bin.cpp	2648	ObJsonBin::object_remove_v0	MEMMOVE(header_data.ptr() + key_entry_end_offset + value_entry_prev_move_len, header_data.ptr() + next_value_entry_offset, value_entry_next_move_len); outside the expression directories	MEMMOVE(header_data.ptr() + key_entry_end_offset + value_entry_prev_move_len, header_data.ptr() + next_value_entry_offset, value_entry_next_move_len);
src/oblib/common/lob/ob_lob_base.cpp	316	ObLobInRowUpdateCursor::set	MEMMOVE(data_.ptr() + offset, buf, buf_len); outside the expression directories	MEMMOVE(data_.ptr() + offset, buf, buf_len);
src/oblib/common/log/ob_single_log_reader.cpp	114	ObSingleLogReader::read_log_	MEMMOVE(log_buffer_.get_data(), log_buffer_.get_data() + log_buffer_.get_position(), log_buffer_.get_remain_data_len()); outside the expression directories	MEMMOVE(log_buffer_.get_data(), log_buffer_.get_data() + log_buffer_.get_position(),
src/oblib/common/number/ob_number_v2.cpp	2099	ObNumber::normalize_	memmove(digits_, &digits[start], tmp_length * ITEM_SIZE(digits_)); outside the expression directories	memmove(digits_, &digits[start], tmp_length * ITEM_SIZE(digits_));
src/oblib/common/number/ob_number_v2.cpp	2171	ObNumber::normalize_v2_	memmove(digits_, digits_ + start, tmp_length * ITEM_SIZE(digits_)); outside the expression directories	memmove(digits_, digits_ + start, tmp_length * ITEM_SIZE(digits_));
