file	line	symbol	construct	text
src/oblib/common/json_type/ob_json_base.cpp	4586	ObIJsonBase::to_int	check: raises OB_OPERATE_OVERFLOW	ret = OB_OPERATE_OVERFLOW;
src/oblib/common/json_type/ob_json_base.cpp	4638	ObIJsonBase::to_int	check: raises OB_OPERATE_OVERFLOW	ret = OB_OPERATE_OVERFLOW;
src/oblib/common/json_type/ob_json_base.cpp	4644	ObIJsonBase::to_int	check: raises OB_OPERATE_OVERFLOW	ret = OB_OPERATE_OVERFLOW;
src/oblib/common/json_type/ob_json_base.cpp	4658	ObIJsonBase::to_int	check: raises OB_OPERATE_OVERFLOW	ret = OB_OPERATE_OVERFLOW;
src/oblib/common/json_type/ob_json_base.cpp	4664	ObIJsonBase::to_int	check: raises OB_OPERATE_OVERFLOW	ret = OB_OPERATE_OVERFLOW;
src/oblib/common/json_type/ob_json_base.cpp	4702	ObIJsonBase::to_uint	check: raises OB_OPERATE_OVERFLOW	ret = OB_OPERATE_OVERFLOW;
src/oblib/common/json_type/ob_json_base.cpp	4720	ObIJsonBase::to_uint	check: raises OB_OPERATE_OVERFLOW	ret = OB_OPERATE_OVERFLOW;
src/oblib/common/json_type/ob_json_base.cpp	4729	ObIJsonBase::to_uint	check: raises OB_DATA_OUT_OF_RANGE	ret = OB_DATA_OUT_OF_RANGE;
src/oblib/common/json_type/ob_json_base.cpp	4765	ObIJsonBase::to_uint	check: raises OB_OPERATE_OVERFLOW	ret = OB_OPERATE_OVERFLOW;
src/oblib/common/json_type/ob_json_base.cpp	4776	ObIJsonBase::to_uint	check: raises OB_OPERATE_OVERFLOW	ret = OB_OPERATE_OVERFLOW;
src/oblib/common/json_type/ob_json_base.cpp	4786	ObIJsonBase::to_uint	check: raises OB_OPERATE_OVERFLOW	ret = OB_OPERATE_OVERFLOW;
src/oblib/common/json_type/ob_json_base.cpp	4794	ObIJsonBase::to_uint	check: raises OB_OPERATE_OVERFLOW	ret = OB_OPERATE_OVERFLOW;
src/oblib/common/json_type/ob_json_base.cpp	4897	ObIJsonBase::to_double	check: raises OB_OPERATE_OVERFLOW	ret = OB_OPERATE_OVERFLOW;
src/oblib/common/json_type/ob_json_base.cpp	4981	ObIJsonBase::to_number	check: raises OB_OPERATE_OVERFLOW	ret = OB_OPERATE_OVERFLOW;
src/oblib/common/json_type/ob_json_base.cpp	5143	ObIJsonBase::to_datetime	check: raises OB_OPERATE_OVERFLOW	ret = OB_OPERATE_OVERFLOW;
src/oblib/common/json_type/ob_json_base.cpp	5169	ObIJsonBase::to_mdatetime	unchecked: arithmetic on a signed value getter	int64_t datetime = (1000 * 1000) *  get_int();
src/oblib/common/json_type/ob_json_base.cpp	5231	ObIJsonBase::to_mdatetime	check: raises OB_OPERATE_OVERFLOW	ret = OB_OPERATE_OVERFLOW;
src/oblib/common/json_type/ob_json_base.cpp	5294	ObIJsonBase::to_date	check: raises OB_OPERATE_OVERFLOW	ret = OB_OPERATE_OVERFLOW;
src/oblib/common/json_type/ob_json_base.cpp	5352	ObIJsonBase::to_mdate	check: raises OB_OPERATE_OVERFLOW	ret = OB_OPERATE_OVERFLOW;
src/oblib/common/json_type/ob_json_base.cpp	5418	ObIJsonBase::to_time	check: raises OB_OPERATE_OVERFLOW	ret = OB_OPERATE_OVERFLOW;
src/oblib/common/json_type/ob_json_base.cpp	6322	ObJsonBaseUtil::double_to_uint	check: raises OB_OPERATE_OVERFLOW	ret = OB_OPERATE_OVERFLOW;
src/oblib/common/json_type/ob_json_base.cpp	6328	ObJsonBaseUtil::double_to_uint	check: raises OB_OPERATE_OVERFLOW	ret = OB_OPERATE_OVERFLOW;
src/oblib/common/mysqlclient/ob_mysql_result.h	595	#define EXTRACT_INT_FIELD_FROM_NUMBER_MYSQL	check: raises OB_DATA_OUT_OF_RANGE	ret = OB_DATA_OUT_OF_RANGE; \
src/oblib/common/number/ob_number_v2.cpp	349	ObNumber::from_sci_	check: raises OB_NUMERIC_OVERFLOW	ret = OB_NUMERIC_OVERFLOW;
