file	line	symbol	construct	text
src/sql/code_generator/ob_static_engine_expr_cg.cpp	581	ObStaticEngineExprCG::get_param_frame_idx	sizeof(ObDatum) in: const int64_t item_size = sizeof(ObDatum) + sizeof(ObEvalInfo); reaches a decision through item_size: int64_t cnt_per_frame = common::MAX_FRAME_SIZE / item_size	const int64_t item_size = sizeof(ObDatum) + sizeof(ObEvalInfo);
src/sql/code_generator/ob_static_engine_expr_cg.cpp	581	ObStaticEngineExprCG::get_param_frame_idx	sizeof(ObEvalInfo) in: const int64_t item_size = sizeof(ObDatum) + sizeof(ObEvalInfo); reaches a decision through item_size: int64_t cnt_per_frame = common::MAX_FRAME_SIZE / item_size	const int64_t item_size = sizeof(ObDatum) + sizeof(ObEvalInfo);
src/sql/code_generator/ob_static_engine_expr_cg.cpp	610	ObStaticEngineExprCG::cg_param_frame_layout	sizeof(ObDatum) in: const int64_t item_size = sizeof(ObDatum) + sizeof(ObEvalInfo); reaches a decision through item_size: frame_info.frame_size_ = (datum_idx + 1) * item_size	const int64_t item_size = sizeof(ObDatum) + sizeof(ObEvalInfo);
src/sql/code_generator/ob_static_engine_expr_cg.cpp	610	ObStaticEngineExprCG::cg_param_frame_layout	sizeof(ObEvalInfo) in: const int64_t item_size = sizeof(ObDatum) + sizeof(ObEvalInfo); reaches a decision through item_size: frame_info.frame_size_ = (datum_idx + 1) * item_size	const int64_t item_size = sizeof(ObDatum) + sizeof(ObEvalInfo);
src/sql/code_generator/ob_static_engine_expr_cg.cpp	779	ObStaticEngineExprCG::cg_frame_layout	DATUM_EVAL_INFO_SIZE (the named constant = sizeof(ObDatum) + sizeof(ObEvalInfo), ob_static_engine_expr_cg.h:76) in: int64_t datum_size = DATUM_EVAL_INFO_SIZE + reserve_data_consume(*rt_expr); reaches a decision through datum_size: if (frame_size + datum_size <= MAX_FRAME_SIZE)	int64_t datum_size = DATUM_EVAL_INFO_SIZE
src/sql/code_generator/ob_static_engine_expr_cg.cpp	840	ObStaticEngineExprCG::arrange_datum_data	sizeof(ObDatum) in: const int64_t item_size = sizeof(ObDatum) + sizeof(ObEvalInfo); reaches a decision through item_size: CK(data_off == frame.frame_size_)	const int64_t item_size = sizeof(ObDatum) + sizeof(ObEvalInfo);
src/sql/code_generator/ob_static_engine_expr_cg.cpp	840	ObStaticEngineExprCG::arrange_datum_data	sizeof(ObEvalInfo) in: const int64_t item_size = sizeof(ObDatum) + sizeof(ObEvalInfo); reaches a decision through item_size: CK(data_off == frame.frame_size_)	const int64_t item_size = sizeof(ObDatum) + sizeof(ObEvalInfo);
src/sql/code_generator/ob_static_engine_expr_cg.cpp	967	ObStaticEngineExprCG::arrange_datums_data	sizeof(ObEvalInfo) in: eval_info_total += sizeof(ObEvalInfo); reaches a decision through eval_info_total: CK((cur_total_size + expr_data_offset) == frame.frame_size_)	eval_info_total += sizeof(ObEvalInfo);
src/sql/code_generator/ob_static_engine_expr_cg.cpp	1338	ObStaticEngineExprCG::create_tmp_frameinfo	sizeof(ObEvalInfo) in: const int64_t expr_zero_init_size = dynamic_buf_header_size(*rt_expr) + sizeof(ObEvalInfo) + get_expr_bitmap_vector_size(*rt_expr); reaches a decision through expr_zero_init_size: if (OB_FAIL(tmp_frame_infos.push_back(TmpFrameInfo(initial_expr_id, frame_expr_cnt, frame_index_pos + frame_idx, frame_size, zero_init_po...	+ sizeof(ObEvalInfo)
src/sql/code_generator/ob_static_engine_expr_cg.cpp	1566	ObStaticEngineExprCG::frame_max_offset	sizeof(ObEvalInfo) in: size = CALC_MAX_FRAME_SIZE(e.eval_info_off_, sizeof(ObEvalInfo))	size = CALC_MAX_FRAME_SIZE(e.eval_info_off_, sizeof(ObEvalInfo));
src/sql/code_generator/ob_static_engine_expr_cg.cpp	1697	ObStaticEngineExprCG::generate_partial_expr_frame	sizeof(ObDatum) in: const int64_t item_size = sizeof(ObDatum) + sizeof(ObEvalInfo); reaches a decision through item_size: f->frame_size_ = std::min<int64_t>(f->frame_size_, cnt * item_size)	const int64_t item_size = sizeof(ObDatum) + sizeof(ObEvalInfo);
src/sql/code_generator/ob_static_engine_expr_cg.cpp	1697	ObStaticEngineExprCG::generate_partial_expr_frame	sizeof(ObEvalInfo) in: const int64_t item_size = sizeof(ObDatum) + sizeof(ObEvalInfo); reaches a decision through item_size: f->frame_size_ = std::min<int64_t>(f->frame_size_, cnt * item_size)	const int64_t item_size = sizeof(ObDatum) + sizeof(ObEvalInfo);
src/sql/code_generator/ob_static_engine_expr_cg.cpp	1748	ObStaticEngineExprCG::compute_max_batch_size	sizeof(ObEvalInfo) in: int64_t irrelevant = sizeof(ObEvalInfo) + 1 + 1; reaches a decision through irrelevant: return (MAX_FRAME_SIZE - irrelevant) / relevant	int64_t irrelevant = sizeof(ObEvalInfo) + 1 + 1;
src/sql/code_generator/ob_static_engine_expr_cg.cpp	1750	ObStaticEngineExprCG::compute_max_batch_size	sizeof(ObDatum) in: int64_t relevant = sizeof(ObDatum) + 1; reaches a decision through relevant: return (MAX_FRAME_SIZE - irrelevant) / relevant	int64_t relevant = sizeof(ObDatum) + 1;
src/sql/code_generator/ob_static_engine_expr_cg.h	342	ObStaticEngineExprCG::dynamic_buf_header_size	sizeof(ObDynReserveBuf) in: return (need_dyn_buf ? batch_size * sizeof(ObDynReserveBuf) : 0)	return (need_dyn_buf ? batch_size * sizeof(ObDynReserveBuf) : 0);
src/sql/code_generator/ob_static_engine_expr_cg.h	357	ObStaticEngineExprCG::get_datums_header_size	sizeof(ObDatum) in: return sizeof(ObDatum) * get_expr_datums_count(expr)	return sizeof(ObDatum) * get_expr_datums_count(expr);
src/sql/code_generator/ob_static_engine_expr_cg.h	386	ObStaticEngineExprCG::get_expr_datums_header_size	sizeof(ObEvalInfo) in: int64_t size = get_datums_header_size(expr) + sizeof(ObEvalInfo) + get_expr_skip_vector_size(expr) + get_expr_bitmap_vector_size(expr); reaches a decision through size: return size	+ sizeof(ObEvalInfo)
src/sql/code_generator/ob_static_engine_expr_cg.h	399	ObStaticEngineExprCG::get_expr_datum_fixed_header_size	sizeof(ObDatum) in: return sizeof(ObDatum) + sizeof(ObEvalInfo)	return sizeof(ObDatum) + sizeof(ObEvalInfo);
src/sql/code_generator/ob_static_engine_expr_cg.h	399	ObStaticEngineExprCG::get_expr_datum_fixed_header_size	sizeof(ObEvalInfo) in: return sizeof(ObDatum) + sizeof(ObEvalInfo)	return sizeof(ObDatum) + sizeof(ObEvalInfo);
src/sql/das/ob_das_dml_ctx_define.cpp	500	ObDASWriteBuffer::create_link_buffer	sizeof(LinkNode) in: int64_t NODE_HEADER_SIZE = sizeof(LinkNode); reaches a decision through NODE_HEADER_SIZE: buffer_list_.mem_used_ += buffer_len	int64_t NODE_HEADER_SIZE = sizeof(LinkNode);
src/sql/engine/aggregate/ob_aggregate_processor.cpp	5678	ObAggregateProcessor::get_llc_size	sizeof(char) in: return sizeof(char ) * LLC_NUM_BUCKETS	return sizeof(char ) * LLC_NUM_BUCKETS;
src/sql/engine/aggregate/ob_aggregate_processor.cpp	6305	ObAggregateProcessor::compute_hybrid_hist_result	sizeof(BucketDesc) in: const int64_t extra_size = sizeof(BucketDesc)	const int64_t extra_size = sizeof(BucketDesc);
src/sql/engine/aggregate/ob_hash_distinct_op.cpp	666	ObHashDistinctOp::process_state	EXTEND_BKT_NUM_PUSH_DOWN (the named constant = INIT_L3_CACHE_SIZE / sizeof(ObHashPartCols), ob_hash_distinct_op.h:74) in: if (!(hp_infras_.get_hash_bucket_num() >= EXTEND_BKT_NUM_PUSH_DOWN) && static_cast<double> (bypass_ctrl_.exists_cnt_) / bypass_ctrl_.probe_cnt_ >=...	if (!(hp_infras_.get_hash_bucket_num() >= EXTEND_BKT_NUM_PUSH_DOWN)
src/sql/engine/aggregate/ob_hash_distinct_op.h	74	ObHashDistinctOp	sizeof(ObHashPartCols) in: private: const int64_t EXTEND_BKT_NUM_PUSH_DOWN = INIT_L3_CACHE_SIZE / sizeof(ObHashPartCols)	const int64_t EXTEND_BKT_NUM_PUSH_DOWN = INIT_L3_CACHE_SIZE / sizeof(ObHashPartCols);
src/sql/engine/aggregate/ob_hash_groupby_op.cpp	168	ObHashGroupByOp::reset	sizeof(uint64_t) in: part_shift_ = sizeof(uint64_t) * CHAR_BIT / 2	part_shift_ = sizeof(uint64_t) * CHAR_BIT / 2;
src/sql/engine/aggregate/ob_hash_groupby_op.cpp	291	ObHashGroupByOp::inner_open	sizeof(ObChunkDatumStore::StoredRow *) in: int64_t hash_vals_pos = batch_rows_from_dump_pos + max_size * sizeof(ObChunkDatumStore::StoredRow *); reaches a decision through hash_vals_pos: int64_t base_hash_value_pos = hash_vals_pos + max_size * sizeof(uint64_t)	int64_t hash_vals_pos = batch_rows_from_dump_pos + max_size * sizeof(ObChunkDatumStore::StoredRow *);
src/sql/engine/aggregate/ob_hash_groupby_op.cpp	292	ObHashGroupByOp::inner_open	sizeof(uint64_t) in: int64_t base_hash_value_pos = hash_vals_pos + max_size * sizeof(uint64_t); reaches a decision through base_hash_value_pos: gris_per_batch_pos = gris_per_batch_pos + max_size * sizeof(uint64_t)	int64_t base_hash_value_pos = hash_vals_pos + max_size * sizeof(uint64_t);
src/sql/engine/aggregate/ob_hash_groupby_op.cpp	295	ObHashGroupByOp::inner_open	sizeof(uint64_t) in: gris_per_batch_pos = gris_per_batch_pos + max_size * sizeof(uint64_t); reaches a decision through gris_per_batch_pos: int64_t batch_row_gri_ptrs_pos = gris_per_batch_pos + max_size * sizeof(ObGroupRowItem *)	gris_per_batch_pos = gris_per_batch_pos + max_size * sizeof(uint64_t);
src/sql/engine/aggregate/ob_hash_groupby_op.cpp	297	ObHashGroupByOp::inner_open	sizeof(ObGroupRowItem *) in: int64_t batch_row_gri_ptrs_pos = gris_per_batch_pos + max_size * sizeof(ObGroupRowItem *); reaches a decision through batch_row_gri_ptrs_pos: int64_t selector_array_pos = batch_row_gri_ptrs_pos + max_size * sizeof(ObGroupRowItem *)	int64_t batch_row_gri_ptrs_pos = gris_per_batch_pos + max_size * sizeof(ObGroupRowItem *);
src/sql/engine/aggregate/ob_hash_groupby_op.cpp	298	ObHashGroupByOp::inner_open	sizeof(ObGroupRowItem *) in: int64_t selector_array_pos = batch_row_gri_ptrs_pos + max_size * sizeof(ObGroupRowItem *); reaches a decision through selector_array_pos: int64_t is_dumped_pos = selector_array_pos + max_size * sizeof(uint16_t)	int64_t selector_array_pos = batch_row_gri_ptrs_pos + max_size * sizeof(ObGroupRowItem *);
src/sql/engine/aggregate/ob_hash_groupby_op.cpp	299	ObHashGroupByOp::inner_open	sizeof(uint16_t) in: int64_t is_dumped_pos = selector_array_pos + max_size * sizeof(uint16_t); reaches a decision through is_dumped_pos: int64_t dumped_batch_rows_pos = is_dumped_pos + max_size * sizeof(bool)	int64_t is_dumped_pos = selector_array_pos + max_size * sizeof(uint16_t);
src/sql/engine/aggregate/ob_hash_groupby_op.cpp	358	ObHashGroupByOp::inner_open	sizeof(uint16_t) in: int64_t distinct_hash_value_pos = distinct_selector_pos + max_size * sizeof(uint16_t); reaches a decision through distinct_hash_value_pos: int64_t distinct_skip_pos = distinct_hash_value_pos + max_size * sizeof(uint64_t)	int64_t distinct_hash_value_pos = distinct_selector_pos + max_size * sizeof(uint16_t);
src/sql/engine/aggregate/ob_hash_groupby_op.cpp	359	ObHashGroupByOp::inner_open	sizeof(uint64_t) in: int64_t distinct_skip_pos = distinct_hash_value_pos + max_size * sizeof(uint64_t); reaches a decision through distinct_skip_pos: int64_t total_size = distinct_skip_pos + ObBitVector::memory_size(max_size)	int64_t distinct_skip_pos = distinct_hash_value_pos + max_size * sizeof(uint64_t);
src/sql/engine/aggregate/ob_hash_groupby_op.cpp	861	ObHashGroupByOp::load_data	sizeof(uint64_t) in: else if (OB_UNLIKELY(cur_part->part_shift_ >= sizeof(uint64_t) * CHAR_BIT))	} else if (OB_UNLIKELY(cur_part->part_shift_ >= sizeof(uint64_t) * CHAR_BIT)) { // part_id means level, max_part_id means max_level
src/sql/engine/aggregate/ob_hash_groupby_op.cpp	872	ObHashGroupByOp::load_data	sizeof(uint64_t) in: part_shift_ = part_shift = sizeof(uint64_t) * CHAR_BIT / 2	part_shift_ = part_shift = sizeof(uint64_t) * CHAR_BIT / 2;
src/sql/engine/aggregate/ob_hash_groupby_op.cpp	1162	ObHashGroupByOp::calc_data_mem_ratio	FIX_SIZE_PER_PART (the named constant = sizeof(DatumStoreLinkPartition) + ObChunkRowStore::BLOCK_SIZE, ob_hash_groupby_op.h:248) in: int64_t est_extra_size = (get_mem_used_size() + part_cnt * FIX_SIZE_PER_PART); reaches a decision through est_extra_size: data_ratio = data_size * 1.0 / est_extra_size	int64_t est_extra_size = (get_mem_used_size() + part_cnt * FIX_SIZE_PER_PART);
src/sql/engine/aggregate/ob_hash_groupby_op.cpp	1176	ObHashGroupByOp::adjust_part_cnt	FIX_SIZE_PER_PART (the named constant = sizeof(DatumStoreLinkPartition) + ObChunkRowStore::BLOCK_SIZE, ob_hash_groupby_op.h:248) in: int64_t max_part_cnt = dumped_remain_mem_size / FIX_SIZE_PER_PART; reaches a decision through max_part_cnt: if (max_part_cnt <= MIN_PARTITION_CNT)	int64_t max_part_cnt = dumped_remain_mem_size / FIX_SIZE_PER_PART;
src/sql/engine/aggregate/ob_hash_groupby_op.cpp	1321	ObHashGroupByOp::setup_dump_env	sizeof(uint64_t) in: const int64_t extra_size = sizeof(uint64_t)	const int64_t extra_size = sizeof(uint64_t); // for hash value
src/sql/engine/aggregate/ob_hash_groupby_op.cpp	1695	ObHashGroupByOp::switch_part	sizeof(uint64_t) in: else if (OB_UNLIKELY(cur_part->part_shift_ >= sizeof(uint64_t) * CHAR_BIT))	} else if (OB_UNLIKELY(cur_part->part_shift_ >= sizeof(uint64_t) * CHAR_BIT)) { // part_id means level, max_part_id means max_level
src/sql/engine/aggregate/ob_hash_groupby_op.cpp	1709	ObHashGroupByOp::switch_part	sizeof(uint64_t) in: part_shift_ = part_shift = sizeof(uint64_t) * CHAR_BIT / 2	part_shift_ = part_shift = sizeof(uint64_t) * CHAR_BIT / 2;
