file	line	symbol	construct	text
src/storage/access/ob_aggregate_base.h	42	-	opens namespace sql (lines 42-46): storage declares SQL types here	namespace sql
src/storage/access/ob_aggregate_base.h	44	-	unqualified SQL name inside namespace sql: ObEvalCtx	struct ObEvalCtx;
src/storage/access/ob_aggregate_base.h	45	-	unqualified SQL name inside namespace sql: ObExpr	class ObExpr;
src/storage/access/ob_aggregate_base.h	246	ObGroupByCellBase	sql:: use: ObEvalCtx	virtual int init(const ObTableAccessParam &param, const ObTableAccessContext &context, sql::ObEvalCtx &eval_ctx) = 0;
src/storage/access/ob_aggregate_base.h	256	ObGroupByCellBase	sql:: use: ObEvalCtx	virtual int copy_single_output_row(sql::ObEvalCtx &ctx) = 0;
src/storage/access/ob_aggregate_base.h	262	ObGroupByCellBase	sql:: use: ObExpr	virtual int assign_agg_cells(const sql::ObExpr *col_expr, common::ObIArray<int32_t> &agg_idxs) = 0;
src/storage/access/ob_aggregate_base.h	338	ObGroupByCellBase	sql:: use: ObExpr	sql::ObExpr *group_by_col_expr_;
src/storage/access/ob_aggregated_store.cpp	66	ObAggRow::init	sql:: use: ObEvalCtx	sql::ObEvalCtx &eval_ctx)
src/storage/access/ob_aggregated_store.cpp	86	ObAggRow::init	sql:: use: ObExpr	sql::ObExpr *expr = param.output_exprs_->at(i);
src/storage/access/ob_aggregated_store.cpp	106	ObAggRow::init	sql:: use: ObExpr	sql::ObExpr *agg_expr = param.aggregate_exprs_->at(i);
src/storage/access/ob_aggregated_store.cpp	143	ObAggregatedStore::ObAggregatedStore	sql:: use: ObEvalCtx	ObAggregatedStore::ObAggregatedStore(const int64_t batch_size, sql::ObEvalCtx &eval_ctx, ObTableAccessContext &context)
src/storage/access/ob_aggregated_store.cpp	493	ObAggregatedStore::get_agg_cell	sql:: use: ObExpr	int ObAggregatedStore::get_agg_cell(const sql::ObExpr *expr, ObAggCell *&agg_cell)
src/storage/access/ob_aggregated_store.h	51	ObAggRow	sql:: use: ObEvalCtx	sql::ObEvalCtx &eval_ctx);
src/storage/access/ob_aggregated_store.h	76	ObAggregatedStore	sql:: use: ObEvalCtx	sql::ObEvalCtx &eval_ctx,
src/storage/access/ob_aggregated_store.h	93	ObAggregatedStore	sql:: use: ObExpr	int get_agg_cell(const sql::ObExpr *expr, ObAggCell *&agg_cell);
src/storage/access/ob_block_batched_row_store.cpp	34	ObBlockBatchedRowStore::ObBlockBatchedRowStore	sql:: use: ObEvalCtx	sql::ObEvalCtx &eval_ctx,
