file	line	symbol	construct	text
src/sql/dtl/ob_dtl_interm_result_manager.cpp	648	ObDTLIntermResultManager::process_dump	work-area report sql_mem_processor_.update_max_available_mem_size_periodically: callback check_update_mem	if (OB_FAIL(mem_profile_info->sql_mem_processor_.update_max_available_mem_size_periodically(
src/sql/dtl/ob_dtl_interm_result_manager.cpp	653	ObDTLIntermResultManager::process_dump	work-area report sql_mem_processor_.extend_max_memory_size: callback check_dump	&& OB_FAIL(mem_profile_info->sql_mem_processor_.extend_max_memory_size(
src/sql/dtl/ob_dtl_interm_result_manager.cpp	760	ObDTLIntermResultManager::init_mem_profile	work-area report sql_mem_processor_.init: cache size cache_size	} else if (OB_FAIL(info->sql_mem_processor_.init(
src/sql/dtl/ob_dtl_interm_result_manager.h	106	ObDTLMemProfileInfo::alloc	work-area report sql_mem_processor_.alloc: size	sql_mem_processor_.alloc(size);
src/sql/dtl/ob_dtl_interm_result_manager.h	124	ObDTLMemProfileInfo::set_number_pass	work-area report sql_mem_processor_.set_number_pass: num_pass	sql_mem_processor_.set_number_pass(num_pass);
src/sql/dtl/ob_dtl_interm_result_manager.h	459	ObDTLIntermResultManager::need_dump	work-area decision on get_data_size, get_mem_bound: return mem_profile_info->sql_mem_processor_.get_data_size() > mem_profile_info->sql_mem_processor_.get_mem_bound()	{ return mem_profile_info->sql_mem_processor_.get_data_size() >
src/sql/engine/aggregate/ob_hash_distinct_op.cpp	141	ObHashDistinctOp::init_hash_partition_infras	work-area report sql_mem_processor_.init: cache size est_rows * MY_SPEC.width_	} else if (OB_FAIL(sql_mem_processor_.init(
src/sql/engine/aggregate/ob_hash_groupby_op.cpp	219	ObHashGroupByOp::inner_open	work-area report sql_mem_processor_.init: cache size estimate_mem_size	} else if (OB_FAIL(sql_mem_processor_.init(&mem_context_->get_malloc_allocator(),
src/sql/engine/aggregate/ob_hash_groupby_op.cpp	243	ObHashGroupByOp::inner_open	work-area report sql_mem_processor_.update_used_mem_size: get_mem_used_size()	} else if (OB_FAIL(sql_mem_processor_.update_used_mem_size(get_mem_used_size()))) {
src/sql/engine/aggregate/ob_hash_groupby_op.cpp	674	ObHashGroupByOp::init_distinct_info	work-area report distinct_sql_mem_processor_.init: cache size est_size	} else if (OB_FAIL(distinct_sql_mem_processor_.init(
src/sql/engine/aggregate/ob_hash_groupby_op.cpp	881	ObHashGroupByOp::load_data	work-area report sql_mem_processor_.init: cache size input_size	} else if (OB_FAIL(sql_mem_processor_.init(&mem_context_->get_malloc_allocator(),
src/sql/engine/aggregate/ob_hash_groupby_op.cpp	997	ObHashGroupByOp::load_data	work-area report sql_mem_processor_.set_number_pass: part_id + 1	sql_mem_processor_.set_number_pass(part_id + 1);
src/sql/engine/aggregate/ob_hash_groupby_op.cpp	1053	ObHashGroupByOp::load_data	work-area report sql_mem_processor_.update_used_mem_size: get_mem_used_size()	IGNORE_RETURN sql_mem_processor_.update_used_mem_size(get_mem_used_size());
src/sql/engine/aggregate/ob_hash_groupby_op.cpp	1113	ObHashGroupByOp::update_mem_status_periodically	work-area report sql_mem_processor_.update_max_available_mem_size_periodically: callback returns nth_cnt > cur_cnt	if (OB_FAIL(sql_mem_processor_.update_max_available_mem_size_periodically(
src/sql/engine/aggregate/ob_hash_groupby_op.cpp	1118	ObHashGroupByOp::update_mem_status_periodically	work-area report sql_mem_processor_.update_used_mem_size: get_mem_used_size()	if (OB_FAIL(sql_mem_processor_.update_used_mem_size(get_mem_used_size()))) {
src/sql/engine/aggregate/ob_hash_groupby_op.cpp	1139	ObHashGroupByOp::detect_part_cnt	work-area decision through availble_mem_size (from get_mem_bound_size (returns sql_mem_processor_.get_mem_bound())): if (0 < availble_mem_size)	if (0 < availble_mem_size) {
src/sql/engine/aggregate/ob_hash_groupby_op.cpp	1140	ObHashGroupByOp::detect_part_cnt	work-area decision through availble_mem_size, est_dump_size (from get_data_size (returns get_aggr_used_size() + sql_mem_processor_.get_data_size()), get_mem_bound_size (returns sql_mem_processor_.get_mem_bound())): while (est_dump_size > availble_mem_size)	while (est_dump_size > availble_mem_size) {
src/sql/engine/aggregate/ob_hash_groupby_op.cpp	1177	ObHashGroupByOp::adjust_part_cnt	work-area decision through max_part_cnt (from get_mem_bound_size (returns sql_mem_processor_.get_mem_bound())): if (max_part_cnt <= MIN_PARTITION_CNT)	if (max_part_cnt <= MIN_PARTITION_CNT) {
src/sql/engine/aggregate/ob_hash_groupby_op.cpp	1180	ObHashGroupByOp::adjust_part_cnt	work-area decision through max_part_cnt (from get_mem_bound_size (returns sql_mem_processor_.get_mem_bound())): while (part_cnt > max_part_cnt)	while (part_cnt > max_part_cnt) {
src/sql/engine/aggregate/ob_hash_groupby_op.cpp	1234	ObHashGroupByOp::need_start_dump	work-area report sql_mem_processor_.extend_max_memory_size: callback returns is_need_dump(data_ratio)	if (OB_FAIL(sql_mem_processor_.extend_max_memory_size(
src/sql/engine/aggregate/ob_hash_groupby_op.cpp	1246	ObHashGroupByOp::need_start_dump	work-area report sql_mem_processor_.update_used_mem_size: mem_used	} else if (OB_FAIL(sql_mem_processor_.update_used_mem_size(mem_used))) {
src/sql/engine/aggregate/ob_hash_groupby_op.cpp	1338	ObHashGroupByOp::setup_dump_env	work-area report sql_mem_processor_.update_used_mem_size: get_mem_used_size()	} else if (OB_FAIL(sql_mem_processor_.update_used_mem_size(get_mem_used_size()))) {
src/sql/engine/aggregate/ob_hash_groupby_op.cpp	1674	ObHashGroupByOp::load_data_batch	work-area report sql_mem_processor_.update_used_mem_size: get_mem_used_size()	IGNORE_RETURN sql_mem_processor_.update_used_mem_size(get_mem_used_size());
src/sql/engine/aggregate/ob_hash_groupby_op.cpp	1718	ObHashGroupByOp::switch_part	work-area report sql_mem_processor_.init: cache size input_size	} else if (OB_FAIL(sql_mem_processor_.init(&mem_context_->get_malloc_allocator(),
src/sql/engine/aggregate/ob_hash_groupby_op.cpp	1956	ObHashGroupByOp::batch_process_duplicate_data	work-area report sql_mem_processor_.set_number_pass: part_id + 1	sql_mem_processor_.set_number_pass(part_id + 1);
src/sql/engine/aggregate/ob_hash_groupby_op.cpp	2228	ObHashGroupByOp::group_child_batch_rows	work-area report sql_mem_processor_.set_number_pass: part_id + 1	sql_mem_processor_.set_number_pass(part_id + 1);
src/sql/engine/aggregate/ob_hash_groupby_op.h	378	ObHashGroupByOp::is_need_dump	work-area decision on get_mem_bound_size (returns sql_mem_processor_.get_mem_bound()): return (get_mem_used_size() > get_mem_bound_size() * data_ratio)	return (get_mem_used_size() > get_mem_bound_size() * data_ratio);
src/sql/engine/aggregate/ob_merge_groupby_op.cpp	1141	ObMergeGroupByOp::init_hp_infras_group_mgr	work-area report sql_mem_processor_.init: cache size est_rows * MY_SPEC.width_	} else if (OB_FAIL(sql_mem_processor_.init(
