order	name	item_type	class	param_num	internal	registered	reached	reach_basis	eval_functions	eval_functions_run	probes	sql	constructor	files
1	+	T_OP_ADD	ObExprAdd	2	0	release	1	members of ObExprAdd	60	25	48	x0 + x1	src/sql/engine/expr/ob_expr_add.cpp:32	s2_reached_0001
2	+	T_OP_AGG_ADD	ObExprAggAdd	2	0	release	0	members of ObExprAggAdd/ObExprAdd; never created: ObExprOperatorFactory::alloc<ObExprAggAdd> ran 0 times	60	25	8	no SQL form creates it in 834bbee1e; SUM and AVG over the matrix	src/sql/engine/expr/ob_expr_add.h:213	s1_unreached_0001
3	&&	T_OP_AND	ObExprAnd	PARAM_NUM_UNKNOWN	0	release	1	eval functions set by ObExprAnd::cg_expr	2	2	42	x0 AND x1	src/sql/engine/expr/ob_expr_and.cpp:26	s2_reached_0002
4	arg_case	T_OP_ARG_CASE	ObExprArgCase	MORE_THAN_ONE	1	release	0	members of ObExprArgCase	1	0	7	CASE x WHEN ... END	src/sql/engine/expr/ob_expr_arg_case.cpp:28	s1_unreached_0001
5	assign	T_OP_ASSIGN	ObExprAssign	2	0	release	1	eval functions set by ObExprAssign::cg_expr	1	1	10	@v := x	src/sql/engine/expr/ob_expr_assign.cpp:28	s2_reached_0003
6	between	T_OP_BTW	ObExprBetween	3	0	release	0	eval functions set by ObExprBetween::cg_expr; never created: ObExprOperatorFactory::alloc<ObExprBetween> ran 0 times	1	0	61	x0 BETWEEN x1 AND x2	src/sql/engine/expr/ob_expr_between.cpp:27	s1_unreached_0001,s1_unreached_0002
7	&	T_OP_BIT_AND	ObExprBitAnd	2	0	release	1	eval functions set by ObBitwiseExprOperator::cg_bitwise_expr	1	1	44	x0 & x1	src/sql/engine/expr/ob_expr_bit_and.cpp:27	s2_reached_0003,s2_reached_0004
8	case	T_OP_CASE	ObExprCase	MORE_THAN_ONE	0	release	1	eval functions set by ObExprCase::cg_expr	4	4	36	CASE WHEN x0 THEN 'true' WHEN x0 IS NULL THEN 'null' ELSE 'false' END	src/sql/engine/expr/ob_expr_case.cpp:30	s2_reached_0004
9	cast	T_FUN_SYS_CAST	ObExprCast	2	0	release	1	eval functions set by ObExprCast::cg_expr	1	1	12	CAST(1 AS type) per target; the full source by target matrix is in the s3_cast files	src/sql/engine/expr/ob_expr_cast.cpp:34	s2_reached_0004,s2_reached_0005
10	timestampadd	T_FUN_SYS_TIME_STAMP_ADD	ObExprTimeStampAdd	3	0	release	0	eval functions set by ObExprTimeStampAdd::cg_expr; never created: ObExprOperatorFactory::alloc<ObExprTimeStampAdd> ran 0 times	1	0	51	TIMESTAMPADD(x2, x1, x0)	src/sql/engine/expr/ob_expr_timestamp_add.cpp:31	s1_unreached_0002,s1_unreached_0003
