unit_id	reason	files	rule
src/share/mysql_errno	generated	src/share/mysql_errno.h	exclusions.txt: ARCHITECTURE 1.4; s1-crates-core.md 5.5 rule 1: the error catalog is generated into ob-errno by gen_errno.pl's Rust back end
src/share/ob_errno	generated	src/share/ob_errno.def	exclusions.txt: ARCHITECTURE 1.4; s1-crates-core.md 5.5 rule 1: the input of gen_errno.pl, read unchanged by its Rust back end
tools/ob_error/src/os_errno	generated	tools/ob_error/src/os_errno.def	exclusions.txt: ARCHITECTURE 1.4; s1-crates-core.md 5.3 rule 9: gen_os_errno.pl's Rust back end writes the ob_error tool's os_errno table
src/oblib/lib/alloc/malloc_hook_extended	dead	src/oblib/lib/alloc/malloc_hook_extended.cpp	not compiled by the reference build
src/oblib/lib/guard/ob_scope_guard	dead	src/oblib/lib/guard/ob_scope_guard.h	not compiled by the reference build
src/oblib/lib/list/ob_link	dead	src/oblib/lib/list/ob_link.h	not compiled by the reference build
src/oblib/lib/stat/mock_diagnostic_info	dead	src/oblib/lib/stat/mock_diagnostic_info.cpp	not compiled by the reference build
src/oblib/lib/stat/ob_di_list	dead	src/oblib/lib/stat/ob_di_list.h	not compiled by the reference build
src/oblib/lib/lds/ob_lds_constructor	dead	src/oblib/lib/lds/ob_lds_constructor.hpp	not compiled by the reference build
src/oblib/lib/metrics/ob_ema_v2	dead	src/oblib/lib/metrics/ob_ema_v2.h	not compiled by the reference build
src/oblib/lib/checksum/ob_crc16	dead	src/oblib/lib/checksum/ob_crc16.h	not compiled by the reference build
src/oblib/lib/metrics/ob_accumulator	dead	src/oblib/lib/metrics/ob_accumulator.h	not compiled by the reference build
src/oblib/lib/container/ob_paringheap	dead	src/oblib/lib/container/ob_paringheap.h	not compiled by the reference build
src/oblib/lib/container/ob_ring_buffer	dead	src/oblib/lib/container/ob_ring_buffer.h	not compiled by the reference build
src/oblib/lib/string/ob_sensitive_string	dead	src/oblib/lib/string/ob_sensitive_string.h	not compiled by the reference build
src/oblib/lib/allocator/ob_simple_fifo_alloc	dead	src/oblib/lib/allocator/ob_simple_fifo_alloc.h	not compiled by the reference build
src/oblib/lib/hash/ob_refered_map	dead	src/oblib/lib/hash/ob_refered_map.h	not compiled by the reference build
src/oblib/lib/alloc/ob_context_allocator	dead	src/oblib/lib/alloc/ob_context_allocator.cpp,src/oblib/lib/alloc/ob_context_allocator.h	not compiled by the reference build
src/oblib/lib/hash/ob_multi_mod_ref_mgr	dead	src/oblib/lib/hash/ob_multi_mod_ref_mgr.h	not compiled by the reference build
src/oblib/lib/container/ob_mask_set2	dead	src/oblib/lib/container/ob_mask_set2.h	not compiled by the reference build
src/oblib/lib/container/ob_ring_array	dead	src/oblib/lib/container/ob_ring_array.h	not compiled by the reference build
src/oblib/lib/compress/zstd_1_3_8/ob_empty	dead	src/oblib/lib/compress/zstd_1_3_8/ob_empty.c	not compiled by the reference build
src/oblib/rpc/frame/ob_net_easy	dropped	src/oblib/easy/io/easy_io.h	crate map: x-dropped
src/oblib/rpc/frame/ob_net_easy	dropped	src/oblib/easy/io/easy_log.h	crate map: x-dropped
src/oblib/rpc/frame/ob_net_easy	dropped	src/oblib/easy/util/easy_buf.h	crate map: x-dropped
src/oblib/rpc/frame/ob_net_easy	dropped	src/oblib/easy/util/easy_inet.h	crate map: x-dropped
src/oblib/rpc/frame/ob_net_easy	dropped	src/oblib/easy/util/easy_mod_stat.h	crate map: x-dropped
src/oblib/rpc/frame/ob_net_easy	dropped	src/oblib/easy/util/easy_pool.h	crate map: x-dropped
src/oblib/rpc/frame/ob_net_easy	dropped	src/oblib/easy/util/easy_string.h	crate map: x-dropped
src/oblib/rpc/frame/ob_net_easy	dropped	src/oblib/easy/util/easy_time.h	crate map: x-dropped
src/oblib/rpc/frame/ob_rpc_checksum	dead	src/oblib/rpc/frame/ob_rpc_checksum.cpp,src/oblib/rpc/frame/ob_rpc_checksum.h	not compiled by the reference build
